ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-09-13,1,29.008,RAI,@,GNB,W 20-0,7,327,46.71,0
2,1987,1987-09-20,2,29.015,RAI,,DET,W 27-7,3,79,26.33,1
3,1987,1987-10-25,6,29.050,RAI,,SEA,L 13-35,5,207,41.40,0
4,1987,1987-11-01,7,29.057,RAI,@,NWE,L 23-26,3,128,42.67,0
5,1987,1987-11-08,8,29.064,RAI,@,MIN,L 20-31,4,169,42.25,0
6,1987,1987-11-15,9,29.071,RAI,@,SDG,L 14-16,9,393,43.67,0
7,1987,1987-11-22,10,29.078,RAI,,DEN,L 17-23,6,224,37.33,0
8,1987,1987-11-30,11,29.086,RAI,@,SEA,W 37-14,2,70,35.00,0
9,1987,1987-12-06,12,29.092,RAI,,BUF,W 34-21,3,127,42.33,0
10,1987,1987-12-13,13,29.099,RAI,@,KAN,L 10-16,4,160,40.00,0
11,1987,1987-12-20,14,29.106,RAI,,CLE,L 17-24,5,207,41.40,0
12,1987,1987-12-27,15,29.113,RAI,,CHI,L 3-6,5,186,37.20,0
