ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2015,2015-09-13,1,22.331,NOR,@,ARI,L 19-31,,3,1,63,63.00,0,33.3%,21.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
2,2015,2015-09-20,2,22.338,NOR,,TAM,L 19-26,,6,4,44,11.00,1,66.7%,7.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
3,2015,2015-09-27,3,22.345,NOR,@,CAR,L 22-27,,7,5,44,8.80,0,71.4%,6.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
4,2015,2015-10-04,4,22.352,NOR,,DAL,W 26-20,,6,6,89,14.83,0,100.0%,14.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
5,2015,2015-10-11,5,22.359,NOR,@,PHI,L 17-39,*,11,6,141,23.50,0,54.5%,12.82,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
6,2015,2015-10-15,6,22.363,NOR,,ATL,W 31-21,*,5,4,55,13.75,0,80.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
7,2015,2015-10-25,7,23.008,NOR,@,IND,W 27-21,*,7,3,25,8.33,0,42.9%,3.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,2015,2015-11-01,8,23.015,NOR,,NYG,W 52-49,*,8,6,70,11.67,2,75.0%,8.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12
9,2015,2015-11-08,9,23.022,NOR,,TEN,L 28-34,*,10,6,95,15.83,0,60.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
10,2015,2015-11-15,10,23.029,NOR,@,WAS,L 14-47,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
11,2015,2015-11-29,11,23.043,NOR,@,HOU,L 6-24,*,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
12,2015,2015-12-13,13,23.057,NOR,@,TAM,W 24-17,,8,7,122,17.43,0,87.5%,15.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
13,2015,2015-12-21,14,23.065,NOR,,DET,L 27-35,*,12,10,76,7.60,0,83.3%,6.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
14,2015,2015-12-27,15,23.071,NOR,,JAX,W 38-27,*,6,4,75,18.75,0,66.7%,12.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
15,2015,2016-01-03,16,23.078,NOR,@,ATL,W 20-17,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
16,2016,2016-09-11,1,23.330,NOR,,OAK,L 34-35,,9,9,172,19.11,1,100.0%,19.11,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
