ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1991,1991-09-01,1,25.063,NYJ,,TAM,W 16-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,129,43.00,0
2,1991,1991-09-08,2,25.070,NYJ,@,SEA,L 13-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,112,37.33,0
3,1991,1991-09-15,3,25.077,NYJ,,BUF,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,165,41.25,0
4,1991,1991-09-23,4,25.085,NYJ,@,CHI,L 13-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,206,41.20,0
5,1991,1991-09-29,5,25.091,NYJ,,MIA,W 41-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,101,33.67,0
6,1991,1991-10-06,6,25.098,NYJ,@,CLE,W 17-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,136,45.33,0
7,1991,1991-10-13,7,25.105,NYJ,,HOU,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,188,37.60,0
8,1991,1991-10-20,8,25.112,NYJ,@,IND,W 17-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,132,44.00,0
9,1991,1991-11-03,9,25.126,NYJ,,GNB,W 19-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,254,42.33,0
10,1991,1991-11-10,10,25.133,NYJ,,IND,L 27-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,80,40.00,0
11,1991,1991-11-17,11,25.140,NYJ,@,NWE,W 28-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,232,38.67,0
12,1991,1991-11-24,12,25.147,NYJ,,SDG,W 24-3,,1,18,18.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,186,37.20,0
13,1991,1991-12-01,13,25.154,NYJ,@,BUF,L 13-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,206,34.33,0
14,1991,1991-12-08,14,25.161,NYJ,@,DET,L 20-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,131,43.67,0
15,1991,1991-12-15,15,25.168,NYJ,,NWE,L 3-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,2,50.0,0,3,4,155,38.75,0
16,1991,1991-12-22,16,25.175,NYJ,@,MIA,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,108,36.00,0
17,1992,1992-09-06,1,26.068,NYJ,@,ATL,L 17-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,135,45.00,0
18,1992,1992-09-13,2,26.075,NYJ,@,PIT,L 10-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,192,38.40,0
19,1992,1992-09-20,3,26.082,NYJ,,SFO,L 14-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,158,39.50,0
20,1992,1992-09-27,4,26.089,NYJ,@,RAM,L 10-18,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,126,42.00,0
21,1992,1992-10-04,5,26.096,NYJ,,NWE,W 30-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,136,45.33,0
22,1992,1992-10-11,6,26.103,NYJ,@,IND,L 3-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,231,38.50,0
23,1992,1992-10-26,7,26.118,NYJ,,BUF,L 20-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,197,49.25,0
24,1992,1992-11-01,8,26.124,NYJ,,MIA,W 26-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,271,45.17,0
25,1992,1992-11-08,9,26.131,NYJ,@,DEN,L 16-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,197,39.40,0
26,1992,1992-11-15,10,26.138,NYJ,,CIN,W 17-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,166,41.50,0
27,1992,1992-11-22,11,26.145,NYJ,@,NWE,L 3-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,210,42.00,0
28,1992,1992-11-29,12,26.152,NYJ,,KAN,L 7-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,181,45.25,0
29,1992,1992-12-06,13,26.159,NYJ,@,BUF,W 24-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,204,40.80,0
30,1992,1992-12-13,14,26.166,NYJ,,IND,L 6-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,176,44.00,0
31,1992,1992-12-20,15,26.173,NYJ,@,MIA,L 17-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,166,33.20,0
32,1992,1992-12-26,16,26.179,NYJ,,NOR,L 0-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,247,35.29,0
33,1993,1993-09-05,1,27.067,NYJ,,DEN,L 20-26,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,2,106,53.00,0
34,1993,1993-09-12,2,27.074,NYJ,@,MIA,W 24-14,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,141,35.25,0
35,1993,1993-09-26,3,27.088,NYJ,,NWE,W 45-7,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,144,36.00,0
36,1993,1993-10-03,4,27.095,NYJ,,PHI,L 30-35,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,171,34.20,0
37,1993,1993-10-10,5,27.102,NYJ,@,RAI,L 20-24,,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,0,0,5,217,43.40,0
38,1993,1993-10-24,6,27.116,NYJ,,BUF,L 10-19,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,131,43.67,0
39,1993,1993-10-31,7,27.123,NYJ,@,NYG,W 10-6,,1,5,5.00,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,99,33.00,0
40,1993,1993-11-07,8,27.130,NYJ,,MIA,W 27-10,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,142,35.50,0
41,1993,1993-11-14,9,27.137,NYJ,@,IND,W 31-17,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,140,35.00,0
42,1993,1993-11-21,10,27.144,NYJ,,CIN,W 17-12,,1,-32,-32.00,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,192,38.40,0
43,1993,1993-11-28,11,27.151,NYJ,@,NWE,W 6-0,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,260,43.33,0
44,1993,1993-12-05,12,27.158,NYJ,,IND,L 6-9,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,6,210,35.00,0
45,1993,1993-12-11,13,27.164,NYJ,@,WAS,W 3-0,,1,0,0.00,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,183,30.50,0
46,1993,1993-12-18,14,27.171,NYJ,,DAL,L 7-28,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,224,37.33,0
47,1993,1993-12-26,15,27.179,NYJ,@,BUF,L 14-16,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,116,38.67,0
48,1993,1994-01-02,16,27.186,NYJ,@,HOU,L 0-24,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,330,47.14,0
49,1994,1994-09-04,1,28.066,KAN,@,NOR,W 30-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,35,35.00,0
50,1994,1994-09-11,2,28.073,KAN,,SFO,W 24-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,321,45.86,0
51,1994,1994-09-18,3,28.080,KAN,@,ATL,W 30-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,72,36.00,0
52,1994,1994-09-25,4,28.087,KAN,,RAM,L 0-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,186,46.50,0
53,1994,1994-10-09,5,28.101,KAN,@,SDG,L 6-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,224,44.80,0
