ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,22.332,OAK,@,NOR,W 35-34,,3,84,28.00,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,1,6,6.00,0,1,6,0.0,0,0
2,2016,2016-09-18,2,22.339,OAK,,ATL,L 28-35,,6,17,2.83,0,1,1,10,10.00,0,100.0%,10.00,1,24,24.00,0,1,0,0.00,0,0,0,0.0,0,0
3,2016,2016-09-25,3,22.346,OAK,@,TEN,W 17-10,,6,28,4.67,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,3,38,12.67,0,0,0,0.0,0,0
4,2016,2016-10-02,4,22.353,OAK,@,BAL,W 28-27,,2,15,7.50,0,3,1,5,5.00,0,33.3%,1.67,3,66,22.00,0,3,72,24.00,0,0,0,0.0,0,0
5,2016,2016-10-09,5,22.360,OAK,,SDG,W 34-31,,8,31,3.88,0,7,6,66,11.00,0,85.7%,9.43,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2016,2016-10-16,6,23.001,OAK,,KAN,L 10-26,,4,7,1.75,0,3,2,5,2.50,0,66.7%,1.67,4,108,27.00,0,0,0,,0,0,0,0.0,0,0
7,2016,2016-10-23,7,23.008,OAK,@,JAX,W 33-16,,1,1,1.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,5,41,8.20,0,0,0,0.0,0,0
8,2016,2016-10-30,8,23.015,OAK,@,TAM,W 30-24,,5,34,6.80,0,2,2,3,1.50,0,100.0%,1.50,1,25,25.00,0,4,33,8.25,0,0,0,0.0,0,0
9,2016,2016-11-06,9,23.022,OAK,,DEN,W 30-20,,8,62,7.75,0,3,2,10,5.00,0,66.7%,3.33,1,26,26.00,0,4,26,6.50,0,0,0,0.0,0,0
10,2016,2016-11-21,10,23.037,OAK,,HOU,W 27-20,,3,2,0.67,0,3,3,50,16.67,1,100.0%,16.67,0,0,,0,0,0,,0,1,6,0.0,0,0
11,2016,2016-11-27,11,23.043,OAK,,CAR,W 35-32,,7,23,3.29,0,0,0,0,,0,0.0%,,2,46,23.00,0,5,34,6.80,0,0,0,0.0,0,0
12,2016,2016-12-04,12,23.050,OAK,,BUF,W 38-24,,9,53,5.89,0,0,0,0,,0,0.0%,,1,22,22.00,0,2,17,8.50,0,0,0,0.0,0,0
