ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1986,1986-09-07,1,22.067,MIN,,DET,L 10-13,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,1986,1986-09-14,2,22.074,MIN,@,TAM,W 23-10,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,1986,1986-09-21,3,22.081,MIN,,PIT,W 31-7,,6,140,23.33,2,,,1,14,14.00,0,0,0,,0,0,0,,,,,,2,12
4,1986,1986-09-28,4,22.088,MIN,,GNB,W 42-7,,6,106,17.67,2,,,0,0,,0,0,0,,0,0,0,,,,,,2,12
5,1986,1986-10-05,5,22.095,MIN,@,CHI,L 0-23,,1,45,45.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
6,1986,1986-10-12,6,22.102,MIN,@,SFO,W 27-24,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
7,1986,1986-10-19,7,22.109,MIN,,CHI,W 23-7,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
8,1986,1986-10-26,8,22.116,MIN,,CLE,L 20-23,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1986,1986-11-02,9,22.123,MIN,@,WAS,L 38-44,,1,45,45.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,1986,1986-11-09,10,22.130,MIN,@,DET,W 24-10,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,1986,1986-11-16,11,22.137,MIN,,NYG,L 20-22,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
12,1986,1986-11-23,12,22.144,MIN,@,CIN,L 20-24,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
13,1986,1986-11-30,13,22.151,MIN,,TAM,W 45-13,,3,47,15.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1986,1986-12-07,14,22.158,MIN,@,GNB,W 32-6,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
15,1986,1986-12-14,15,22.165,MIN,@,HOU,L 10-23,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
16,1986,1986-12-21,16,22.172,MIN,,NOR,W 33-17,,5,100,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
17,1987,1987-09-13,1,23.073,MIN,,DET,W 34-19,,0,0,,0,,,,,,,,,,,,,,,,,,,
18,1987,1987-09-20,2,23.080,MIN,@,RAM,W 21-16,,3,76,25.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
19,1987,1987-10-26,6,23.116,MIN,,DEN,W 34-27,,0,0,,0,,,,,,,,,,,,,,,,,,,
20,1987,1987-11-01,7,23.122,MIN,@,SEA,L 17-28,,0,0,,0,,,,,,,,,,,,,,,,,,,
21,1987,1987-11-08,8,23.129,MIN,,RAI,W 31-20,,1,58,58.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
22,1987,1987-11-15,9,23.136,MIN,,TAM,W 23-17,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
23,1987,1987-11-22,10,23.143,MIN,,ATL,W 24-13,,0,0,,0,,,,,,,,,,,,,,,,,,,
24,1987,1987-11-26,11,23.147,MIN,@,DAL,W 44-38,,0,0,,0,,,,,,,,,,,,,,,,,,,
25,1987,1987-12-06,12,23.157,MIN,,CHI,L 24-30,,1,33,33.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
26,1987,1987-12-13,13,23.164,MIN,@,GNB,L 10-16,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
27,1987,1987-12-20,14,23.171,MIN,@,DET,W 17-14,,0,0,,0,,,,,,,,,,,,,,,,,,,
28,1987,1987-12-26,15,23.177,MIN,,WAS,L 24-27,,0,0,,0,,,,,,,,,,,,,,,,,,,
29,1988,1988-09-04,1,24.064,MIN,@,BUF,L 10-13,,1,23,23.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
30,1988,1988-09-11,2,24.071,MIN,,NWE,W 36-6,,3,59,19.67,0,,,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0
31,1988,1988-09-18,3,24.078,MIN,@,CHI,W 31-7,,1,19,19.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
32,1988,1988-09-25,4,24.085,MIN,,PHI,W 23-21,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
33,1988,1988-10-02,5,24.092,MIN,@,MIA,L 7-24,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
34,1988,1988-10-09,6,24.099,MIN,,TAM,W 14-13,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
35,1988,1988-10-16,7,24.106,MIN,,GNB,L 14-34,,4,66,16.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
36,1988,1988-10-23,8,24.113,MIN,@,TAM,W 49-20,,4,77,19.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
37,1988,1988-10-30,9,24.120,MIN,@,SFO,L 21-24,,6,81,13.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
38,1988,1988-11-06,10,24.127,MIN,,DET,W 44-17,,4,59,14.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
39,1988,1988-11-13,11,24.134,MIN,@,DAL,W 43-3,,3,132,44.00,2,,,0,0,,0,0,0,,0,0,0,,,,,,2,12
40,1988,1988-11-20,12,24.141,MIN,,IND,W 12-3,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
41,1988,1988-11-24,13,24.145,MIN,@,DET,W 23-0,,5,68,13.60,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
42,1988,1988-12-04,14,24.155,MIN,,NOR,W 45-3,,3,89,29.67,2,,,0,0,,0,0,0,,0,0,0,,,,,,2,12
43,1988,1988-12-11,15,24.162,MIN,@,GNB,L 6-18,,2,38,19.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
44,1988,1988-12-19,16,24.170,MIN,,CHI,W 28-27,,3,54,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
45,1989,1989-09-10,1,25.070,MIN,,HOU,W 38-7,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
46,1989,1989-09-17,2,25.077,MIN,@,CHI,L 7-38,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
47,1989,1989-09-24,3,25.084,MIN,@,PIT,L 14-27,,4,44,11.00,0,,,1,37,37.00,0,0,0,,0,0,0,,,,,,0,0
48,1989,1989-10-01,4,25.091,MIN,,TAM,W 17-3,,3,38,12.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
49,1989,1989-10-08,5,25.098,MIN,,DET,W 24-17,,2,44,22.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
50,1989,1989-10-15,6,25.105,MIN,,GNB,W 26-14,,4,68,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
51,1989,1989-10-22,7,25.112,MIN,@,DET,W 20-7,,2,4,2.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
52,1989,1989-10-30,8,25.120,MIN,@,NYG,L 14-24,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
53,1989,1989-11-05,9,25.126,MIN,,RAM,W 23-21,,4,88,22.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
54,1989,1989-11-12,10,25.133,MIN,@,TAM,W 24-10,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
55,1989,1989-11-19,11,25.140,MIN,@,PHI,L 9-10,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
56,1989,1989-11-26,12,25.147,MIN,@,GNB,L 19-20,,3,42,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
57,1989,1989-12-03,13,25.154,MIN,,CHI,W 27-16,,4,97,24.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
58,1989,1989-12-10,14,25.161,MIN,,ATL,W 43-17,,3,64,21.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
59,1989,1989-12-17,15,25.168,MIN,@,CLE,L 17-23,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
60,1989,1989-12-25,16,25.176,MIN,,CIN,W 29-21,,4,90,22.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
61,1990,1990-09-09,1,26.069,MIN,@,KAN,L 21-24,,5,68,13.60,0,,,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0,0
62,1990,1990-09-16,2,26.076,MIN,,NOR,W 32-3,,4,103,25.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
63,1990,1990-09-23,3,26.083,MIN,@,CHI,L 16-19,,5,72,14.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
64,1990,1990-09-30,4,26.090,MIN,,TAM,L 20-23,,5,101,20.20,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
65,1990,1990-10-07,5,26.097,MIN,,DET,L 27-34,,5,62,12.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
66,1990,1990-10-15,6,26.105,MIN,@,PHI,L 24-32,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
67,1990,1990-10-28,7,26.118,MIN,@,GNB,L 10-24,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
68,1990,1990-11-04,8,26.125,MIN,,DEN,W 27-22,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
69,1990,1990-11-11,9,26.132,MIN,@,DET,W 17-7,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
70,1990,1990-11-18,10,26.139,MIN,@,SEA,W 24-21,,3,41,13.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
71,1990,1990-11-25,11,26.146,MIN,,CHI,W 41-13,,3,39,13.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
72,1990,1990-12-02,12,26.153,MIN,,GNB,W 23-7,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
73,1990,1990-12-16,14,26.167,MIN,@,TAM,L 13-26,,7,162,23.14,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
74,1990,1990-12-22,15,26.173,MIN,,RAI,L 24-28,,3,26,8.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
75,1990,1990-12-30,16,26.181,MIN,,SFO,L 17-20,,3,35,11.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
76,1991,1991-09-01,1,27.061,MIN,@,CHI,L 6-10,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
77,1991,1991-09-08,2,27.068,MIN,@,ATL,W 20-19,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
78,1991,1991-09-15,3,27.075,MIN,,SFO,W 17-14,,5,55,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
79,1991,1991-09-22,4,27.082,MIN,@,NOR,L 0-26,,1,43,43.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
80,1991,1991-09-29,5,27.089,MIN,,DEN,L 6-13,,2,30,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
81,1991,1991-10-06,6,27.096,MIN,@,DET,L 20-24,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
82,1991,1991-10-13,7,27.103,MIN,,PHO,W 34-7,,4,34,8.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
83,1991,1991-10-20,8,27.110,MIN,@,NWE,L 23-26,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
84,1991,1991-10-27,9,27.117,MIN,@,PHO,W 28-0,,3,33,11.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,1,6
85,1991,1991-11-03,10,27.124,MIN,,TAM,W 28-13,,4,40,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
86,1991,1991-11-11,11,27.132,MIN,,CHI,L 17-34,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
