ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,24.319,BUF,,NWE,L 21-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
2,2013,2013-09-15,2,24.326,BUF,,CAR,W 24-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,2013,2013-09-22,3,24.333,BUF,@,NYJ,L 20-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
4,2013,2013-09-29,4,24.340,BUF,,BAL,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
5,2013,2013-10-03,5,24.344,BUF,@,CLE,L 24-37,,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
6,2013,2013-10-13,6,24.354,BUF,,CIN,L 24-27,,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
7,2013,2013-10-20,7,24.361,BUF,@,MIA,W 23-21,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
8,2013,2013-10-27,8,25.003,BUF,@,NOR,L 17-35,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
9,2013,2013-11-03,9,25.010,BUF,,KAN,L 13-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
10,2013,2013-11-10,10,25.017,BUF,@,PIT,L 10-23,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
11,2013,2013-11-17,11,25.024,BUF,,NYJ,W 37-14,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
12,2013,2013-12-01,12,25.038,BUF,,ATL,L 31-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
13,2013,2013-12-08,13,25.045,BUF,@,TAM,L 6-27,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
14,2013,2013-12-15,14,25.052,BUF,@,JAX,W 27-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
15,2013,2013-12-22,15,25.059,BUF,,MIA,W 19-0,,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
16,2013,2013-12-29,16,25.066,BUF,@,NWE,L 20-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
17,2014,2014-09-07,1,25.318,BUF,@,CHI,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
18,2014,2014-09-14,2,25.325,BUF,,MIA,W 29-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1
19,2014,2014-09-21,3,25.332,BUF,,SDG,L 10-22,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
20,2014,2014-09-28,4,25.339,BUF,@,HOU,L 17-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
21,2014,2014-10-05,5,25.346,BUF,@,DET,W 17-14,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
22,2014,2014-10-12,6,25.353,BUF,,NWE,L 22-37,,6,5,72,14.40,1,83.3%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
23,2014,2014-10-19,7,25.360,BUF,,MIN,W 17-16,,6,5,63,12.60,0,83.3%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
24,2014,2014-10-26,8,26.002,BUF,@,NYJ,W 43-23,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
25,2014,2014-11-09,9,26.016,BUF,,KAN,L 13-17,*,7,5,57,11.40,1,71.4%,8.14,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
26,2014,2014-11-13,10,26.020,BUF,@,MIA,L 9-22,*,9,7,74,10.57,0,77.8%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
27,2014,2014-11-24,11,26.031,BUF,,NYJ,W 38-3,,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
28,2014,2014-11-30,12,26.037,BUF,,CLE,W 26-10,,4,2,8,4.00,1,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
29,2014,2014-12-07,13,26.044,BUF,@,DEN,L 17-24,,9,7,54,7.71,1,77.8%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
30,2014,2014-12-14,14,26.051,BUF,,GNB,W 21-13,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
31,2014,2014-12-21,15,26.058,BUF,@,OAK,L 24-26,,9,3,43,14.33,0,33.3%,4.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
32,2014,2014-12-28,16,26.065,BUF,@,NWE,W 17-9,,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
33,2015,2015-09-13,1,26.324,BUF,,IND,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
34,2015,2015-09-20,2,26.331,BUF,,NWE,L 32-40,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
35,2015,2015-09-27,3,26.338,BUF,@,MIA,W 41-14,,4,3,42,14.00,1,75.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
36,2015,2015-10-04,4,26.345,BUF,,NYG,L 10-24,*,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
37,2015,2015-10-11,5,26.352,BUF,@,TEN,W 14-13,,3,3,52,17.33,1,100.0%,17.33,0,0,,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,1,6,0.0,0,0
38,2015,2015-10-18,6,26.359,BUF,,CIN,L 21-34,,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
39,2015,2015-10-25,7,27.001,BUF,@,JAX,L 31-34,*,11,6,56,9.33,0,54.5%,5.09,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
40,2015,2015-11-08,8,27.015,BUF,,MIA,W 33-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
41,2015,2015-11-12,9,27.019,BUF,@,NYJ,W 22-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
42,2015,2015-11-23,10,27.030,BUF,@,NWE,L 13-20,,7,6,95,15.83,0,85.7%,13.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
43,2015,2015-11-29,11,27.036,BUF,@,KAN,L 22-30,,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
44,2015,2015-12-06,12,27.043,BUF,,HOU,W 30-21,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
45,2015,2015-12-13,13,27.050,BUF,@,PHI,L 20-23,,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
