ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-10-01,3,32.202,CHI,@,GNB,L 21-31,2,4,2.00,0,0,0,,0,0,,,,,,
2,1950,1950-10-29,6,32.230,CHI,@,NYY,L 27-38,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
