ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-08,1,25.110,CLE,,MIA,L 10-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,225,45.00,0
2,2013,2013-09-15,2,25.117,CLE,@,BAL,L 6-14,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,8,336,42.00,0
3,2013,2013-09-22,3,25.124,CLE,@,MIN,W 31-27,,1,1,100.00,11,1,0,152.1,0,0,11.00,31.00,1,1,100.0,,,,0,1,0.0,0,0,5,234,46.80,0
4,2013,2013-09-29,4,25.131,CLE,,CIN,W 17-6,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,214,42.80,0
5,2013,2013-10-03,5,25.135,CLE,,BUF,W 37-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,276,46.00,0
6,2013,2013-10-13,6,25.145,CLE,,DET,L 17-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,284,47.33,0
7,2013,2013-10-20,7,25.152,CLE,@,GNB,L 13-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,133,44.33,0
8,2013,2013-10-27,8,25.159,CLE,@,KAN,L 17-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,280,46.67,0
9,2013,2013-11-03,9,25.166,CLE,,BAL,W 24-18,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,303,50.50,0
10,2013,2013-11-17,10,25.180,CLE,@,CIN,L 20-41,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,6,231,38.50,1
11,2013,2013-11-24,11,25.187,CLE,,PIT,L 11-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,195,39.00,0
12,2013,2013-12-01,12,25.194,CLE,,JAX,L 28-32,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,4,158,39.50,0
13,2013,2013-12-08,13,25.201,CLE,@,NWE,L 26-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,259,43.17,0
14,2013,2013-12-15,14,25.208,CLE,,CHI,L 31-38,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,5,211,42.20,0
15,2013,2013-12-22,15,25.215,CLE,@,NYJ,L 13-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,148,49.33,0
16,2013,2013-12-29,16,25.222,CLE,@,PIT,L 7-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,192,38.40,0
17,2014,2014-09-07,1,26.109,CLE,@,PIT,L 27-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,314,44.86,0
18,2014,2014-09-14,2,26.116,CLE,,NOR,W 26-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,208,41.60,0
19,2014,2014-09-21,3,26.123,CLE,,BAL,L 21-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,180,45.00,0
20,2014,2014-10-05,4,26.137,CLE,@,TEN,W 29-28,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,147,49.00,0
21,2014,2014-10-12,5,26.144,CLE,,PIT,W 31-10,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,244,40.67,0
22,2014,2014-10-19,6,26.151,CLE,@,JAX,L 6-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,353,50.43,0
23,2014,2014-10-26,7,26.158,CLE,,OAK,W 23-13,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,324,46.29,0
24,2014,2014-11-02,8,26.165,CLE,,TAM,W 22-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,184,36.80,0
25,2014,2014-11-06,9,26.169,CLE,@,CIN,W 24-3,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,311,44.43,0
26,2014,2014-11-16,10,26.179,CLE,,HOU,L 7-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,231,38.50,0
27,2014,2014-11-23,11,26.186,CLE,@,ATL,W 26-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,1,41,41.00,0
28,2014,2014-11-30,12,26.193,CLE,@,BUF,L 10-26,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,254,42.33,0
29,2014,2014-12-07,13,26.200,CLE,,IND,L 24-25,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,9,407,45.22,0
30,2014,2014-12-14,14,26.207,CLE,,CIN,L 0-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,335,47.86,0
31,2014,2014-12-21,15,26.214,CLE,@,CAR,L 13-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,279,46.50,0
32,2014,2014-12-28,16,26.221,CLE,@,BAL,L 10-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,307,43.86,0
33,2015,2015-10-04,4,27.136,CHI,,OAK,W 22-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,136,45.33,0
