ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-11-26,10,26.232,GNB,,SFO,W 25-21,1,8,8.00,0,0,0,,0
2,1950,1950-12-03,11,26.239,GNB,@,RAM,L 14-51,1,8,8.00,1,0,0,,0
3,1950,1950-12-10,12,26.246,GNB,@,SFO,L 14-30,4,73,18.25,0,0,0,,0
4,1951,1951-09-30,1,27.175,GNB,,CHI,L 20-31,3,39,13.00,1,0,0,,0
5,1951,1951-10-07,2,27.182,GNB,,PIT,W 35-33,3,67,22.33,2,0,0,,0
6,1951,1951-10-14,3,27.189,GNB,,PHI,W 37-24,5,93,18.60,3,1,9,9.00,0
7,1951,1951-10-21,4,27.196,GNB,,RAM,L 0-28,6,90,15.00,0,1,0,0.00,0
8,1951,1951-10-28,5,27.203,GNB,@,NYY,W 29-27,3,35,11.67,1,0,0,,0
9,1951,1951-11-04,6,27.210,GNB,,DET,L 17-24,6,55,9.17,0,0,0,,0
10,1951,1951-11-11,7,27.217,GNB,@,PIT,L 7-28,4,79,19.75,1,0,0,,0
11,1951,1951-11-18,8,27.224,GNB,@,CHI,L 13-24,1,6,6.00,0,0,0,,0
12,1951,1951-12-02,10,27.238,GNB,,NYY,L 28-31,4,66,16.50,0,0,0,,0
13,1951,1951-12-09,11,27.245,GNB,@,SFO,L 19-31,4,43,10.75,0,0,0,,0
14,1951,1951-12-16,12,27.252,GNB,@,RAM,L 14-42,11,123,11.18,0,0,0,,0
15,1952,1952-09-28,1,28.173,GNB,,CHI,L 14-24,1,9,9.00,0,0,0,,0
16,1952,1952-10-05,2,28.180,GNB,,WAS,W 35-20,3,92,30.67,0,0,0,,0
17,1952,1952-10-12,3,28.187,GNB,,RAM,L 28-30,4,58,14.50,2,0,0,,0
18,1952,1952-10-18,4,28.193,GNB,@,DTX,W 24-14,1,28,28.00,1,0,0,,0
19,1952,1952-10-26,5,28.201,GNB,,DET,L 17-52,4,38,9.50,0,0,0,,0
20,1952,1952-11-02,6,28.208,GNB,,PHI,W 12-10,3,50,16.67,0,0,0,,0
21,1952,1952-11-09,7,28.215,GNB,@,CHI,W 41-28,2,33,16.50,1,0,0,,0
22,1952,1952-11-16,8,28.222,GNB,@,NYG,W 17-3,1,2,2.00,1,0,0,,0
23,1952,1952-11-23,9,28.229,GNB,,DTX,W 42-14,4,66,16.50,1,0,0,,0
24,1952,1952-11-27,10,28.233,GNB,@,DET,L 24-48,4,91,22.75,0,0,0,,0
25,1952,1952-12-07,11,28.243,GNB,@,RAM,L 27-45,1,30,30.00,0,0,0,,0
26,1952,1952-12-14,12,28.250,GNB,@,SFO,L 14-24,2,20,10.00,0,0,0,,0
27,1953,1953-09-27,1,29.172,GNB,,CLE,L 0-27,2,22,11.00,0,0,0,,0
28,1953,1953-10-04,2,29.179,GNB,,CHI,L 13-17,2,32,16.00,1,0,0,,0
29,1953,1953-10-11,3,29.186,GNB,,RAM,L 20-38,1,10,10.00,0,0,0,,0
30,1953,1953-10-31,6,29.206,GNB,@,BAL,W 35-24,3,46,15.33,0,0,0,,0
31,1953,1953-11-08,7,29.214,GNB,@,CHI,T 21-21,6,101,16.83,0,0,0,,0
32,1953,1953-11-15,8,29.221,GNB,,DET,L 7-14,4,59,14.75,0,0,0,,0
33,1953,1953-11-22,9,29.228,GNB,,SFO,L 7-37,1,12,12.00,0,0,0,,0
34,1953,1953-11-26,10,29.232,GNB,@,DET,L 15-34,1,16,16.00,1,0,0,,0
35,1953,1953-12-06,11,29.242,GNB,@,SFO,L 14-48,2,24,12.00,0,0,0,,0
36,1953,1953-12-12,12,29.248,GNB,@,RAM,L 17-33,1,5,5.00,0,0,0,,0
