ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-09,1,23.241,HOU,@,SDG,W 31-28,,,,,,,0.0%,,,,,,,
2,2013,2013-09-15,2,23.247,HOU,,TEN,W 30-24,,,,,,,0.0%,,,,,,,
3,2013,2013-09-22,3,23.254,HOU,@,BAL,L 9-30,,0,0,0,,0,0.0%,,,0,0,0.0,1,0
4,2013,2013-09-29,4,23.261,HOU,,SEA,L 20-23,,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0
5,2013,2013-10-06,5,23.268,HOU,@,SFO,L 3-34,,,,,,,0.0%,,,,,,,
6,2013,2013-10-13,6,23.275,HOU,,STL,L 13-38,,3,2,18,9.00,0,66.7%,6.00,,0,0,0.0,0,0
7,2013,2013-10-20,7,23.282,HOU,@,KAN,L 16-17,*,,,,,,0.0%,,,,,,,
8,2013,2013-11-03,8,23.296,HOU,,IND,L 24-27,*,0,,,,,0.0%,,,,,,,
9,2013,2013-11-10,9,23.303,HOU,@,ARI,L 24-27,*,1,1,2,2.00,1,100.0%,2.00,,1,6,0.0,0,0
10,2013,2013-11-24,11,23.317,HOU,,JAX,L 6-13,*,2,1,37,37.00,0,50.0%,18.50,,0,0,0.0,0,0
11,2013,2013-12-01,12,23.324,HOU,,NWE,L 31-34,,0,0,0,,0,0.0%,,,0,0,0.0,1,0
12,2013,2013-12-05,13,23.328,HOU,@,JAX,L 20-27,*,3,1,10,10.00,0,33.3%,3.33,,0,0,0.0,0,0
13,2013,2013-12-15,14,23.338,HOU,@,IND,L 3-25,*,6,6,62,10.33,0,100.0%,10.33,,0,0,0.0,1,0
14,2013,2013-12-22,15,23.345,HOU,,DEN,L 13-37,*,5,5,66,13.20,0,100.0%,13.20,,0,0,0.0,0,1
15,2013,2013-12-29,16,23.352,HOU,@,TEN,L 10-16,*,7,3,49,16.33,0,42.9%,7.00,,0,0,0.0,0,0
16,2014,2014-09-07,1,24.239,HOU,,WAS,W 17-6,,2,1,6,6.00,0,50.0%,3.00,,0,0,0.0,0,0
17,2014,2014-09-14,2,24.246,HOU,@,OAK,W 30-14,,0,,,,,0.0%,,,,,,,
18,2014,2014-09-21,3,24.253,HOU,@,NYG,L 17-30,,,,,,,0.0%,,,,,,,
19,2014,2014-09-28,4,24.260,HOU,,BUF,W 23-17,,,,,,,0.0%,,,,,,,
20,2014,2014-10-05,5,24.267,HOU,@,DAL,L 17-20,,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,0,0
21,2014,2014-10-09,6,24.271,HOU,,IND,L 28-33,,0,0,0,,0,0.0%,,,0,0,0.0,1,0
22,2014,2014-10-20,7,24.282,HOU,@,PIT,L 23-30,,,,,,,0.0%,,,,,,,
23,2014,2014-10-26,8,24.288,HOU,@,TEN,W 30-16,,,,,,,0.0%,,,,,,,
24,2014,2014-11-02,9,24.295,HOU,,PHI,L 21-31,,,,,,,0.0%,,,,,,,
25,2014,2014-11-16,10,24.309,HOU,@,CLE,W 23-7,,,,,,,0.0%,,,,,,,
26,2014,2014-11-23,11,24.316,HOU,,CIN,L 13-22,,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
27,2014,2014-11-30,12,24.323,HOU,,TEN,W 45-21,,3,1,8,8.00,1,33.3%,2.67,,1,6,0.0,0,0
28,2014,2014-12-07,13,24.330,HOU,@,JAX,W 27-13,,1,1,25,25.00,0,100.0%,25.00,,0,0,0.0,0,0
29,2014,2014-12-14,14,24.337,HOU,@,IND,L 10-17,*,4,2,11,5.50,0,50.0%,2.75,,0,0,0.0,1,0
30,2014,2014-12-21,15,24.344,HOU,,BAL,W 25-13,,3,3,25,8.33,0,100.0%,8.33,,0,0,0.0,0,0
31,2014,2014-12-28,16,24.351,HOU,,JAX,W 23-17,*,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,0,0
32,2015,2015-09-13,1,25.245,HOU,,KAN,L 20-27,*,4,1,18,18.00,0,25.0%,4.50,,0,0,0.0,0,0
33,2015,2015-11-16,9,25.309,HOU,@,CIN,W 10-6,*,6,3,36,12.00,0,50.0%,6.00,,0,0,0.0,0,0
34,2015,2015-11-22,10,25.315,HOU,,NYJ,W 24-17,,2,2,6,3.00,0,100.0%,3.00,,0,0,0.0,0,0
35,2015,2015-11-29,11,25.322,HOU,,NOR,W 24-6,,5,4,72,18.00,1,80.0%,14.40,,1,6,0.0,0,0
36,2015,2015-12-06,12,25.329,HOU,@,BUF,L 21-30,,5,3,29,9.67,1,60.0%,5.80,,1,6,0.0,0,0
37,2015,2015-12-13,13,25.336,HOU,,NWE,L 6-27,,6,1,20,20.00,0,16.7%,3.33,,0,0,0.0,0,0
38,2015,2015-12-20,14,25.343,HOU,@,IND,W 16-10,,2,2,30,15.00,0,100.0%,15.00,,0,0,0.0,0,0
39,2015,2015-12-27,15,25.350,HOU,@,TEN,W 34-6,*,1,1,13,13.00,0,100.0%,13.00,,0,0,0.0,0,0
40,2015,2016-01-03,16,25.357,HOU,,JAX,W 30-6,*,3,3,27,9.00,0,100.0%,9.00,,0,0,0.0,0,0
41,2016,2016-09-11,1,26.244,HOU,,CHI,W 23-14,,2,2,17,8.50,0,100.0%,8.50,,0,0,0.0,0,0
42,2016,2016-09-18,2,26.251,HOU,,KAN,W 19-12,,2,1,5,5.00,0,50.0%,2.50,,0,0,0.0,0,0
43,2016,2016-09-22,3,26.255,HOU,@,NWE,L 0-27,,10,8,52,6.50,0,80.0%,5.20,,0,0,0.0,0,0
44,2016,2016-10-02,4,26.265,HOU,,TEN,W 27-20,,5,3,54,18.00,0,60.0%,10.80,,0,0,0.0,0,0
45,2016,2016-10-09,5,26.272,HOU,@,MIN,L 13-31,*,6,2,8,4.00,0,33.3%,1.33,,0,0,0.0,0,0
46,2016,2016-10-16,6,26.279,HOU,,IND,W 26-23,,5,3,31,10.33,0,60.0%,6.20,,0,0,0.0,0,0
47,2016,2016-10-24,7,26.287,HOU,@,DEN,L 9-27,,5,2,13,6.50,0,40.0%,2.60,,0,0,0.0,0,0
48,2016,2016-10-30,8,26.293,HOU,,DET,W 20-13,,3,3,34,11.33,0,100.0%,11.33,,0,0,0.0,0,0
49,2016,2016-11-13,9,26.307,HOU,@,JAX,W 24-21,*,4,3,7,2.33,1,75.0%,1.75,,1,6,0.0,0,0
50,2016,2016-11-21,10,26.315,HOU,@,OAK,L 20-27,*,5,3,32,10.67,0,60.0%,6.40,,0,0,0.0,0,0
51,2016,2016-11-27,11,26.321,HOU,,SDG,L 13-21,,5,4,36,9.00,0,80.0%,7.20,,0,0,0.0,0,0
52,2016,2016-12-04,12,26.328,HOU,@,GNB,L 13-21,,6,4,35,8.75,1,66.7%,5.83,,1,6,0.0,0,0
53,2016,2016-12-11,13,26.335,HOU,@,IND,W 22-17,,2,2,23,11.50,0,100.0%,11.50,,0,0,0.0,0,0
54,2016,2016-12-18,14,26.342,HOU,,JAX,W 21-20,*,8,8,85,10.63,0,100.0%,10.63,,0,0,0.0,0,0
55,2016,2016-12-24,15,26.348,HOU,,CIN,W 12-10,,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
56,2016,2017-01-01,16,26.356,HOU,@,TEN,L 17-24,*,4,2,10,5.00,0,50.0%,2.50,,0,0,0.0,0,0
57,2017,2017-09-10,1,27.242,HOU,,JAX,L 7-29,*,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
58,2017,2017-09-24,3,27.256,HOU,@,NWE,L 33-36,*,6,5,61,12.20,1,83.3%,10.17,,1,6,0.0,0,0
59,2017,2017-10-01,4,27.263,HOU,,TEN,W 57-14,*,5,2,13,6.50,0,40.0%,2.60,,0,0,0.0,0,0
60,2017,2017-10-08,5,27.270,HOU,,KAN,L 34-42,*,4,2,22,11.00,0,50.0%,5.50,,0,0,0.0,0,0
61,2017,2017-10-15,6,27.277,HOU,,CLE,W 33-17,*,8,3,52,17.33,0,37.5%,6.50,1,0,2,0.0,0,0
62,2017,2017-10-29,7,27.291,HOU,@,SEA,L 38-41,*,2,1,10,10.00,0,50.0%,5.00,,0,0,0.0,0,0
63,2017,2017-11-05,8,27.298,HOU,,IND,L 14-20,,0,0,0,,0,0.0%,,,0,0,0.0,0,0
64,2018,2018-09-09,1,28.241,HOU,@,NWE,L 20-27,*,5,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
65,2018,2018-09-16,2,28.248,HOU,@,TEN,L 17-20,*,1,1,19,19.00,0,100.0%,19.00,,0,0,0.0,0,0
66,2018,2018-09-23,3,28.255,HOU,,NYG,L 22-27,*,4,2,44,22.00,0,50.0%,11.00,,0,0,0.0,0,0
