ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1960,1960-10-02,2,22.164,CHI,@,BAL,L 7-42,2,52,26.00,1,2,10,5.00,0,0,0,,0,1,6
2,1960,1960-10-09,3,22.171,CHI,,RAM,W 34-27,4,94,23.50,1,0,0,,0,0,0,,0,1,6
3,1960,1960-10-23,5,22.185,CHI,@,RAM,T 24-24,6,96,16.00,2,1,-14,-14.00,0,0,0,,0,2,12
4,1960,1960-10-30,6,22.192,CHI,@,SFO,L 7-25,1,15,15.00,0,0,0,,0,0,0,,0,0,0
5,1960,1960-11-13,7,22.206,CHI,,BAL,L 20-24,1,21,21.00,0,0,0,,0,0,0,,0,0,0
6,1960,1960-11-20,8,22.213,CHI,,DET,W 28-7,5,48,9.60,0,0,0,,0,2,2,1.00,0,0,0
7,1960,1960-11-27,9,22.220,CHI,,DAL,W 17-7,1,28,28.00,0,0,0,,0,0,0,,0,0,0
8,1960,1960-12-04,10,22.227,CHI,,GNB,L 13-41,3,104,34.67,0,0,0,,0,0,0,,0,0,0
9,1960,1960-12-11,11,22.234,CHI,@,CLE,L 0-42,1,14,14.00,0,0,0,,0,0,0,,0,0,0
10,1960,1960-12-18,12,22.241,CHI,@,DET,L 0-36,1,6,6.00,0,0,0,,0,0,0,,0,0,0
11,1961,1961-09-17,1,23.149,CHI,@,MIN,L 13-37,2,26,13.00,0,0,0,,0,0,0,,0,0,0
12,1961,1961-09-23,2,23.155,CHI,@,RAM,W 21-17,1,22,22.00,0,0,0,,0,0,0,,0,0,0
13,1961,1961-11-05,8,23.198,CHI,@,PHI,L 14-16,2,13,6.50,0,0,0,,0,0,0,,0,0,0
14,1961,1961-11-26,11,23.219,CHI,,RAM,W 28-24,2,25,12.50,0,0,0,,0,0,0,,0,0,0
15,1961,1961-12-10,13,23.233,CHI,,CLE,W 17-14,3,85,28.33,1,0,0,,0,0,0,,0,1,6
16,1961,1961-12-17,14,23.240,CHI,,MIN,W 52-35,2,78,39.00,2,0,0,,0,0,0,,0,2,12
17,1962,1962-09-23,2,24.155,CHI,@,RAM,W 27-23,2,22,11.00,0,0,0,,0,0,0,,0,0,0
18,1962,1962-10-07,4,24.169,CHI,@,MIN,W 13-0,1,3,3.00,0,0,0,,0,0,0,,0,0,0
19,1962,1962-11-11,9,24.204,CHI,,MIN,W 31-30,3,85,28.33,1,0,0,,0,0,0,,0,1,6
20,1962,1962-11-18,10,24.211,CHI,@,DAL,W 34-33,2,28,14.00,0,0,0,,0,0,0,,0,0,0
21,1962,1962-11-25,11,24.218,CHI,@,BAL,W 57-0,6,128,21.33,2,0,0,,0,0,0,,0,2,12
22,1962,1962-12-02,12,24.225,CHI,,NYG,L 24-26,4,61,15.25,1,0,0,,0,0,0,,0,1,6
23,1962,1962-12-09,13,24.232,CHI,,RAM,W 30-14,1,4,4.00,0,0,0,,0,0,0,,0,0,0
24,1962,1962-12-16,14,24.239,CHI,,DET,W 3-0,3,30,10.00,0,0,0,,0,0,0,,0,0,0
25,1963,1963-09-29,3,25.161,CHI,@,DET,W 37-21,5,60,12.00,1,0,0,,0,0,0,,0,1,6
26,1963,1963-10-27,7,25.189,CHI,,PHI,W 16-7,0,0,,0,1,4,4.00,0,0,0,,0,0,0
27,1963,1963-11-10,9,25.203,CHI,,RAM,W 6-0,1,2,2.00,0,0,0,,0,0,0,,0,0,0
28,1963,1963-11-17,10,25.210,CHI,,GNB,W 26-7,2,26,13.00,0,1,-2,-2.00,0,0,0,,0,0,0
29,1963,1963-12-01,12,25.224,CHI,,MIN,T 17-17,3,28,9.33,0,0,0,,0,0,0,,0,0,0
30,1964,1964-09-13,1,26.145,WAS,,CLE,L 13-27,2,13,6.50,0,0,0,,0,0,0,,0,0,0
31,1964,1964-10-04,4,26.166,WAS,,STL,L 17-23,1,11,11.00,0,0,0,,0,0,0,,0,0,0
32,1964,1964-10-11,5,26.173,WAS,,PHI,W 35-20,2,35,17.50,0,0,0,,0,0,0,,0,0,0
33,1964,1964-10-18,6,26.180,WAS,@,STL,L 24-38,3,35,11.67,1,0,0,,0,0,0,,0,1,6
34,1964,1964-10-25,7,26.187,WAS,,CHI,W 27-20,2,69,34.50,2,0,0,,0,0,0,,0,2,12
35,1964,1964-11-01,8,26.194,WAS,@,PHI,W 21-10,1,12,12.00,0,0,0,,0,0,0,,0,0,0
36,1964,1964-11-08,9,26.201,WAS,@,CLE,L 24-34,1,4,4.00,0,0,0,,0,0,0,,0,0,0
37,1964,1964-11-15,10,26.208,WAS,@,PIT,W 30-0,1,80,80.00,1,0,0,,0,0,0,,0,1,6
38,1964,1964-11-22,11,26.215,WAS,,DAL,W 28-16,6,107,17.83,1,0,0,,0,0,0,,0,1,6
39,1964,1964-11-29,12,26.222,WAS,,NYG,W 36-21,7,64,9.14,0,0,0,,0,0,0,,0,0,0
40,1964,1964-12-06,13,26.229,WAS,,PIT,L 7-14,2,34,17.00,0,0,0,,0,0,0,,0,0,0
41,1964,1964-12-13,14,26.236,WAS,@,BAL,L 17-45,1,36,36.00,0,0,0,,0,0,0,,0,0,0
42,1965,1965-09-19,1,27.151,WAS,,CLE,L 7-17,1,21,21.00,1,0,0,,0,0,0,,0,1,6
43,1965,1965-10-03,3,27.165,WAS,@,DET,L 10-14,1,6,6.00,0,0,0,,0,0,0,,0,0,0
44,1965,1965-10-17,5,27.179,WAS,,BAL,L 7-38,2,15,7.50,0,0,0,,0,0,0,,0,0,0
45,1965,1965-11-21,10,27.214,WAS,@,PIT,W 31-3,2,53,26.50,1,0,0,,0,0,0,,0,1,6
46,1965,1965-11-28,11,27.221,WAS,,DAL,W 34-31,5,93,18.60,1,0,0,,0,0,0,,0,1,6
47,1965,1965-12-05,12,27.228,WAS,@,CLE,L 16-24,5,34,6.80,0,0,0,,0,0,0,,0,0,0
48,1965,1965-12-12,13,27.235,WAS,,NYG,L 10-27,2,18,9.00,0,0,0,,0,0,0,,0,0,0
49,1966,1966-09-11,1,28.143,ATL,,RAM,L 14-19,1,18,18.00,0,0,0,,0,0,0,,0,0,0
50,1966,1966-09-18,2,28.150,ATL,@,PHI,L 10-23,2,55,27.50,0,0,0,,0,0,0,,0,0,0
51,1966,1966-09-25,3,28.157,ATL,@,DET,L 10-28,1,20,20.00,0,0,0,,0,0,0,,0,0,0
