ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-05,1,22.302,WAS,,DAL,L 30-31,,,,,,,,
2,1983,1983-09-11,2,22.308,WAS,@,PHI,W 23-13,0,0,,0,1.0,1,1,0
3,1983,1983-09-18,3,22.315,WAS,,KAN,W 27-12,,,,,,,,
4,1983,1983-09-25,4,22.322,WAS,@,SEA,W 27-17,,,,,,,,
5,1983,1983-10-02,5,22.329,WAS,,RAI,W 37-35,0,0,,0,0.0,1,6,0
6,1983,1983-10-09,6,22.336,WAS,@,STL,W 38-14,,,,,,,,
7,1983,1983-10-17,7,22.344,WAS,@,GNB,L 47-48,,,,,,,,
8,1983,1983-10-23,8,22.350,WAS,,DET,W 38-17,,,,,,,,
9,1983,1983-11-20,12,23.013,WAS,@,RAM,W 42-20,,,,,,,,
10,1983,1983-11-27,13,23.020,WAS,,PHI,W 28-24,0,0,,0,0.0,1,29,0
11,1983,1983-12-04,14,23.027,WAS,,ATL,W 37-21,0,0,,0,0.0,1,26,0
12,1983,1983-12-11,15,23.034,WAS,@,DAL,W 31-10,,,,,,,,
13,1983,1983-12-17,16,23.040,WAS,,NYG,W 31-22,,,,,,,,
14,1984,1984-09-30,5,23.328,WAS,,PHI,W 20-0,0,0,,0,,,,
15,1984,1984-10-07,6,23.335,WAS,@,IND,W 35-7,0,0,,0,,,,
16,1984,1984-10-14,7,23.342,WAS,,DAL,W 34-14,0,0,,0,,,,
17,1984,1984-10-21,8,23.349,WAS,@,STL,L 24-26,0,0,,0,,,,
18,1984,1984-10-28,9,23.356,WAS,@,NYG,L 13-37,0,0,,0,,,,
19,1984,1984-11-05,10,23.364,WAS,,ATL,W 27-14,0,0,,0,,,,
20,1984,1984-11-11,11,24.004,WAS,,DET,W 28-14,0,0,,0,,,,
21,1984,1984-11-18,12,24.011,WAS,@,PHI,L 10-16,0,0,,0,,,,
22,1984,1984-11-25,13,24.018,WAS,,BUF,W 41-14,0,0,,0,,,,
23,1984,1984-11-29,14,24.022,WAS,@,MIN,W 31-17,0,0,,0,0.0,1,15,0
24,1984,1984-12-09,15,24.032,WAS,@,DAL,W 30-28,1,6,6.00,0,0.0,0,0,0
25,1984,1984-12-16,16,24.039,WAS,,STL,W 29-27,0,0,,0,,,,
26,1986,1986-09-07,1,25.304,WAS,,PHI,W 41-14,,,,,,,,
27,1986,1986-09-14,2,25.311,WAS,,RAI,W 10-6,0,0,,0,0.0,1,0,0
28,1986,1986-09-21,3,25.318,WAS,@,SDG,W 30-27,,,,,,,,
29,1986,1986-09-28,4,25.325,WAS,,SEA,W 19-14,,,,,,,,
30,1986,1986-10-05,5,25.332,WAS,@,NOR,W 14-6,,,,,,,,
31,1986,1986-10-12,6,25.339,WAS,@,DAL,L 6-30,,,,,,,,
32,1986,1986-10-19,7,25.346,WAS,,STL,W 28-21,,,,,,,,
33,1986,1986-10-27,8,25.354,WAS,@,NYG,L 20-27,,,,,,,,
34,1986,1986-11-02,9,25.360,WAS,,MIN,W 44-38,,,,,,,,
35,1986,1986-11-09,10,26.002,WAS,@,GNB,W 16-7,,,,,,,,
36,1986,1986-11-17,11,26.010,WAS,,SFO,W 14-6,0,0,,0,0.0,1,0,0
37,1986,1986-11-23,12,26.016,WAS,,DAL,W 41-14,,,,,,,,
38,1986,1986-11-30,13,26.023,WAS,@,STL,W 20-17,,,,,,,,
39,1986,1986-12-07,14,26.030,WAS,,NYG,L 14-24,,,,,,,,
40,1986,1986-12-13,15,26.036,WAS,@,DEN,L 30-31,,,,,,,,
41,1986,1986-12-21,16,26.044,WAS,@,PHI,W 21-14,,,,,,,,
