ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-12-29,16,24.239,PIT,,BAL,W 34-31,,,,,,,,,,,,,,,,,,
2,2004,2004-09-12,1,26.131,PIT,,OAK,W 24-21,,,,,,,,,,,,,,,,,,
3,2004,2004-09-19,2,26.138,PIT,@,BAL,L 13-30,,,,,,,,,,,,,,,,,,
4,2004,2004-09-26,3,26.145,PIT,@,MIA,W 13-3,,,,,,,,,,,,,,,,,,
5,2004,2004-10-03,4,26.152,PIT,,CIN,W 28-17,,,,,,,,,,,,,,,,,,
6,2004,2004-10-10,5,26.159,PIT,,CLE,W 34-23,,,,,,,,,,,,,,,,,,
7,2004,2004-10-17,6,26.166,PIT,@,DAL,W 24-20,,,,,,,,,,,,,,,,,,
8,2004,2004-10-31,7,26.180,PIT,,NWE,W 34-20,,,,,,,,,,,,,,,,,,
9,2004,2004-11-07,8,26.187,PIT,,PHI,W 27-3,,,,,,,,,,,,,,,,,,
10,2004,2004-11-14,9,26.194,PIT,@,CLE,W 24-10,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
11,2004,2004-11-21,10,26.201,PIT,@,CIN,W 19-14,,,,,,,,,,,,,,,,,,
12,2004,2004-11-28,11,26.208,PIT,,WAS,W 16-7,,,,,,,,,,,,,,,,,,
13,2004,2004-12-05,12,26.215,PIT,@,JAX,W 17-16,,,,,,,,,,,,,,,,,,
14,2004,2004-12-12,13,26.222,PIT,,NYJ,W 17-6,,,,,,,,,,,,,,,,,,
15,2004,2004-12-18,14,26.228,PIT,@,NYG,W 33-30,*,,,,,,,,,,,,,,,,,
16,2004,2004-12-26,15,26.236,PIT,,BAL,W 20-7,*,,,,,,,,,,,,,,,,,
17,2004,2005-01-02,16,26.243,PIT,@,BUF,W 29-24,*,,,,,,,,,,,,,,,,,
18,2005,2005-09-11,1,27.130,PIT,,TEN,W 34-7,,,,,,,,,,,,,,,,,,
19,2005,2005-09-18,2,27.137,PIT,@,HOU,W 27-7,,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
20,2005,2005-09-25,3,27.144,PIT,,NWE,L 20-23,,1,-2,-2.00,0,0,0,,0,,0,0,1.0,,,0,0,0
21,2005,2005-10-10,4,27.159,PIT,@,SDG,W 24-22,*,0,0,,0,0,0,,0,,0,0,0.0,,,1,25,0
22,2005,2005-10-16,5,27.165,PIT,,JAX,L 17-23,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
23,2005,2005-10-23,6,27.172,PIT,@,CIN,W 27-13,*,,,,,,,,,,,,,,,,,
24,2005,2005-10-31,7,27.180,PIT,,BAL,W 20-19,,,,,,,,,,,,,,,,,,
25,2005,2005-11-06,8,27.186,PIT,@,GNB,W 20-10,,,,,,,,,,,,,,,,,,
26,2005,2005-11-13,9,27.193,PIT,,CLE,W 34-21,,,,,,,,,,,,,,,,,,
27,2005,2005-11-20,10,27.200,PIT,@,BAL,L 13-16,,,,,,,,,,,,,,,,,,
28,2005,2005-11-28,11,27.208,PIT,@,IND,L 7-26,,,,,,,,,,,,,,,,,,
29,2005,2005-12-04,12,27.214,PIT,,CIN,L 31-38,,,,,,,,,,,,,,,,,,
30,2005,2005-12-11,13,27.221,PIT,,CHI,W 21-9,,,,,,,,,,,,,,,,,,
31,2005,2005-12-18,14,27.228,PIT,@,MIN,W 18-3,,,,,,,,,,,,,,,,,,
32,2005,2005-12-24,15,27.234,PIT,@,CLE,W 41-0,,,,,,,,,,,,,,,,,,
33,2005,2006-01-01,16,27.242,PIT,,DET,W 35-21,,,,,,,,,,,,,,,,,,
34,2006,2006-09-07,1,28.126,PIT,,MIA,W 28-17,,,,,,,,,,,,,,,,,,
35,2006,2006-09-18,2,28.137,PIT,@,JAX,L 0-9,,,,,,,,,,,,,,,,,,
36,2006,2006-09-24,3,28.143,PIT,,CIN,L 20-28,,,,,,,,,,,,,,,,,,
37,2006,2006-10-08,4,28.157,PIT,@,SDG,L 13-23,,,,,,,,,,,,,,,,,,
38,2006,2006-11-19,10,28.199,PIT,@,CLE,W 24-20,,,,,,,,,,,,,,,,,,
39,2006,2006-11-26,11,28.206,PIT,@,BAL,L 0-27,,,,,,,,,,,,,,,,,,
40,2006,2006-12-03,12,28.213,PIT,,TAM,W 20-3,,,,,,,,,,,,,,,,,,
41,2006,2006-12-07,13,28.217,PIT,,CLE,W 27-7,,,,,,,,,,,,,,,,,,
42,2006,2006-12-17,14,28.227,PIT,@,CAR,W 37-3,,,,,,,,,,,,,,,,,,
43,2006,2006-12-24,15,28.234,PIT,,BAL,L 7-31,,,,,,,,,,,,,,,,,,
44,2006,2006-12-31,16,28.241,PIT,@,CIN,W 23-17,*,,,,,,,,,,,,,,,,,
45,2007,2007-09-09,1,29.128,PIT,@,CLE,W 34-7,*,0,0,,0,0,0,,0,,0,0,0.5,,,0,0,0
46,2007,2007-09-16,2,29.135,PIT,,BUF,W 26-3,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
47,2007,2007-09-23,3,29.142,PIT,,SFO,W 37-16,*,,,,,,,,,,,,,,,,,
48,2007,2007-09-30,4,29.149,PIT,@,ARI,L 14-21,*,0,0,,0,0,0,,0,,0,0,0.5,,,0,0,0
49,2007,2007-10-07,5,29.156,PIT,,SEA,W 21-0,*,,,,,,,,,,,,,,,,,
50,2007,2007-10-21,6,29.170,PIT,@,DEN,L 28-31,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
51,2007,2007-10-28,7,29.177,PIT,@,CIN,W 24-13,*,,,,,,,,,,,,,,,,,
52,2007,2007-11-05,8,29.185,PIT,,BAL,W 38-7,*,0,0,,0,0,0,,0,,0,0,3.5,,,1,20,0
53,2007,2007-11-11,9,29.191,PIT,,CLE,W 31-28,*,,,,,,,,,,,,,,,,,
54,2007,2007-11-18,10,29.198,PIT,@,NYJ,L 16-19,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
55,2007,2007-11-26,11,29.206,PIT,,MIA,W 3-0,*,0,0,,0,0,0,,0,,0,0,1.0,,,0,0,0
56,2007,2007-12-02,12,29.212,PIT,,CIN,W 24-10,*,,,,,,,,,,,,,,,,,
57,2007,2007-12-09,13,29.219,PIT,@,NWE,L 13-34,*,,,,,,,,,,,,,,,,,
58,2007,2007-12-16,14,29.226,PIT,,JAX,L 22-29,*,,,,,,,,,,,,,,,,,
59,2007,2007-12-20,15,29.230,PIT,@,STL,W 41-24,*,,,,,,,,,,,,,,,,,
60,2007,2007-12-30,16,29.240,PIT,@,BAL,L 21-27,*,,,,,,,,,,,,,,,,,
61,2008,2008-09-07,1,30.126,PIT,,HOU,W 38-17,*,0,0,,0,0,0,,0,,0,0,3.0,6,2,0,0,0
62,2008,2008-09-14,2,30.133,PIT,@,CLE,W 10-6,*,0,0,,0,0,0,,0,,0,0,0.0,4,0,0,0,0
63,2008,2008-09-21,3,30.140,PIT,@,PHI,L 6-15,*,0,0,,0,0,0,,0,,0,0,0.0,2,1,0,0,0
64,2008,2008-09-29,4,30.148,PIT,,BAL,W 23-20,*,0,0,,0,0,0,,0,,0,0,2.5,5,5,0,0,0
65,2008,2008-10-05,5,30.154,PIT,@,JAX,W 26-21,*,0,0,,0,0,0,,0,,0,0,1.0,3,1,0,0,0
66,2008,2008-10-19,6,30.168,PIT,@,CIN,W 38-10,*,0,0,,0,0,0,,0,,0,0,2.0,3,2,0,0,0
67,2008,2008-10-26,7,30.175,PIT,,NYG,L 14-21,*,0,0,,0,0,0,,0,,0,0,0.0,0,2,0,0,0
68,2008,2008-11-03,8,30.183,PIT,@,WAS,W 23-6,*,0,0,,0,0,0,,0,,0,0,1.5,5,4,0,0,0
69,2008,2008-11-09,9,30.189,PIT,,IND,L 20-24,*,0,0,,0,0,0,,0,,0,0,1.0,8,3,0,0,0
70,2008,2008-11-16,10,30.196,PIT,,SDG,W 11-10,*,0,0,,0,0,0,,0,1,0,2,1.0,2,2,1,33,0
71,2008,2008-11-20,11,30.200,PIT,,CIN,W 27-10,*,0,0,,0,0,0,,0,,0,0,0.0,2,1,0,0,0
72,2008,2008-11-30,12,30.210,PIT,@,NWE,W 33-10,*,0,0,,0,0,0,,0,,0,0,2.0,7,3,0,0,0
73,2008,2008-12-07,13,30.217,PIT,,DAL,W 20-13,*,0,0,,0,0,0,,0,,0,0,1.0,5,3,0,0,0
74,2008,2008-12-14,14,30.224,PIT,@,BAL,W 13-9,*,0,0,,0,0,0,,0,,0,0,0.0,3,2,0,0,0
75,2008,2008-12-21,15,30.231,PIT,@,TEN,L 14-31,*,0,0,,0,0,0,,0,,0,0,1.0,4,3,0,0,0
76,2009,2009-09-10,1,31.129,PIT,,TEN,W 13-10,*,0,0,,0,0,0,,0,,0,0,0.0,4,1,0,0,0
77,2009,2009-09-20,2,31.139,PIT,@,CHI,L 14-17,*,0,0,,0,0,0,,0,,0,0,0.0,6,0,0,0,0
78,2009,2009-09-27,3,31.146,PIT,@,CIN,L 20-23,*,0,0,,0,0,0,,0,,0,0,1.0,3,2,0,0,0
79,2009,2009-10-04,4,31.153,PIT,,SDG,W 38-28,*,0,0,,0,0,0,,0,,0,0,2.0,5,0,0,0,0
80,2009,2009-10-11,5,31.160,PIT,@,DET,W 28-20,*,0,0,,0,0,0,,0,,0,0,3.0,7,1,0,0,0
81,2009,2009-10-18,6,31.167,PIT,,CLE,W 27-14,*,0,0,,0,0,0,,0,,0,0,0.0,4,1,0,0,0
82,2009,2009-10-25,7,31.174,PIT,,MIN,W 27-17,*,0,0,,0,0,0,,0,,0,0,2.0,6,1,0,0,0
83,2009,2009-11-09,8,31.189,PIT,@,DEN,W 28-10,*,0,0,,0,0,0,,0,,0,0,0.0,6,1,0,0,0
84,2009,2009-11-15,9,31.195,PIT,,CIN,L 12-18,*,0,0,,0,0,0,,0,,0,0,1.0,1,2,0,0,0
85,2009,2009-11-22,10,31.202,PIT,@,KAN,L 24-27,*,0,0,,0,0,0,,0,,0,0,1.0,3,1,0,0,0
86,2009,2009-11-29,11,31.209,PIT,@,BAL,L 17-20,*,0,0,,0,1,1,1.00,0,,0,0,0.0,3,1,0,0,0
87,2009,2009-12-06,12,31.216,PIT,,OAK,L 24-27,*,0,0,,0,0,0,,0,,0,0,0.0,4,4,0,0,0
88,2009,2009-12-10,13,31.220,PIT,@,CLE,L 6-13,*,0,0,,0,0,0,,0,,0,0,0.0,2,1,0,0,0
89,2009,2009-12-20,14,31.230,PIT,,GNB,W 37-36,*,0,0,,0,0,0,,0,,0,0,0.0,0,1,0,0,0
90,2009,2009-12-27,15,31.237,PIT,,BAL,W 23-20,*,0,0,,0,0,0,,0,,0,0,0.0,4,1,0,0,0
91,2009,2010-01-03,16,31.244,PIT,@,MIA,W 30-24,*,0,0,,0,0,0,,0,,0,0,0.0,2,1,0,0,0
92,2010,2010-09-12,1,32.131,PIT,,ATL,W 15-9,*,0,0,,0,0,0,,0,,0,0,1.0,4,5,0,0,0
93,2010,2010-09-19,2,32.138,PIT,@,TEN,W 19-11,*,0,0,,0,0,0,,0,,0,0,2.0,10,1,0,0,0
94,2010,2010-09-26,3,32.145,PIT,@,TAM,W 38-13,*,0,0,,0,0,0,,0,,0,0,0.0,3,0,0,0,0
95,2010,2010-10-03,4,32.152,PIT,,BAL,L 14-17,*,0,0,,0,0,0,,0,,0,0,0.0,3,3,0,0,0
96,2010,2010-10-17,5,32.166,PIT,,CLE,W 28-10,*,0,0,,0,0,0,,0,,0,0,2.0,9,2,0,0,0
97,2010,2010-10-24,6,32.173,PIT,@,MIA,W 23-22,*,0,0,,0,0,0,,0,,0,0,0.0,3,1,1,2,0
98,2010,2010-10-31,7,32.180,PIT,@,NOR,L 10-20,*,0,0,,0,0,0,,0,,0,0,1.0,4,1,0,0,0
99,2010,2010-11-08,8,32.188,PIT,@,CIN,W 27-21,*,0,0,,0,0,0,,0,,0,0,1.0,4,2,0,0,0
100,2010,2010-11-14,9,32.194,PIT,,NWE,L 26-39,*,0,0,,0,0,0,,0,,0,0,0.0,6,3,0,0,0
101,2010,2010-11-21,10,32.201,PIT,,OAK,W 35-3,*,0,0,,0,0,0,,0,,0,0,2.0,5,0,1,0,0
102,2010,2010-11-28,11,32.208,PIT,@,BUF,W 19-16,*,0,0,,0,0,0,,0,,0,0,1.0,5,1,0,0,0
103,2010,2010-12-05,12,32.215,PIT,@,BAL,W 13-10,*,0,0,,0,0,0,,0,,0,0,0.0,3,1,0,0,0
