ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1992,1992-09-06,1,23.302,RAI,@,DEN,L 13-17,,,,,,0.0%,
2,1992,1992-09-13,2,23.309,RAI,@,CIN,L 21-24,,,,,,0.0%,
3,1992,1992-09-20,3,23.316,RAI,,CLE,L 16-28,2,1,25,25.00,0,50.0%,12.50
4,1992,1992-09-28,4,23.324,RAI,@,KAN,L 7-27,,,,,,0.0%,
5,1992,1992-10-04,5,23.330,RAI,,NYG,W 13-10,,,,,,0.0%,
6,1992,1992-10-11,6,23.337,RAI,,BUF,W 20-3,,,,,,0.0%,
7,1992,1992-10-18,7,23.344,RAI,@,SEA,W 19-0,1,1,4,4.00,0,100.0%,4.00
8,1992,1992-10-25,8,23.351,RAI,,DAL,L 13-28,,,,,,0.0%,
9,1992,1992-11-08,9,23.365,RAI,@,PHI,L 10-31,,,,,,0.0%,
10,1992,1992-11-15,10,24.006,RAI,,SEA,W 20-3,,,,,,0.0%,
11,1992,1992-11-22,11,24.013,RAI,,DEN,W 24-0,,,,,,0.0%,
12,1992,1992-11-29,12,24.020,RAI,@,SDG,L 3-27,,,,,,0.0%,
13,1992,1992-12-06,13,24.027,RAI,,KAN,W 28-7,,,,,,0.0%,
14,1992,1992-12-14,14,24.035,RAI,@,MIA,L 7-20,,,,,,0.0%,
15,1992,1992-12-20,15,24.041,RAI,,SDG,L 14-36,,,,,,0.0%,
16,1992,1992-12-26,16,24.047,RAI,@,WAS,W 21-20,,,,,,0.0%,
