ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1987,1987-09-13,1,24.305,TAM,,ATL,W 48-10,0,0,,0
2,1987,1987-11-01,7,24.354,TAM,@,GNB,W 23-17,0,0,,0
3,1987,1987-11-22,10,25.010,TAM,,SFO,L 10-24,0,0,,0
4,1987,1987-11-29,11,25.017,TAM,@,RAM,L 3-35,0,0,,0
5,1987,1987-12-06,12,25.024,TAM,@,NOR,L 34-44,0,0,,0
6,1987,1987-12-13,13,25.031,TAM,,DET,L 10-20,0,0,,0
7,1987,1987-12-20,14,25.038,TAM,,STL,L 14-31,0,0,,0
8,1987,1987-12-27,15,25.045,TAM,@,IND,L 6-24,2,21,10.50,0
9,1988,1988-09-04,1,25.297,TAM,,PHI,L 14-41,1,13,13.00,0
10,1988,1988-10-23,8,25.346,TAM,,MIN,L 20-49,3,37,12.33,0
11,1988,1988-10-30,9,25.353,TAM,,MIA,L 14-17,0,0,,0
12,1988,1988-11-06,10,25.360,TAM,@,CHI,L 10-28,1,3,3.00,0
13,1991,1991-11-17,11,29.005,NWE,,NYJ,L 21-28,,,,
