ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2003,2003-09-07,1,22.262,SEA,,NOR,W 27-10,,0,0,,0,1,19,19.00,0
2,2003,2003-09-14,2,22.269,SEA,@,ARI,W 38-0,,,,,,,,,
3,2003,2003-09-21,3,22.276,SEA,,STL,W 24-23,,,,,,,,,
4,2003,2003-10-05,4,22.290,SEA,@,GNB,L 13-35,,,,,,,,,
5,2003,2003-10-12,5,22.297,SEA,,SFO,W 20-19,,,,,,,,,
6,2003,2003-10-19,6,22.304,SEA,,CHI,W 24-17,,,,,,,,,
7,2003,2003-10-26,7,22.311,SEA,@,CIN,L 24-27,,0,0,,0,1,30,30.00,0
8,2003,2003-11-02,8,22.318,SEA,,PIT,W 23-16,,,,,,,,,
9,2003,2003-11-09,9,22.325,SEA,@,WAS,L 20-27,,,,,,,,,
10,2003,2003-11-16,10,22.332,SEA,,DET,W 35-14,,3,-2,-0.67,0,0,0,,0
11,2003,2003-11-23,11,22.339,SEA,@,BAL,L 41-44,,0,0,,0,1,15,15.00,0
12,2003,2003-11-30,12,22.346,SEA,,CLE,W 34-7,,,,,,,,,
13,2003,2003-12-07,13,22.353,SEA,@,MIN,L 7-34,,,,,,,,,
14,2003,2003-12-14,14,22.360,SEA,@,STL,L 22-27,,,,,,,,,
15,2003,2003-12-21,15,23.002,SEA,,ARI,W 28-10,,0,0,,0,1,33,33.00,0
16,2003,2003-12-27,16,23.008,SEA,@,SFO,W 24-17,,0,0,,0,4,88,22.00,0
17,2004,2004-09-12,1,23.268,SEA,@,NOR,W 21-7,,,,,,,,,
18,2004,2004-09-19,2,23.275,SEA,@,TAM,W 10-6,,,,,,,,,
19,2004,2004-09-26,3,23.282,SEA,,SFO,W 34-0,,,,,,,,,
20,2004,2004-10-10,4,23.296,SEA,,STL,L 27-33,,0,0,,0,1,18,18.00,0
21,2004,2004-10-17,5,23.303,SEA,@,NWE,L 20-30,,,,,,,,,
22,2004,2004-10-24,6,23.310,SEA,@,ARI,L 17-25,,,,,,,,,
23,2004,2004-10-31,7,23.317,SEA,,CAR,W 23-17,,0,0,,0,1,20,20.00,0
24,2004,2004-11-07,8,23.324,SEA,@,SFO,W 42-27,,4,15,3.75,0,5,88,17.60,0
25,2004,2004-11-14,9,23.331,SEA,@,STL,L 12-23,,0,0,,0,5,155,31.00,0
26,2004,2004-11-21,10,23.338,SEA,,MIA,W 24-17,,0,0,,0,3,60,20.00,0
27,2004,2004-11-28,11,23.345,SEA,,BUF,L 9-38,,0,0,,0,6,107,17.83,0
28,2004,2004-12-06,12,23.353,SEA,,DAL,L 39-43,,,,,,,,,
29,2004,2004-12-12,13,23.359,SEA,@,MIN,W 27-23,,,,,,,,,
30,2004,2004-12-19,14,24.000,SEA,@,NYJ,L 14-37,,,,,,,,,
31,2004,2004-12-26,15,24.007,SEA,,ARI,W 24-21,,,,,,,,,
32,2004,2005-01-02,16,24.014,SEA,,ATL,W 28-26,,,,,,,,,
