ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1987,1987-09-14,1,22.314,CHI,,NYG,W 34-19,,2,61,30.50,1,,,0,0,,0,1,6
2,1987,1987-09-20,2,22.320,CHI,,TAM,W 20-3,,1,15,15.00,0,,,0,0,,0,0,0
3,1987,1987-10-25,6,22.355,CHI,@,TAM,W 27-26,,3,55,18.33,0,,,0,0,,0,0,0
4,1987,1987-11-01,7,22.362,CHI,,KAN,W 31-28,,,,,,,,,,,,,
5,1987,1987-11-08,8,23.004,CHI,@,GNB,W 26-24,,2,49,24.50,0,,,0,0,,0,0,0
6,1987,1987-11-16,9,23.012,CHI,@,DEN,L 29-31,,1,27,27.00,0,,,0,0,,0,0,0
7,1987,1987-11-22,10,23.018,CHI,,DET,W 30-10,,1,9,9.00,0,,,0,0,,0,0,0
8,1987,1987-11-29,11,23.025,CHI,,GNB,W 23-10,,3,51,17.00,0,,,0,0,,0,0,0
9,1987,1987-12-06,12,23.032,CHI,@,MIN,W 30-24,,2,21,10.50,0,,,0,0,,0,0,0
10,1987,1987-12-14,13,23.040,CHI,@,SFO,L 0-41,,,,,,,,,,,,,
11,1987,1987-12-20,14,23.046,CHI,,SEA,L 21-34,,3,55,18.33,0,,,0,0,,0,0,0
12,1987,1987-12-27,15,23.053,CHI,@,RAI,W 6-3,,2,36,18.00,0,,,0,0,,0,0,0
13,1988,1988-09-04,1,23.305,CHI,,MIA,W 34-7,,3,32,10.67,0,,,0,0,,0,0,0
14,1988,1988-09-11,2,23.312,CHI,@,IND,W 17-13,,3,42,14.00,0,,,0,0,,0,0,0
15,1988,1988-09-18,3,23.319,CHI,,MIN,L 7-31,,2,22,11.00,1,,,0,0,,0,1,6
16,1988,1988-09-25,4,23.326,CHI,@,GNB,W 24-6,,0,0,,0,,,0,0,,0,0,
17,1988,1988-10-02,5,23.333,CHI,,BUF,W 24-3,,1,63,63.00,1,,,0,0,,0,1,6
18,1988,1988-10-09,6,23.340,CHI,@,DET,W 24-7,,4,65,16.25,1,,,0,0,,0,1,6
19,1988,1988-10-16,7,23.347,CHI,,DAL,W 17-7,,4,82,20.50,1,,,1,21,21.00,0,1,6
20,1988,1988-10-24,8,23.355,CHI,,SFO,W 10-9,,1,8,8.00,0,,,0,0,,0,0,0
21,1988,1988-10-30,9,23.361,CHI,@,NWE,L 7-30,,2,9,4.50,0,,,1,20,20.00,0,0,0
22,1988,1988-11-06,10,24.002,CHI,,TAM,W 28-10,,0,0,,0,,,0,0,,0,0,
23,1988,1988-11-13,11,24.009,CHI,@,WAS,W 34-14,,1,56,56.00,0,,,1,-1,-1.00,0,0,0
24,1988,1988-11-20,12,24.016,CHI,@,TAM,W 27-15,,3,70,23.33,0,,,0,0,,0,0,0
25,1988,1988-11-27,13,24.023,CHI,,GNB,W 16-0,,1,14,14.00,0,,,0,0,,0,0,0
26,1988,1988-12-05,14,24.031,CHI,@,RAM,L 3-23,,0,0,,0,,,0,0,,0,0,
27,1988,1988-12-11,15,24.037,CHI,,DET,W 13-12,,0,0,,0,,,0,0,,0,0,
28,1988,1988-12-19,16,24.045,CHI,@,MIN,L 27-28,,3,35,11.67,0,,,0,0,,0,0,0
