ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-11-26,12,26.069,BUF,,NWE,L 25-35,,0,0,,0,0.0%,,,,,
2,1995,1995-12-10,14,26.083,BUF,@,STL,W 45-27,,0,0,,0,0.0%,,,,,
3,1995,1995-12-17,15,26.090,BUF,,MIA,W 23-20,,0,0,,0,0.0%,,,,,
4,1995,1995-12-24,16,26.097,BUF,,HOU,L 17-28,5,3,28,9.33,0,60.0%,5.60,0,0,,0
5,1996,1996-09-01,1,26.349,BUF,@,NYG,W 23-20,,0,0,,0,0.0%,,,,,
6,1996,1996-09-08,2,26.356,BUF,,NWE,W 17-10,,0,0,,0,0.0%,,,,,
7,1996,1996-09-16,3,26.364,BUF,@,PIT,L 6-24,,0,0,,0,0.0%,,,,,
8,1996,1996-09-22,4,27.004,BUF,,DAL,W 10-7,,0,0,,0,0.0%,,,,,
9,1996,1996-10-06,5,27.018,BUF,,IND,W 16-13,,0,0,,0,0.0%,,,,,
10,1996,1996-10-13,6,27.025,BUF,,MIA,L 7-21,,0,0,,0,0.0%,,,,,
11,1996,1996-10-20,7,27.032,BUF,@,NYJ,W 25-22,1,1,12,12.00,0,100.0%,12.00,0,0,,0
12,1996,1996-10-27,8,27.039,BUF,@,NWE,L 25-28,,0,0,,0,0.0%,,,,,
13,1996,1996-11-03,9,27.046,BUF,,WAS,W 38-13,0,0,0,,0,0.0%,,,,,
14,1996,1996-11-10,10,27.053,BUF,@,PHI,W 24-17,,0,0,,0,0.0%,,,,,
15,1996,1996-11-17,11,27.060,BUF,,CIN,W 31-17,,0,0,,0,0.0%,,,,,
16,1996,1996-11-24,12,27.067,BUF,,NYJ,W 35-10,,0,0,,0,0.0%,,,,,
17,1996,1996-12-01,13,27.074,BUF,@,IND,L 10-13,0,0,0,,0,0.0%,,,,,
18,1996,1996-12-08,14,27.081,BUF,@,SEA,L 18-26,,0,0,,0,0.0%,,,,,
19,1996,1996-12-16,15,27.089,BUF,@,MIA,L 14-16,,0,0,,0,0.0%,,,,,
20,1996,1996-12-22,16,27.095,BUF,,KAN,W 20-9,,0,0,,0,0.0%,,,,,
21,1997,1997-08-31,1,27.347,BUF,,MIN,L 13-34,,,,,,0.0%,,0,0,,0
22,1997,1997-09-07,2,27.354,BUF,@,NYJ,W 28-22,1,,,,,0.0%,,0,0,,0
23,1997,1997-09-14,3,27.361,BUF,@,KAN,L 16-22,,,,,,0.0%,,0,0,,0
24,1997,1997-09-21,4,28.003,BUF,,IND,W 37-35,,,,,,0.0%,,0,0,,0
25,1997,1997-10-05,5,28.017,BUF,,DET,W 22-13,,,,,,0.0%,,0,0,,0
26,1997,1997-10-12,6,28.024,BUF,@,NWE,L 6-33,0,,,,,0.0%,,0,0,,0
27,1997,1997-11-17,11,28.060,BUF,@,MIA,L 13-30,0,,,,,0.0%,,0,0,,0
28,1997,1997-11-23,12,28.066,BUF,@,TEN,L 14-31,0,,,,,0.0%,,0,0,,0
29,1997,1997-11-30,13,28.073,BUF,,NYJ,W 20-10,,,,,,0.0%,,0,0,,0
30,1997,1997-12-07,14,28.080,BUF,@,CHI,L 3-20,,,,,,0.0%,,0,0,,0
31,1997,1997-12-14,15,28.087,BUF,,JAX,L 14-20,1,0,0,,0,0.0%,0.00,1,12,12.00,0
32,1997,1997-12-20,16,28.093,BUF,@,GNB,L 21-31,,,,,,0.0%,,0,0,,0
