ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.252,SEA,,STL,W 28-0,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2009,2009-09-20,2,23.259,SEA,@,SFO,L 10-23,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,1,16,16.00,0,0,0,0.0,0,0
3,2009,2009-09-27,3,23.266,SEA,,CHI,L 19-25,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2009,2009-10-04,4,23.273,SEA,@,IND,L 17-34,,3,,,,,0.0%,,,,,,,,,,,,,,
5,2009,2009-10-11,5,23.280,SEA,,JAX,W 41-0,,,,,,,0.0%,,,,,,,,,,,,,,
6,2009,2009-10-18,6,23.287,SEA,,ARI,L 3-27,,1,,,,,0.0%,,,,,,,,,,,,,,
7,2009,2009-11-01,7,23.301,SEA,@,DAL,L 17-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2009,2009-11-08,8,23.308,SEA,,DET,W 32-20,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2009,2009-11-15,9,23.315,SEA,@,ARI,L 20-31,,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2009,2009-11-22,10,23.322,SEA,@,MIN,L 9-35,,,,,,,0.0%,,,,,,,,,,,,,,
11,2009,2009-11-29,11,23.329,SEA,@,STL,W 27-17,,1,,,,,0.0%,,,,,,,,,,,,,,
12,2009,2009-12-06,12,23.336,SEA,,SFO,W 20-17,,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2009,2009-12-13,13,23.343,SEA,@,HOU,L 7-34,,6,3,34,11.33,0,50.0%,5.67,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2009,2009-12-20,14,23.350,SEA,,TAM,L 7-24,,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2009,2009-12-27,15,23.357,SEA,@,GNB,L 10-48,,8,1,15,15.00,0,12.5%,1.88,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2009,2010-01-03,16,23.364,SEA,,TEN,L 13-17,,3,,,,,0.0%,,,,,,,,,,,,,,
