ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1966,1966-09-09,2,22.258,MIA,,NYJ,L 14-19,1,13,13.00,0,0,0,,0,0,0
2,1966,1966-09-18,3,22.267,MIA,@,BUF,L 24-58,1,20,20.00,0,0,0,,0,0,0
3,1966,1966-10-02,4,22.281,MIA,@,SDG,L 10-44,1,20,20.00,0,0,0,,0,0,0
4,1966,1966-10-23,7,22.302,MIA,@,HOU,W 20-13,3,31,10.33,0,0,0,,0,0,0
5,1966,1966-11-06,8,22.316,MIA,,BUF,L 0-29,2,27,13.50,0,0,0,,0,0,0
6,1966,1966-11-13,9,22.323,MIA,@,KAN,L 16-34,2,17,8.50,0,0,0,,0,0,0
7,1967,1967-09-17,1,23.266,MIA,,DEN,W 35-21,3,25,8.33,0,0,0,,0,0,0
8,1967,1967-09-24,2,23.273,MIA,,KAN,L 0-24,2,16,8.00,0,0,0,,0,0,0
9,1967,1967-10-01,3,23.280,MIA,@,NYJ,L 7-29,2,13,6.50,0,0,0,,0,0,0
10,1967,1967-10-15,5,23.294,MIA,@,BOS,L 10-41,1,30,30.00,0,0,0,,0,0,0
11,1967,1967-10-22,6,23.301,MIA,,NYJ,L 14-33,1,6,6.00,0,0,0,,0,0,0
12,1967,1967-11-19,9,23.329,MIA,@,OAK,L 17-31,4,59,14.75,0,0,0,,0,0,0
13,1967,1967-11-26,10,23.336,MIA,,BUF,W 17-14,5,92,18.40,1,0,0,,0,1,6
14,1967,1967-12-03,11,23.343,MIA,@,HOU,L 14-17,2,7,3.50,0,0,0,,0,0,0
15,1967,1967-12-10,12,23.350,MIA,,SDG,W 41-24,1,10,10.00,1,0,0,,0,1,6
16,1967,1967-12-17,13,23.357,MIA,,BOS,W 41-32,3,56,18.67,0,0,0,,0,0,0
17,1968,1968-09-14,1,24.264,MIA,,HOU,L 10-24,3,37,12.33,0,0,0,,0,0,0
18,1968,1968-09-21,2,24.271,MIA,,OAK,L 21-47,4,99,24.75,0,0,0,,0,0,0
19,1968,1968-09-28,3,24.278,MIA,,KAN,L 3-48,1,5,5.00,0,0,0,,0,0,0
20,1968,1968-10-06,4,24.286,MIA,@,HOU,W 24-7,2,15,7.50,0,0,0,,0,0,0
21,1968,1968-10-20,6,24.300,MIA,@,CIN,W 24-22,5,59,11.80,0,0,0,,0,0,0
22,1968,1968-10-27,7,24.307,MIA,@,DEN,L 14-21,4,50,12.50,0,0,0,,0,0,0
23,1968,1968-11-03,8,24.314,MIA,@,SDG,L 28-34,7,124,17.71,1,0,0,,0,1,6
24,1968,1968-11-10,9,24.321,MIA,@,BUF,W 21-17,2,32,16.00,0,0,0,,0,0,0
25,1968,1968-11-17,10,24.328,MIA,,CIN,L 21-38,4,82,20.50,0,0,0,,0,0,0
26,1968,1968-11-24,11,24.335,MIA,@,BOS,W 34-10,1,40,40.00,0,0,0,,0,0,0
27,1968,1968-12-01,12,24.342,MIA,@,NYJ,L 17-35,1,3,3.00,0,0,0,,0,0,0
28,1968,1968-12-08,13,24.349,MIA,,BOS,W 38-7,2,24,12.00,0,0,0,,0,0,0
29,1968,1968-12-15,14,24.356,MIA,,NYJ,L 7-31,3,34,11.33,0,0,0,,0,0,0
30,1969,1969-09-14,1,25.263,MIA,@,CIN,L 21-27,5,93,18.60,0,0,0,,0,0,0
31,1969,1969-09-20,2,25.269,MIA,@,OAK,L 17-20,0,0,,0,1,0,0.00,0,0,0
32,1969,1969-09-28,3,25.277,MIA,@,HOU,L 10-22,3,35,11.67,1,0,0,,0,1,6
33,1969,1969-10-04,4,25.283,MIA,,OAK,T 20-20,2,30,15.00,0,0,0,,0,0,0
34,1970,1970-09-20,1,26.269,MIA,@,BOS,L 14-27,1,20,20.00,0,0,0,,0,0,0
35,1970,1970-09-27,2,26.276,MIA,@,HOU,W 20-10,2,16,8.00,1,0,0,,0,1,6
36,1970,1970-10-03,3,26.282,MIA,,OAK,W 20-13,1,21,21.00,0,0,0,,0,0,0
37,1970,1970-10-10,4,26.289,MIA,@,NYJ,W 20-6,6,73,12.17,1,0,0,,0,1,6
38,1970,1970-10-18,5,26.297,MIA,@,BUF,W 33-14,,,,,,,,,,
39,1970,1970-10-25,6,26.304,MIA,,CLE,L 0-28,,,,,,,,,,
40,1970,1970-11-01,7,26.311,MIA,@,BAL,L 0-35,,,,,,,,,,
41,1970,1970-11-08,8,26.318,MIA,@,PHI,L 17-24,,,,,,,,,,
42,1970,1970-11-15,9,26.325,MIA,,NOR,W 21-10,,,,,,,,,,
43,1970,1970-11-22,10,26.332,MIA,,BAL,W 34-17,,,,,,,,,,
44,1970,1970-11-30,11,26.340,MIA,@,ATL,W 20-7,2,26,13.00,0,0,0,,0,0,0
45,1970,1970-12-06,12,26.346,MIA,,BOS,W 37-20,3,38,12.67,1,0,0,,0,1,6
46,1970,1970-12-13,13,26.353,MIA,,NYJ,W 16-10,5,58,11.60,1,0,0,,0,1,6
47,1970,1970-12-20,14,26.360,MIA,,BUF,W 45-7,2,29,14.50,1,0,0,,0,1,6
48,1971,1971-09-19,1,27.268,MIA,@,DEN,T 10-10,1,14,14.00,0,0,0,,0,0,0
49,1971,1971-09-26,2,27.275,MIA,@,BUF,W 29-14,1,12,12.00,0,0,0,,0,0,0
50,1971,1971-10-03,3,27.282,MIA,,NYJ,L 10-14,,,,,,,,,,
51,1971,1971-10-10,4,27.289,MIA,@,CIN,W 23-13,3,41,13.67,1,0,0,,0,1,6
52,1971,1971-10-17,5,27.296,MIA,,NWE,W 41-3,5,98,19.60,2,0,0,,0,2,12
53,1971,1971-10-24,6,27.303,MIA,@,NYJ,W 30-14,2,16,8.00,0,0,0,,0,0,0
54,1971,1971-10-31,7,27.310,MIA,@,RAM,W 20-14,1,11,11.00,1,0,0,,0,1,6
55,1971,1971-11-07,8,27.317,MIA,,BUF,W 34-0,1,16,16.00,0,0,0,,0,0,0
56,1971,1971-11-14,9,27.324,MIA,,PIT,W 24-21,2,55,27.50,0,0,0,,0,0,0
57,1971,1971-11-21,10,27.331,MIA,,BAL,W 17-14,,,,,,,,,,
58,1971,1971-11-29,11,27.339,MIA,,CHI,W 34-3,1,21,21.00,0,0,0,,0,0,0
59,1971,1971-12-05,12,27.345,MIA,@,NWE,L 13-34,3,39,13.00,0,0,0,,0,0,0
60,1971,1971-12-11,13,27.351,MIA,@,BAL,L 3-14,2,20,10.00,0,0,0,,0,0,0
61,1971,1971-12-19,14,27.359,MIA,,GNB,W 27-6,1,6,6.00,0,0,0,,0,0,0
62,1972,1972-09-24,2,28.274,MIA,,HOU,W 34-13,1,3,3.00,0,0,0,,0,0,0
63,1972,1972-10-01,3,28.281,MIA,@,MIN,W 16-14,2,25,12.50,0,0,0,,0,0,0
64,1972,1972-10-08,4,28.288,MIA,@,NYJ,W 27-17,4,62,15.50,1,0,0,,0,1,6
