ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-10-28,7,24.037,HOU,@,CHI,L 14-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,7,305,43.57,0
2,1973,1973-11-04,8,24.044,HOU,@,BAL,W 31-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,2,92,46.00,0
3,1973,1973-11-11,9,24.051,HOU,,CLE,L 13-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,190,38.00,0
4,1973,1973-11-18,10,24.058,HOU,@,KAN,L 14-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,281,35.13,0
5,1974,1974-09-15,1,24.359,CIN,,CLE,W 33-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,195,39.00,0
6,1974,1974-09-22,2,25.001,CIN,,SDG,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,204,40.80,0
7,1974,1974-09-29,3,25.008,CIN,@,SFO,W 21-3,,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,0,0,,0,0,0,,0,,,,,,,0,0,4,150,37.50,0
8,1974,1974-10-06,4,25.015,CIN,,WAS,W 28-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,0,6,248,41.33,0
9,1974,1974-10-13,5,25.022,CIN,@,CLE,W 34-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,123,30.75,0
10,1974,1974-10-20,6,25.029,CIN,@,OAK,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,8,306,38.25,0
11,1974,1974-10-27,7,25.036,CIN,,HOU,L 21-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,181,45.25,0
12,1974,1974-11-03,8,25.043,CIN,@,BAL,W 24-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,3,128,42.67,0
13,1974,1974-11-10,9,25.050,CIN,,PIT,W 17-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,229,45.80,0
14,1974,1974-11-17,10,25.057,CIN,@,HOU,L 3-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,3,144,48.00,0
15,1974,1974-11-24,11,25.064,CIN,,KAN,W 33-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,210,42.00,0
16,1974,1974-12-02,12,25.072,CIN,@,MIA,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,220,44.00,0
17,1974,1974-12-08,13,25.078,CIN,,DET,L 19-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,4,152,38.00,0
18,1974,1974-12-14,14,25.084,CIN,@,PIT,L 3-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,211,42.20,0
19,1975,1975-09-21,1,26.000,CIN,,CLE,W 24-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6,2,52,26.00,0
20,1975,1975-09-28,2,26.007,CIN,@,NOR,W 21-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3,5,224,44.80,0
21,1975,1975-10-05,3,26.014,CIN,@,HOU,W 21-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,,,0,3,7,291,41.57,0
22,1975,1975-10-12,4,26.021,CIN,,NWE,W 27-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9,7,261,37.29,0
23,1975,1975-10-19,5,26.028,CIN,,OAK,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2,7,310,44.29,0
24,1975,1975-10-26,6,26.035,CIN,@,ATL,W 21-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3,8,319,39.88,0
25,1975,1975-11-02,7,26.042,CIN,,PIT,L 24-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6,8,335,41.88,0
26,1975,1975-11-09,8,26.049,CIN,@,DEN,W 17-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5,5,234,46.80,0
27,1975,1975-11-17,9,26.057,CIN,,BUF,W 33-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,4,75.0,2,3,66.7,0,9,0,0,,0
28,1975,1975-11-23,10,26.063,CIN,@,CLE,L 23-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,1,2,50.0,0,5,5,175,35.00,0
29,1975,1975-11-30,11,26.070,CIN,,HOU,W 23-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,1,1,100.0,0,5,6,174,29.00,1
30,1975,1975-12-07,12,26.077,CIN,@,PHI,W 31-0,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7,2,51,25.50,0
31,1975,1975-12-13,13,26.083,CIN,@,PIT,L 14-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2,5,190,38.00,0
32,1975,1975-12-21,14,26.091,CIN,,SDG,W 47-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,7,71.4,,,,0,5,1,39,39.00,0
