ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,22.057,DET,@,MIA,L 21-49,,1,0,0.00,0,0,0,0
2,2002,2002-09-15,2,22.064,DET,@,CAR,L 7-31,,,,,,,,
3,2002,2002-09-22,3,22.071,DET,,GNB,L 31-37,*,,,,,,,
4,2002,2002-09-29,4,22.078,DET,,NOR,W 26-21,*,,,,,,,
5,2002,2002-10-13,5,22.092,DET,@,MIN,L 24-31,*,,,,,,,
6,2002,2002-10-20,6,22.099,DET,,CHI,W 23-20,*,,,,,,,
7,2002,2002-10-27,7,22.106,DET,@,BUF,L 17-24,*,,,,,,,
8,2002,2002-11-03,8,22.113,DET,,DAL,W 9-7,*,,,,,,,
9,2002,2002-11-10,9,22.120,DET,@,GNB,L 14-40,*,,,,,,,
10,2002,2002-11-17,10,22.127,DET,,NYJ,L 14-31,*,,,,,,,
11,2002,2002-11-24,11,22.134,DET,@,CHI,L 17-20,,,,,,,,
12,2002,2002-11-28,12,22.138,DET,,NWE,L 12-20,*,0,0,,0,1,11,0
13,2002,2002-12-08,13,22.148,DET,@,ARI,L 20-23,*,,,,,,,
14,2002,2002-12-15,14,22.155,DET,,TAM,L 20-23,*,,,,,,,
15,2002,2002-12-22,15,22.162,DET,@,ATL,L 15-36,*,,,,,,,
16,2002,2002-12-29,16,22.169,DET,,MIN,L 36-38,,,,,,,,
17,2004,2004-09-12,1,24.061,DET,@,CHI,W 20-16,,,,,,,,
18,2004,2004-09-19,2,24.068,DET,,HOU,W 28-16,*,,,,,,,
19,2004,2004-09-26,3,24.075,DET,,PHI,L 13-30,*,,,,,,,
20,2004,2004-10-10,4,24.089,DET,@,ATL,W 17-10,*,,,,,,,
21,2004,2004-10-17,5,24.096,DET,,GNB,L 10-38,,,,,,,,
22,2004,2004-10-24,6,24.103,DET,@,NYG,W 28-13,*,0,0,,0,1,0,0
23,2004,2004-10-31,7,24.110,DET,@,DAL,L 21-31,*,,,,,,,
24,2004,2004-11-14,9,24.124,DET,@,JAX,L 17-23,,,,,,,,
25,2004,2004-12-12,13,24.152,DET,@,GNB,L 13-16,,,,,,,,
26,2004,2004-12-19,14,24.159,DET,,MIN,L 27-28,,,,,,,,
27,2004,2005-01-02,16,24.173,DET,@,TEN,L 19-24,,,,,,,,
28,2005,2005-09-25,3,25.074,ATL,@,BUF,W 24-16,,,,,,,,
29,2005,2005-10-02,4,25.081,ATL,,MIN,W 30-10,,,,,,,,
30,2005,2005-10-09,5,25.088,ATL,,NWE,L 28-31,,,,,,,,
