ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2006,2006-12-17,14,23.196,STL,@,OAK,W 20-0,,,,,,,,
2,2006,2006-12-24,15,23.203,STL,,WAS,W 37-31,,,,,,,,
3,2006,2006-12-31,16,23.210,STL,@,MIN,W 41-21,,,,,,,,
4,2007,2007-09-23,3,24.111,OAK,,CLE,W 26-24,,,,,,,,
5,2007,2007-09-30,4,24.118,OAK,@,MIA,W 35-17,,,,,,,,
6,2007,2007-10-14,5,24.132,OAK,@,SDG,L 14-28,,,,,,,,
7,2007,2007-10-21,6,24.139,OAK,,KAN,L 10-12,,,,,,,,
8,2007,2007-10-28,7,24.146,OAK,@,TEN,L 9-13,,,,,,,,
9,2007,2007-11-04,8,24.153,OAK,,HOU,L 17-24,,,,,,,,
10,2007,2007-11-11,9,24.160,OAK,,CHI,L 6-17,,,,,,,,
11,2007,2007-11-18,10,24.167,OAK,@,MIN,L 22-29,,,,,,,,
12,2007,2007-11-25,11,24.174,OAK,@,KAN,W 20-17,,,,,,,,
13,2007,2007-12-02,12,24.181,OAK,,DEN,W 34-20,,,,,,,,
14,2007,2007-12-09,13,24.188,OAK,@,GNB,L 7-38,,,,,,,,
15,2007,2007-12-16,14,24.195,OAK,,IND,L 14-21,,,,,,,,
16,2007,2007-12-23,15,24.202,OAK,@,JAX,L 11-49,,,,,,,,
17,2008,2008-09-08,1,25.096,OAK,,DEN,L 14-41,,0,0,,0,0.0,0,0
18,2008,2008-09-14,2,25.102,OAK,@,KAN,W 23-8,,0,0,,0,0.0,0,0
19,2008,2008-09-21,3,25.109,OAK,@,BUF,L 23-24,,0,0,,0,0.0,0,0
20,2008,2008-09-28,4,25.116,OAK,,SDG,L 18-28,,0,0,,0,0.0,0,0
21,2008,2008-10-12,5,25.130,OAK,@,NOR,L 3-34,,0,0,,0,0.0,0,0
22,2008,2008-10-19,6,25.137,OAK,,NYJ,W 16-13,,1,22,22.00,0,0.0,0,0
23,2008,2008-11-09,9,25.158,OAK,,CAR,L 6-17,,0,0,,0,0.0,0,0
24,2008,2008-11-16,10,25.165,OAK,@,MIA,L 15-17,,0,0,,0,0.0,0,0
25,2008,2008-11-23,11,25.172,OAK,@,DEN,W 31-10,*,0,0,,0,0.0,1,0
26,2008,2008-11-30,12,25.179,OAK,,KAN,L 13-20,*,0,0,,0,0.0,3,2
27,2008,2008-12-04,13,25.183,OAK,@,SDG,L 7-34,*,0,0,,0,0.0,6,2
28,2008,2008-12-14,14,25.193,OAK,,NWE,L 26-49,,0,0,,0,0.0,0,0
29,2008,2008-12-21,15,25.200,OAK,,HOU,W 27-16,*,0,0,,0,0.0,3,1
30,2008,2008-12-28,16,25.207,OAK,@,TAM,W 31-24,,0,0,,0,0.0,2,0
31,2009,2009-09-14,1,26.102,OAK,,SDG,L 20-24,,0,0,,0,0.0,1,0
32,2009,2009-09-20,2,26.108,OAK,@,KAN,W 13-10,,0,0,,0,0.0,0,0
33,2009,2009-09-27,3,26.115,OAK,,DEN,L 3-23,,,,,,,,
34,2009,2009-10-04,4,26.122,OAK,@,HOU,L 6-29,,0,0,,0,0.0,0,1
35,2009,2009-10-11,5,26.129,OAK,@,NYG,L 7-44,,0,0,,0,0.0,3,2
36,2009,2009-10-18,6,26.136,OAK,,PHI,W 13-9,*,0,0,,0,0.0,1,1
37,2009,2009-10-25,7,26.143,OAK,,NYJ,L 0-38,*,0,0,,0,0.0,1,0
38,2009,2009-11-01,8,26.150,OAK,@,SDG,L 16-24,*,0,0,,0,0.0,4,1
39,2009,2009-11-15,9,26.164,OAK,,KAN,L 10-16,*,0,0,,0,0.0,1,3
