ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-10-02,5,24.147,DET,@,RAM,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,37,18.50,0,0,0,,0,0,0
2,1983,1983-10-09,6,24.154,DET,,GNB,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,19,19.00,0,4,30,7.50,0,0,0
3,1983,1983-10-16,7,24.161,DET,,CHI,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,30,30.00,0,4,56,14.00,0,0,0
4,1983,1983-10-23,8,24.168,DET,@,WAS,L 17-38,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,11,11.00,0,4,60,15.00,0,0,0
5,1983,1983-10-30,9,24.175,DET,@,CHI,W 38-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,35,17.50,0,2,13,6.50,0,0,0
6,1983,1983-11-07,10,24.183,DET,,NYG,W 15-9,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,53,17.67,0,2,6,3.00,0,0,0
7,1983,1983-11-13,11,24.189,DET,@,HOU,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,5,112,22.40,0,0,0,,0,0,0
8,1983,1983-11-20,12,24.196,DET,@,GNB,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,100,25.00,0,7,65,9.29,0,0,0
9,1983,1983-11-24,13,24.200,DET,,PIT,W 45-3,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0,,0,0,0
10,1983,1983-12-05,14,24.211,DET,,MIN,W 13-2,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
11,1983,1983-12-11,15,24.217,DET,@,CIN,L 9-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,0,0
12,1983,1983-12-18,16,24.224,DET,,TAM,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,19,19.00,0,0,0,,0,0,0
13,1984,1984-09-02,1,25.117,DET,,SFO,L 27-30,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,,,,2,33,16.50,0,0,0,,0,0,0
