ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,22.216,BUF,@,NWE,L 17-19,,,,,,,,,,,
2,2006,2006-09-17,2,22.223,BUF,@,MIA,W 16-6,*,,,,,,,,,,
3,2006,2006-09-24,3,22.230,BUF,,NYJ,L 20-28,*,,,,,,,,,,
4,2006,2006-10-01,4,22.237,BUF,,MIN,W 17-12,*,,,,,,,,,,
5,2006,2006-10-08,5,22.244,BUF,@,CHI,L 7-40,,0,0,,0,1.0,,,0,0,0
6,2006,2006-10-15,6,22.251,BUF,@,DET,L 17-20,,,,,,,,,,,
7,2006,2006-10-22,7,22.258,BUF,,NWE,L 6-28,,,,,,,,,,,
8,2006,2006-11-05,8,22.272,BUF,,GNB,W 24-10,*,,,,,,,,,,
9,2006,2006-11-12,9,22.279,BUF,@,IND,L 16-17,,,,,,,,,,,
10,2006,2006-12-03,12,22.300,BUF,,SDG,L 21-24,,,,,,,,,,,
11,2006,2006-12-10,13,22.307,BUF,@,NYJ,W 31-13,,,,,,,,,,,
12,2006,2006-12-17,14,22.314,BUF,,MIA,W 21-0,*,0,0,,0,0.0,,,1,7,0
13,2006,2006-12-24,15,22.321,BUF,,TEN,L 29-30,*,,,,,,,,,,
14,2006,2006-12-31,16,22.328,BUF,@,BAL,L 7-19,*,,,,,,,,,,
15,2007,2007-10-08,5,23.244,BUF,,DAL,L 24-25,*,,,,,,,,,,
16,2007,2007-10-21,6,23.257,BUF,,BAL,W 19-14,*,,,,,,,,,,
17,2007,2007-10-28,7,23.264,BUF,@,NYJ,W 13-3,,,,,,,,,,,
18,2007,2007-11-04,8,23.271,BUF,,CIN,W 33-21,*,,,,,,,,,,
19,2007,2007-11-11,9,23.278,BUF,@,MIA,W 13-10,*,,,,,,,,,,
20,2007,2007-11-18,10,23.285,BUF,,NWE,L 10-56,,,,,,,,,,,
21,2007,2007-11-25,11,23.292,BUF,@,JAX,L 14-36,*,,,,,,,,,,
22,2007,2007-12-02,12,23.299,BUF,@,WAS,W 17-16,,,,,,,,,,,
23,2007,2007-12-09,13,23.306,BUF,,MIA,W 38-17,*,,,,,,,,,,
24,2007,2007-12-16,14,23.313,BUF,@,CLE,L 0-8,*,,,,,,,,,,
25,2007,2007-12-23,15,23.320,BUF,,NYG,L 21-38,*,0,0,,0,0.0,,,1,4,0
26,2007,2007-12-30,16,23.327,BUF,@,PHI,L 9-17,*,0,0,,0,1.0,,,0,0,0
27,2008,2008-09-07,1,24.214,BUF,,SEA,W 34-10,,0,0,,0,0.0,1,2,0,0,0
28,2008,2008-09-14,2,24.221,BUF,@,JAX,W 20-16,*,0,0,,0,0.0,1,0,0,0,0
29,2008,2008-09-21,3,24.228,BUF,,OAK,W 24-23,*,0,0,,0,0.0,3,0,0,0,0
30,2008,2008-09-28,4,24.235,BUF,@,STL,W 31-14,*,0,0,,0,0.0,3,0,0,0,0
31,2008,2008-10-05,5,24.242,BUF,@,ARI,L 17-41,*,0,0,,0,0.0,1,0,0,0,0
32,2008,2008-10-19,6,24.256,BUF,,SDG,W 23-14,*,0,0,,0,0.0,4,2,0,0,0
33,2008,2008-10-26,7,24.263,BUF,@,MIA,L 16-25,*,0,0,,0,0.0,5,2,0,0,0
34,2008,2008-11-02,8,24.270,BUF,,NYJ,L 17-26,*,0,0,,0,0.0,1,2,0,0,0
35,2008,2008-11-09,9,24.277,BUF,@,NWE,L 10-20,,0,0,,0,0.0,5,2,0,0,0
36,2008,2008-11-17,10,24.285,BUF,,CLE,L 27-29,*,0,0,,0,0.0,4,4,0,0,0
37,2008,2008-11-23,11,24.291,BUF,@,KAN,W 54-31,*,0,0,,0,0.0,4,0,0,0,0
38,2008,2008-11-30,12,24.298,BUF,,SFO,L 3-10,*,0,0,,0,0.0,2,0,0,0,0
39,2008,2008-12-07,13,24.305,BUF,,MIA,L 3-16,*,0,0,,0,0.0,3,6,0,0,0
40,2008,2008-12-14,14,24.312,BUF,@,NYJ,L 27-31,*,1,6,6.00,0,0.0,5,0,0,0,0
41,2008,2008-12-21,15,24.319,BUF,@,DEN,W 30-23,*,0,0,,0,0.0,3,1,0,0,0
42,2008,2008-12-28,16,24.326,BUF,,NWE,L 0-13,*,0,0,,0,0.0,2,3,0,0,0
43,2009,2009-09-14,1,25.220,BUF,@,NWE,L 24-25,*,0,0,,0,0.0,10,5,0,0,0
44,2009,2009-09-20,2,25.226,BUF,,TAM,W 33-20,*,0,0,,0,0.0,5,5,0,0,0
45,2009,2009-09-27,3,25.233,BUF,,NOR,L 7-27,*,0,0,,0,0.0,3,5,0,0,0
46,2009,2009-10-04,4,25.240,BUF,@,MIA,L 10-38,*,0,0,,0,0.0,1,2,0,0,0
47,2009,2009-10-11,5,25.247,BUF,,CLE,L 3-6,*,0,0,,0,0.0,6,3,0,0,0
48,2009,2009-10-18,6,25.254,BUF,@,NYJ,W 16-13,*,0,0,,0,0.0,6,6,0,0,0
49,2009,2009-10-25,7,25.261,BUF,@,CAR,W 20-9,*,0,0,,0,0.0,5,2,0,0,0
50,2009,2009-11-01,8,25.268,BUF,,HOU,L 10-31,*,,,,,,,,,,
51,2010,2010-09-12,1,26.218,BUF,,MIA,L 10-15,,0,0,,0,0.0,6,0,0,0,0
52,2010,2010-09-19,2,26.225,BUF,@,GNB,L 7-34,*,0,0,,0,0.0,4,0,0,0,0
53,2010,2010-09-26,3,26.232,BUF,@,NWE,L 30-38,*,0,0,,0,0.0,1,3,0,0,0
54,2010,2010-10-03,4,26.239,BUF,,NYJ,L 14-38,,0,0,,0,0.0,0,2,0,0,0
55,2010,2010-10-31,7,26.267,BUF,@,KAN,L 10-13,,,,,,,,,,,
56,2010,2010-11-07,8,26.274,BUF,,CHI,L 19-22,,,,,,,,,,,
57,2010,2010-11-14,9,26.281,BUF,,DET,W 14-12,,,,,,,,,,,
58,2010,2010-11-21,10,26.288,BUF,@,CIN,W 49-31,,,,,,,,,,,
