ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2001,2001-11-18,9,23.040,ATL,@,GNB,W 23-20,,,,,,,0.0%,,,,,
2,2001,2002-01-06,16,23.089,ATL,@,STL,L 13-31,,,,,,,0.0%,,,,,
3,2002,2002-12-22,15,24.074,ATL,,DET,W 36-15,,0,0,0,,0,0.0%,,1,5,5.00,0
4,2002,2002-12-29,16,24.081,ATL,@,CLE,L 16-24,,2,2,11,5.50,0,100.0%,5.50,0,0,,0
5,2003,2003-11-30,12,25.052,ATL,@,HOU,L 13-17,,0,,,,,0.0%,,,,,
6,2003,2003-12-07,13,25.059,ATL,,CAR,W 20-14,,,,,,,0.0%,,,,,
7,2003,2003-12-14,14,25.066,ATL,@,IND,L 7-38,,2,1,3,3.00,0,50.0%,1.50,1,15,15.00,0
8,2004,2004-12-05,12,26.057,SDG,,DEN,W 20-17,,0,,,,,0.0%,,,,,
9,2004,2004-12-12,13,26.064,SDG,,TAM,W 31-24,,0,,,,,0.0%,,,,,
10,2004,2004-12-26,15,26.078,ATL,@,NOR,L 13-26,,0,0,0,,0,0.0%,,1,12,12.00,0
11,2004,2005-01-02,16,26.085,ATL,@,SEA,L 26-28,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
