ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1993,1993-12-05,12,23.184,NWE,@,PIT,L 14-17,,,0,0,,0,0.0%,,3,39,13.00,0,10,74,7.40,0
2,1993,1993-12-12,13,23.191,NWE,,CIN,W 7-2,,,0,0,,0,0.0%,,0,0,,0,5,40,8.00,0
3,1993,1993-12-19,14,23.198,NWE,@,CLE,W 20-17,,,0,0,,0,0.0%,,2,35,17.50,0,3,41,13.67,0
4,1993,1993-12-26,15,23.205,NWE,,IND,W 38-0,,,0,0,,0,0.0%,,0,0,,0,3,22,7.33,0
5,1993,1994-01-02,16,23.212,NWE,,MIA,W 33-27,,,0,0,,0,0.0%,,1,16,16.00,0,2,24,12.00,0
6,1994,1994-10-16,7,24.134,NWE,@,NYJ,L 17-24,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,3,26,8.67,0
7,1994,1994-12-24,16,24.203,SEA,@,CLE,L 9-35,,,,,,,0.0%,,,,,,,,,
8,1995,1995-09-10,2,25.098,SEA,@,SDG,L 10-14,,,,,,,0.0%,,0,0,,0,0,0,,0
9,1995,1995-09-17,3,25.105,SEA,,CIN,W 24-21,,0,,,,,0.0%,,0,0,,0,0,0,,0
10,1995,1995-10-01,4,25.119,SEA,,DEN,W 27-10,,,,,,,0.0%,,0,0,,0,0,0,,0
11,1995,1995-10-08,5,25.126,SEA,@,OAK,L 14-34,,,,,,,0.0%,,0,0,,0,0,0,,0
12,1995,1995-10-15,6,25.133,SEA,@,BUF,L 21-27,,,,,,,0.0%,,0,0,,0,0,0,,0
13,1995,1995-10-22,7,25.140,SEA,,SDG,L 25-35,,0,,,,,0.0%,,0,0,,0,0,0,,0
14,1995,1995-10-29,8,25.147,SEA,@,ARI,L 14-20,,,,,,,0.0%,,0,0,,0,0,0,,0
15,1995,1995-11-05,9,25.154,SEA,,NYG,W 30-28,,,,,,,0.0%,,0,0,,0,0,0,,0
16,1995,1995-11-12,10,25.161,SEA,@,JAX,W 47-30,,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,,0
17,1995,1995-11-19,11,25.168,SEA,@,WAS,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0
18,1995,1995-11-26,12,25.175,SEA,,NYJ,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0
19,1995,1995-12-03,13,25.182,SEA,,PHI,W 26-14,,,,,,,0.0%,,0,0,,0,0,0,,0
20,1995,1995-12-24,16,25.203,SEA,@,KAN,L 3-26,,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0
21,1996,1996-09-01,1,26.089,SEA,@,SDG,L 7-29,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
22,1996,1996-09-08,2,26.096,SEA,,DEN,L 20-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
23,1996,1996-09-15,3,26.103,SEA,,KAN,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0
24,1996,1996-09-22,4,26.110,SEA,@,TAM,W 17-13,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0
25,1996,1996-09-29,5,26.117,SEA,,GNB,L 10-31,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0
26,1996,1996-10-06,6,26.124,SEA,@,MIA,W 22-15,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
27,1996,1996-10-17,7,26.135,SEA,@,KAN,L 16-34,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0
28,1996,1996-10-27,8,26.145,SEA,,SDG,W 32-13,,0,0,0,,0,0.0%,,0,0,,0,5,40,8.00,0
29,1996,1996-11-03,9,26.152,SEA,,HOU,W 23-16,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
30,1996,1996-11-10,10,26.159,SEA,,MIN,W 42-23,,1,1,5,5.00,0,100.0%,5.00,1,14,14.00,0,5,95,19.00,0
31,1996,1996-11-17,11,26.166,SEA,@,DET,L 16-17,,0,0,0,,0,0.0%,,0,0,,0,2,12,6.00,0
32,1996,1996-11-24,12,26.173,SEA,,OAK,L 21-27,,0,0,0,,0,0.0%,,2,36,18.00,0,1,5,5.00,0
