ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.332,RAM,,OAK,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1979,1979-09-06,2,22.336,RAM,@,DEN,W 13-9,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,,0,0,0
3,1979,1979-09-16,3,22.346,RAM,,SFO,W 27-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,5,73,14.60,0,0,0,,0,0,0
4,1979,1979-09-23,4,22.353,RAM,@,TAM,L 6-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,107,26.75,0,0,0,,0,0,0
5,1979,1979-09-30,5,22.360,RAM,,STL,W 21-0,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0
6,1979,1979-10-07,6,23.002,RAM,@,NOR,W 35-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,88,22.00,0,0,0,,0,0,0
7,1979,1979-10-14,7,23.009,RAM,@,DAL,L 6-30,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,6,112,18.67,0,0,0,,0,0,0
8,1979,1979-10-21,8,23.016,RAM,,SDG,L 16-40,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,5,91,18.20,0,0,0,,0,0,0
9,1979,1979-10-28,9,23.023,RAM,,NYG,L 14-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,93,23.25,0,0,0,,0,0,0
10,1979,1979-11-04,10,23.030,RAM,@,SEA,W 24-0,,2,23,11.50,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,1,6
11,1979,1979-11-11,11,23.037,RAM,@,CHI,L 23-27,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,59,19.67,0,0,0,,0,0,0
12,1979,1979-11-19,12,23.045,RAM,,ATL,W 20-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,57,28.50,0,0,0,,0,0,0
13,1979,1979-11-25,13,23.051,RAM,@,SFO,W 26-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,39,13.00,0,0,0,,0,0,0
14,1979,1979-12-02,14,23.058,RAM,,MIN,W 27-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1979,1979-12-09,15,23.065,RAM,@,ATL,W 34-13,,2,71,35.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
16,1979,1979-12-16,16,23.072,RAM,,NOR,L 14-29,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0
17,1980,1980-09-07,1,23.338,RAM,,DET,L 20-41,,3,40,13.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,5,149,29.80,1,0,0,,0,1,6
18,1980,1980-09-11,2,23.342,RAM,@,TAM,L 9-10,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,66,33.00,0,0,0,,0,0,0
19,1980,1980-09-21,3,23.352,RAM,,GNB,W 51-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0
20,1980,1980-09-28,4,23.359,RAM,@,NYG,W 28-7,,2,109,54.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0
21,1980,1980-10-05,5,24.000,RAM,,SFO,W 48-26,,1,23,23.00,0,,,1,4,4.00,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,0,0,,0,0,0
22,1980,1980-10-12,6,24.007,RAM,@,STL,W 21-13,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,67,22.33,0,0,0,,0,0,0
23,1980,1980-10-19,7,24.014,RAM,@,SFO,W 31-17,,2,25,12.50,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,0,0,,0,1,6
24,1980,1980-10-26,8,24.021,RAM,@,ATL,L 10-13,,3,117,39.00,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,67,22.33,0,0,0,,0,1,6
25,1980,1980-11-02,9,24.028,RAM,,NOR,W 45-31,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,63,15.75,0,0,0,,0,0,0
26,1980,1980-11-09,10,24.035,RAM,,MIA,L 14-35,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,6,109,18.17,0,0,0,,0,0,0
27,1980,1980-11-16,11,24.042,RAM,@,NWE,W 17-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0,,0,0,0
28,1980,1980-11-24,12,24.050,RAM,@,NOR,W 27-7,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0
29,1980,1980-11-30,13,24.056,RAM,,NYJ,W 38-13,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,85,21.25,0,0,0,,0,0,0
30,1980,1980-12-07,14,24.063,RAM,@,BUF,L 7-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,0,0,,0,0,0
31,1980,1980-12-15,15,24.071,RAM,,DAL,W 38-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,30,15.00,0,0,0,,0,0,0
32,1980,1980-12-21,16,24.077,RAM,,ATL,W 20-17,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,65,16.25,0,0,0,,0,0,0
33,1981,1981-09-06,1,24.336,RAM,,HOU,L 20-27,,2,18,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,70,23.33,0,0,0,,0,0,0
34,1981,1981-09-13,2,24.343,RAM,@,NOR,L 17-23,,2,36,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,6,116,19.33,0,0,0,,0,0,0
35,1981,1981-09-20,3,24.350,RAM,,GNB,W 35-23,,1,30,30.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,5,88,17.60,0,0,0,,0,1,6
36,1981,1981-09-28,4,24.358,RAM,@,CHI,W 24-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,22,22.00,0,1,10,10.00,0,0,0
37,1981,1981-10-04,5,24.364,RAM,,CLE,W 27-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,2,37,18.50,0,0,0,,0,0,0
38,1981,1981-10-11,6,25.006,RAM,@,ATL,W 37-35,,1,36,36.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,5,150,30.00,0,1,12,12.00,0,1,6
39,1981,1981-10-18,7,25.013,RAM,@,DAL,L 17-29,,2,88,44.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,6,95,15.83,0,0,0,,0,1,6
40,1981,1981-10-25,8,25.020,RAM,@,SFO,L 17-20,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,79,26.33,0,0,0,,0,0,0
41,1981,1981-11-01,9,25.027,RAM,,DET,W 20-13,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,35,11.67,0,0,0,,0,0,0
42,1981,1981-11-08,10,25.034,RAM,,NOR,L 13-21,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,4,74,18.50,0,0,0,,0,0,0
43,1981,1981-11-15,11,25.041,RAM,@,CIN,L 10-24,,3,25,8.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,4,63,15.75,0,0,0,,0,0,0
44,1981,1981-11-22,12,25.048,RAM,,SFO,L 31-33,,1,43,43.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,5,86,17.20,0,0,0,,0,0,0
45,1981,1981-11-29,13,25.055,RAM,@,PIT,L 0-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,65,21.67,0,0,0,,0,0,0
46,1981,1981-12-06,14,25.062,RAM,@,NYG,L 7-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,40,40.00,0,0,0,,0,0,0
47,1981,1981-12-14,15,25.070,RAM,,ATL,W 21-16,,0,0,,0,,,1,14,14.00,0,0,0,,0,0,0,,,,,,4,78,19.50,0,0,0,,0,0,0
48,1981,1981-12-20,16,25.076,RAM,,WAS,L 7-30,,2,45,22.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,5,72,14.40,0,0,0,,0,0,0
49,1982,1982-09-12,1,25.342,RAM,@,GNB,L 23-35,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
50,1982,1982-09-19,2,25.349,RAM,,DET,L 14-19,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
51,1982,1982-11-21,3,26.047,RAM,@,ATL,L 17-34,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
52,1982,1982-11-28,4,26.054,RAM,,KAN,W 20-14,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
