ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1984,1984-09-03,1,22.201,CLE,@,SEA,L 0-33,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,0,0
2,1984,1984-09-09,2,22.207,CLE,@,RAM,L 17-20,,5,75,15.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,15,5.00,0,0,0
3,1984,1984-09-16,3,22.214,CLE,,DEN,L 14-24,,7,84,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,9,3.00,0,0,0
4,1984,1984-09-23,4,22.221,CLE,,PIT,W 20-10,,1,19,19.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1984,1984-10-07,6,22.235,CLE,,NWE,L 16-17,,1,29,29.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1984,1984-10-14,7,22.242,CLE,,NYJ,L 20-24,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1984,1984-10-21,8,22.249,CLE,@,CIN,L 9-12,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,
8,1984,1984-10-28,9,22.256,CLE,,NOR,L 14-16,,2,26,13.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,4,43,10.75,0,0,0
9,1984,1984-11-04,10,22.263,CLE,@,BUF,W 13-10,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0
10,1984,1984-11-11,11,22.270,CLE,,SFO,L 7-41,,1,52,52.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
11,1984,1984-11-18,12,22.277,CLE,@,ATL,W 23-7,,3,37,12.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1984,1984-11-25,13,22.284,CLE,,HOU,W 27-10,,4,34,8.50,2,,,0,0,,0,0,0,,,,,,0,0,,0,5,54,10.80,0,2,12
13,1984,1984-12-02,14,22.291,CLE,,CIN,L 17-20,,5,55,11.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,1,6
14,1984,1984-12-09,15,22.298,CLE,@,PIT,L 20-23,,3,16,5.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,4,41,10.25,0,0,0
15,1984,1984-12-16,16,22.305,CLE,@,HOU,W 27-20,,2,19,9.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,0,0
16,1985,1985-10-06,5,23.233,CLE,,NWE,W 24-20,,7,104,14.86,0,,,1,1,100.00,33,1,0,158.3,0,0,33.00,53.00,0,0,,0,0,0,,0,0,0
17,1985,1985-10-13,6,23.240,CLE,@,HOU,W 21-6,,2,37,18.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
18,1985,1985-10-20,7,23.247,CLE,,RAI,L 20-21,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,0,0.00,0,0,0
19,1985,1985-10-27,8,23.254,CLE,,WAS,L 7-14,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,16,8.00,0,0,0
20,1985,1985-11-03,9,23.261,CLE,@,PIT,L 9-10,,2,33,16.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,4,41,10.25,0,0,0
21,1985,1985-11-10,10,23.268,CLE,@,CIN,L 10-27,,2,38,19.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
22,1985,1985-11-17,11,23.275,CLE,,BUF,W 17-7,,3,48,16.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,1,10,10.00,0,0,0
23,1985,1985-11-24,12,23.282,CLE,,CIN,W 24-6,,1,14,14.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,3,14,4.67,0,0,0
24,1985,1985-12-01,13,23.289,CLE,@,NYG,W 35-33,,2,30,15.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,1,9,9.00,0,0,0
25,1985,1985-12-08,14,23.296,CLE,@,SEA,L 13-31,,3,74,24.67,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,13,6.50,0,0,0
26,1985,1985-12-15,15,23.303,CLE,,HOU,W 28-21,,4,40,10.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,8,4.00,0,0,0
27,1985,1985-12-22,16,23.310,CLE,@,NYJ,L 10-37,,6,69,11.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,42,21.00,1,1,6
28,1986,1986-09-07,1,24.204,CLE,@,CHI,L 31-41,,5,71,14.20,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
29,1986,1986-09-14,2,24.211,CLE,@,HOU,W 23-20,,0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
30,1986,1986-09-18,3,24.215,CLE,,CIN,L 13-30,,5,63,12.60,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
31,1986,1986-09-28,4,24.225,CLE,,DET,W 24-21,,2,20,10.00,0,,,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,0,0,,0,0,0,,0,0,0
32,1986,1986-10-05,5,24.232,CLE,@,PIT,W 27-24,,1,11,11.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
33,1986,1986-10-12,6,24.239,CLE,,KAN,W 20-7,,3,54,18.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
34,1986,1986-10-19,7,24.246,CLE,,GNB,L 14-17,,3,47,15.67,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
35,1986,1986-10-26,8,24.253,CLE,@,MIN,W 23-20,,0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
36,1986,1986-11-02,9,24.260,CLE,@,IND,W 24-9,,3,42,14.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
37,1986,1986-11-10,10,24.268,CLE,,MIA,W 26-16,,2,18,9.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
38,1986,1986-11-16,11,24.274,CLE,@,RAI,L 14-27,,5,74,14.80,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
39,1986,1986-11-23,12,24.281,CLE,,PIT,W 37-31,,5,87,17.40,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
40,1986,1986-11-30,13,24.288,CLE,,HOU,W 13-10,,7,76,10.86,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
41,1986,1986-12-07,14,24.295,CLE,@,BUF,W 21-17,,4,66,16.50,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
42,1986,1986-12-14,15,24.302,CLE,@,CIN,W 34-3,,3,33,11.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
43,1986,1986-12-21,16,24.309,CLE,,SDG,W 47-17,,7,176,25.14,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
44,1987,1987-09-13,1,25.210,CLE,@,NOR,L 21-28,,4,65,16.25,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
45,1987,1987-09-20,2,25.217,CLE,,PIT,W 34-10,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
46,1987,1987-10-18,5,25.245,CLE,@,CIN,W 34-0,,10,139,13.90,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
47,1987,1987-10-26,6,25.253,CLE,,RAM,W 30-17,,4,75,18.75,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
48,1987,1987-11-01,7,25.259,CLE,@,SDG,L 24-27,,4,94,23.50,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
49,1987,1987-11-08,8,25.266,CLE,,ATL,W 38-3,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
50,1987,1987-11-15,9,25.273,CLE,,BUF,W 27-21,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
51,1987,1987-11-22,10,25.280,CLE,@,HOU,W 40-7,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
52,1987,1987-11-29,11,25.287,CLE,@,SFO,L 24-38,,6,65,10.83,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
53,1987,1987-12-06,12,25.294,CLE,,IND,L 7-9,,4,51,12.75,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
54,1987,1987-12-13,13,25.301,CLE,,CIN,W 38-24,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
55,1987,1987-12-20,14,25.308,CLE,@,RAI,W 24-17,,6,79,13.17,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
56,1987,1987-12-26,15,25.314,CLE,@,PIT,W 19-13,,2,12,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
57,1988,1988-09-04,1,26.202,CLE,@,KAN,W 6-3,,2,9,4.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
58,1988,1988-09-11,2,26.209,CLE,,NYJ,L 3-23,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
59,1988,1988-09-19,3,26.217,CLE,,IND,W 23-17,,5,50,10.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
60,1988,1988-09-25,4,26.223,CLE,@,CIN,L 17-24,,4,31,7.75,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
61,1988,1988-10-02,5,26.230,CLE,@,PIT,W 23-9,,3,34,11.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
62,1988,1988-10-09,6,26.237,CLE,,SEA,L 10-16,,1,16,16.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
63,1988,1988-10-16,7,26.244,CLE,,PHI,W 19-3,,3,79,26.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
64,1988,1988-10-23,8,26.251,CLE,@,PHO,W 29-21,,3,52,17.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
65,1988,1988-10-30,9,26.258,CLE,,CIN,W 23-16,,2,22,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
66,1988,1988-11-07,10,26.266,CLE,@,HOU,L 17-24,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
