ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.247,CLE,@,CIN,L 17-24,,,,,,,
2,1975,1975-09-28,2,22.254,CLE,,MIN,L 10-42,,,,,,,
3,1975,1975-10-05,3,22.261,CLE,,PIT,L 6-42,,,,,,,
4,1975,1975-10-12,4,22.268,CLE,,HOU,L 10-40,,,,,,,
5,1975,1975-10-19,5,22.275,CLE,@,DEN,L 15-16,,,,,,,
6,1975,1975-10-26,6,22.282,CLE,,WAS,L 7-23,,,,,,,
7,1975,1975-11-02,7,22.289,CLE,@,BAL,L 7-21,,,,,,,
8,1975,1975-11-09,8,22.296,CLE,@,DET,L 10-21,,,,,,,
9,1975,1975-11-16,9,22.303,CLE,@,OAK,L 17-38,,,,,,,
10,1975,1975-11-23,10,22.310,CLE,,CIN,W 35-23,,,,,,,
11,1975,1975-11-30,11,22.317,CLE,,NOR,W 17-16,,,,,,,
12,1975,1975-12-07,12,22.324,CLE,@,PIT,L 17-31,,,,,,,
13,1975,1975-12-14,13,22.331,CLE,,KAN,W 40-14,1,3,3.00,0,0,0,0
14,1975,1975-12-21,14,22.338,CLE,@,HOU,L 10-21,,,,,,,
15,1976,1976-09-12,1,23.239,CLE,,NYJ,W 38-17,,,,,,,
16,1976,1976-09-19,2,23.246,CLE,@,PIT,L 14-31,,,,,,,
17,1976,1976-09-26,3,23.253,CLE,@,DEN,L 13-44,1,16,16.00,0,0,0,0
18,1976,1976-10-03,4,23.260,CLE,,CIN,L 24-45,,,,,,,
19,1976,1976-10-10,5,23.267,CLE,,PIT,W 18-16,,,,,,,
20,1976,1976-10-17,6,23.274,CLE,@,ATL,W 20-17,,,,,,,
21,1976,1976-10-24,7,23.281,CLE,,SDG,W 21-17,,,,,,,
22,1976,1976-10-31,8,23.288,CLE,@,CIN,L 6-21,,,,,,,
23,1976,1976-11-07,9,23.295,CLE,@,HOU,W 21-7,,,,,,,
24,1976,1976-12-12,14,23.330,CLE,@,KAN,L 14-39,,,,,,,
25,1977,1977-09-18,1,24.244,CLE,@,CIN,W 13-3,,,,,,,
26,1977,1977-09-26,2,24.252,CLE,,NWE,W 30-27,,,,,,,
27,1977,1977-10-02,3,24.258,CLE,,PIT,L 14-28,,,,,,,
28,1977,1977-10-09,4,24.265,CLE,,OAK,L 10-26,,,,,,,
29,1977,1977-10-16,5,24.272,CLE,@,HOU,W 24-23,,,,,,,
30,1977,1977-10-23,6,24.279,CLE,@,BUF,W 27-16,,,,,,,
31,1977,1977-10-30,7,24.286,CLE,,KAN,W 44-7,,,,,,,
32,1977,1977-11-06,8,24.293,CLE,,CIN,L 7-10,,,,,,,
33,1977,1977-11-13,9,24.300,CLE,@,PIT,L 31-35,,,,,,,
34,1977,1977-11-20,10,24.307,CLE,@,NYG,W 21-7,,,,,,,
35,1977,1977-11-27,11,24.314,CLE,,RAM,L 0-9,,,,,,,
36,1977,1977-12-04,12,24.321,CLE,@,SDG,L 14-37,,,,,,,
37,1977,1977-12-11,13,24.328,CLE,,HOU,L 15-19,1,20,20.00,0,0,0,0
38,1977,1977-12-18,14,24.335,CLE,@,SEA,L 19-20,,,,,,,
39,1978,1978-09-03,1,25.229,CLE,,SFO,W 24-7,,,,,,,
40,1978,1978-09-10,2,25.236,CLE,,CIN,W 13-10,,,,,,,
41,1978,1978-09-17,3,25.243,CLE,@,ATL,W 24-16,0,0,,0,1,7,0
42,1978,1978-09-24,4,25.250,CLE,@,PIT,L 9-15,,,,,,,
43,1978,1978-10-01,5,25.257,CLE,,HOU,L 13-16,,,,,,,
44,1978,1978-10-08,6,25.264,CLE,@,NOR,W 24-16,,,,,,,
45,1978,1978-10-15,7,25.271,CLE,,PIT,L 14-34,,,,,,,
46,1978,1978-10-22,8,25.278,CLE,@,KAN,L 3-17,,,,,,,
47,1978,1978-10-29,9,25.285,CLE,,BUF,W 41-20,,,,,,,
48,1978,1978-11-05,10,25.292,CLE,@,HOU,L 10-14,,,,,,,
49,1978,1978-11-12,11,25.299,CLE,,DEN,L 7-19,,,,,,,
50,1978,1978-11-19,12,25.306,CLE,@,BAL,W 45-24,,,,,,,
51,1978,1978-11-26,13,25.313,CLE,,RAM,W 30-19,,,,,,,
52,1978,1978-12-03,14,25.320,CLE,@,SEA,L 24-47,,,,,,,
53,1978,1978-12-10,15,25.327,CLE,,NYJ,W 37-34,0,0,,0,1,39,0
54,1978,1978-12-17,16,25.334,CLE,@,CIN,L 16-48,,,,,,,
55,1979,1979-09-02,1,26.228,CLE,@,NYJ,W 25-22,,,,,,,
56,1979,1979-09-09,2,26.235,CLE,@,KAN,W 27-24,,,,,,,
57,1979,1979-09-16,3,26.242,CLE,,BAL,W 13-10,,,,,,,
58,1979,1979-09-24,4,26.250,CLE,,DAL,W 26-7,,,,,,,
59,1979,1979-09-30,5,26.256,CLE,@,HOU,L 10-31,,,,,,,
60,1979,1979-10-14,7,26.270,CLE,,WAS,L 9-13,,,,,,,
61,1979,1979-10-21,8,26.277,CLE,,CIN,W 28-27,,,,,,,
62,1979,1979-10-28,9,26.284,CLE,@,STL,W 38-20,,,,,,,
63,1979,1979-11-04,10,26.291,CLE,@,PHI,W 24-19,,,,,,,
64,1979,1979-11-11,11,26.298,CLE,,SEA,L 24-29,,,,,,,
65,1979,1979-11-18,12,26.305,CLE,,MIA,W 30-24,,,,,,,
66,1979,1979-11-25,13,26.312,CLE,@,PIT,L 30-33,,,,,,,
67,1979,1979-12-02,14,26.319,CLE,,HOU,W 14-7,,,,,,,
68,1979,1979-12-09,15,26.326,CLE,@,OAK,L 14-19,0,0,,0,1,0,0
69,1979,1979-12-16,16,26.333,CLE,@,CIN,L 12-16,,,,,,,
70,1980,1980-09-07,1,27.234,CLE,@,NWE,L 17-34,,,,,,,
71,1980,1980-09-15,2,27.242,CLE,,HOU,L 7-16,,,,,,,
72,1980,1980-09-21,3,27.248,CLE,,KAN,W 20-13,,,,,,,
73,1980,1980-09-28,4,27.255,CLE,@,TAM,W 34-27,,,,,,,
74,1980,1980-10-05,5,27.262,CLE,,DEN,L 16-19,,,,,,,
75,1980,1980-10-12,6,27.269,CLE,@,SEA,W 27-3,,,,,,,
76,1980,1980-10-19,7,27.276,CLE,,GNB,W 26-21,,,,,,,
77,1980,1980-10-26,8,27.283,CLE,,PIT,W 27-26,,,,,,,
78,1980,1980-11-03,9,27.291,CLE,,CHI,W 27-21,,,,,,,
79,1980,1980-11-09,10,27.297,CLE,@,BAL,W 28-27,,,,,,,
80,1980,1980-11-16,11,27.304,CLE,@,PIT,L 13-16,,,,,,,
81,1980,1980-11-23,12,27.311,CLE,,CIN,W 31-7,,,,,,,
82,1980,1980-11-30,13,27.318,CLE,@,HOU,W 17-14,,,,,,,
83,1980,1980-12-07,14,27.325,CLE,,NYJ,W 17-14,,,,,,,
84,1980,1980-12-14,15,27.332,CLE,@,MIN,L 23-28,,,,,,,
85,1980,1980-12-21,16,27.339,CLE,@,CIN,W 27-24,,,,,,,
86,1981,1981-09-07,1,28.233,CLE,,SDG,L 14-44,,,,,,,
87,1981,1981-09-13,2,28.239,CLE,,HOU,L 3-9,,,,,,,
88,1981,1981-09-20,3,28.246,CLE,@,CIN,W 20-17,,,,,,,
89,1981,1981-09-27,4,28.253,CLE,,ATL,W 28-17,,,,,,,
90,1981,1981-10-04,5,28.260,CLE,@,RAM,L 16-27,,,,,,,
91,1981,1981-10-11,6,28.267,CLE,@,PIT,L 7-13,,,,,,,
92,1981,1981-10-18,7,28.274,CLE,,NOR,W 20-17,,,,,,,
93,1981,1981-10-25,8,28.281,CLE,,BAL,W 42-28,,,,,,,
94,1981,1981-11-01,9,28.288,CLE,@,BUF,L 13-22,,,,,,,
95,1981,1981-11-08,10,28.295,CLE,@,DEN,L 20-23,,,,,,,
96,1981,1981-11-15,11,28.302,CLE,@,SFO,W 15-12,0,0,,0,1,0,0
97,1981,1981-11-22,12,28.309,CLE,,PIT,L 10-32,,,,,,,
98,1981,1981-11-29,13,28.316,CLE,,CIN,L 21-41,,,,,,,
99,1981,1981-12-03,14,28.320,CLE,@,HOU,L 13-17,,,,,,,
100,1981,1981-12-12,15,28.329,CLE,,NYJ,L 13-14,,,,,,,
101,1981,1981-12-20,16,28.337,CLE,@,SEA,L 21-42,,,,,,,
102,1982,1982-09-12,1,29.238,CLE,@,SEA,W 21-7,,,,,,,
103,1982,1982-09-19,2,29.245,CLE,,PHI,L 21-24,,,,,,,
104,1982,1982-11-21,3,29.308,CLE,,NWE,W 10-7,,,,,,,
105,1982,1982-11-25,4,29.312,CLE,@,DAL,L 14-31,,,,,,,
106,1982,1982-12-05,5,29.322,CLE,,SDG,L 13-30,,,,,,,
107,1982,1982-12-12,6,29.329,CLE,@,CIN,L 10-23,,,,,,,
108,1982,1982-12-19,7,29.336,CLE,,PIT,W 10-9,,,,,,,
109,1982,1982-12-26,8,29.343,CLE,@,HOU,W 20-14,0,0,,0,1,0,0
110,1982,1983-01-02,9,29.350,CLE,@,PIT,L 21-37,,,,,,,
111,1983,1983-09-04,1,30.230,CLE,,MIN,L 21-27,,,,,,,
112,1983,1983-09-11,2,30.237,CLE,@,DET,W 31-26,,,,,,,
113,1983,1983-09-15,3,30.241,CLE,,CIN,W 17-7,,,,,,,
114,1983,1983-09-25,4,30.251,CLE,@,SDG,W 30-24,,,,,,,
115,1983,1983-10-02,5,30.258,CLE,,SEA,L 9-24,,,,,,,
116,1983,1983-10-09,6,30.265,CLE,,NYJ,W 10-7,,,,,,,
