ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2015,2015-09-13,1,22.355,JAX,,CAR,L 9-20,,13,7,28,4.00,1,53.8%,2.15,1,9,9.00,0,1,6
2,2015,2015-09-20,2,22.362,JAX,,MIA,W 23-20,,4,2,7,3.50,0,50.0%,1.75,2,30,15.00,0,0,0
3,2015,2015-11-19,10,23.057,JAX,,TEN,W 19-13,,1,1,2,2.00,0,100.0%,2.00,2,76,38.00,0,0,0
4,2015,2015-11-29,11,23.067,JAX,,SDG,L 25-31,,4,3,17,5.67,0,75.0%,4.25,3,28,9.33,0,0,0
5,2015,2015-12-06,12,23.074,JAX,@,TEN,L 39-42,,3,2,15,7.50,1,66.7%,5.00,1,14,14.00,0,1,6
6,2015,2015-12-13,13,23.081,JAX,,IND,W 51-16,,4,1,18,18.00,0,25.0%,4.50,2,73,36.50,1,1,6
7,2015,2015-12-20,14,23.088,JAX,,ATL,L 17-23,,3,1,-1,-1.00,0,33.3%,-0.33,2,17,8.50,0,0,0
8,2015,2015-12-27,15,23.095,JAX,@,NOR,L 27-38,,1,1,2,2.00,0,100.0%,2.00,1,4,4.00,0,0,0
9,2015,2016-01-03,16,23.102,JAX,@,HOU,L 6-30,,2,1,5,5.00,0,50.0%,2.50,4,50,12.50,0,0,0
10,2016,2016-09-11,1,23.354,JAX,,GNB,L 23-27,,2,1,9,9.00,0,50.0%,4.50,1,14,14.00,0,0,0
11,2016,2016-09-18,2,23.361,JAX,@,SDG,L 14-38,,3,1,7,7.00,0,33.3%,2.33,2,9,4.50,0,0,0
12,2016,2016-09-25,3,24.002,JAX,,BAL,L 17-19,,0,0,0,,0,0.0%,,5,51,10.20,0,0,0
13,2016,2016-10-02,4,24.009,JAX,,IND,W 30-27,,1,1,8,8.00,0,100.0%,8.00,2,12,6.00,0,0,0
14,2016,2016-10-23,6,24.030,JAX,,OAK,L 16-33,,2,2,8,4.00,0,100.0%,4.00,5,20,4.00,0,0,0
15,2016,2016-11-13,9,24.051,JAX,,HOU,L 21-24,,0,0,0,,0,0.0%,,2,12,6.00,0,0,0
16,2016,2016-11-20,10,24.058,JAX,@,DET,L 19-26,,0,0,0,,0,0.0%,,2,3,1.50,0,0,0
17,2016,2016-11-27,11,24.065,JAX,@,BUF,L 21-28,,0,0,0,,0,0.0%,,2,10,5.00,0,0,0
