ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-09-18,3,24.120,GNB,@,PHI,L 7-13,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
2,1994,1994-09-25,4,24.127,GNB,,TAM,W 30-3,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
3,1994,1994-10-02,5,24.134,GNB,@,NWE,L 16-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0
4,1994,1994-10-09,6,24.141,GNB,,RAM,W 24-17,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
5,1994,1994-10-20,7,24.152,GNB,@,MIN,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0
6,1994,1994-10-31,8,24.163,GNB,@,CHI,W 33-6,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
7,1994,1994-11-06,9,24.169,GNB,,DET,W 38-30,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1994,1994-11-13,10,24.176,GNB,,NYJ,W 17-10,,0,0,,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1994,1994-11-20,11,24.183,GNB,@,BUF,L 20-29,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
10,1994,1994-11-24,12,24.187,GNB,@,DAL,L 31-42,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,
