ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2015,2015-12-13,13,23.104,BUF,@,PHI,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0
2,2015,2015-12-20,14,23.111,BUF,@,WAS,L 25-35,,1,1,37,37.00,0,100.0%,37.00,0,0,,0,,0,0
3,2015,2015-12-27,15,23.118,BUF,,DAL,W 16-6,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
4,2015,2016-01-03,16,23.125,BUF,,NYJ,W 22-17,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
5,2016,2016-09-11,1,24.011,BUF,@,BAL,L 7-13,,1,0,0,,0,0.0%,0.00,1,13,13.00,0,,0,0
6,2016,2016-09-15,2,24.015,BUF,,NYJ,L 31-37,,0,0,0,,0,0.0%,,0,0,,0,,0,0
7,2016,2016-09-25,3,24.025,BUF,,ARI,W 33-18,*,1,1,28,28.00,0,100.0%,28.00,0,0,,0,,0,0
8,2016,2016-10-02,4,24.032,BUF,@,NWE,W 16-0,*,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,0,0
9,2016,2016-10-09,5,24.039,BUF,@,LAR,W 30-19,,0,0,0,,0,0.0%,,0,0,,0,,0,0
10,2016,2016-10-16,6,24.046,BUF,,SFO,W 45-16,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,,0,0
11,2016,2016-10-23,7,24.053,BUF,@,MIA,L 25-28,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0
12,2016,2016-10-30,8,24.060,BUF,,NWE,L 25-41,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,1,0,2
13,2016,2016-11-07,9,24.068,BUF,@,SEA,L 25-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0
14,2016,2016-11-20,10,24.081,BUF,@,CIN,W 16-12,,0,0,0,,0,0.0%,,0,0,,0,,0,0
15,2016,2016-11-27,11,24.088,BUF,,JAX,W 28-21,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
16,2016,2016-12-04,12,24.095,BUF,@,OAK,L 24-38,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0
17,2016,2016-12-11,13,24.102,BUF,,PIT,L 20-27,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0
18,2016,2016-12-18,14,24.109,BUF,,CLE,W 33-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
19,2016,2016-12-24,15,24.115,BUF,,MIA,L 31-34,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
20,2016,2017-01-01,16,24.123,BUF,@,NYJ,L 10-30,*,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0
21,2017,2017-09-10,1,25.010,BUF,,NYJ,W 21-12,*,2,1,22,22.00,0,50.0%,11.00,0,0,,0,,0,0
22,2017,2017-09-17,2,25.017,BUF,@,CAR,L 3-9,,0,0,0,,0,0.0%,,0,0,,0,,0,0
23,2017,2017-09-24,3,25.024,BUF,,DEN,W 26-16,,1,1,31,31.00,0,100.0%,31.00,0,0,,0,,0,0
24,2017,2017-10-01,4,25.031,BUF,@,ATL,W 23-17,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
25,2017,2017-10-08,5,25.038,BUF,@,CIN,L 16-20,,6,5,54,10.80,0,83.3%,9.00,0,0,,0,,0,0
26,2017,2017-10-22,6,25.052,BUF,,TAM,W 30-27,*,2,2,58,29.00,0,100.0%,29.00,0,0,,0,,0,0
27,2017,2017-10-29,7,25.059,BUF,,OAK,W 34-14,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,,0,0
28,2017,2017-11-02,8,25.063,BUF,@,NYJ,L 21-34,*,5,4,51,12.75,0,80.0%,10.20,0,0,,0,,0,0
29,2017,2017-11-12,9,25.073,BUF,,NOR,L 10-47,,2,1,7,7.00,1,50.0%,3.50,0,0,,0,,1,6
30,2017,2017-11-19,10,25.080,BUF,@,LAC,L 24-54,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0
31,2017,2017-11-26,11,25.087,BUF,@,KAN,W 16-10,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,0,0
32,2017,2017-12-10,13,25.101,BUF,,IND,W 13-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0
33,2017,2017-12-17,14,25.108,BUF,,MIA,W 24-16,,2,2,33,16.50,0,100.0%,16.50,0,0,,0,,0,0
34,2017,2017-12-24,15,25.115,BUF,@,NWE,L 16-37,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
35,2017,2017-12-31,16,25.122,BUF,@,MIA,W 22-16,,2,1,26,26.00,1,50.0%,13.00,0,0,,0,,1,6
