ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1983,1983-09-04,1,24.049,TAM,,DET,L 0-11,0,0,,0,3,21,7.00,0
2,1983,1983-09-11,2,24.056,TAM,@,CHI,L 10-17,1,9,9.00,0,2,23,11.50,0
3,1983,1983-09-18,3,24.063,TAM,,MIN,L 16-19,1,9,9.00,0,2,5,2.50,0
4,1983,1983-09-25,4,24.070,TAM,,CIN,L 17-23,0,0,,0,2,16,8.00,0
5,1983,1983-10-02,5,24.077,TAM,@,GNB,L 14-55,2,30,15.00,0,2,24,12.00,0
6,1983,1983-10-09,6,24.084,TAM,@,DAL,L 24-27,0,0,,0,3,25,8.33,0
7,1983,1983-10-16,7,24.091,TAM,,STL,L 27-34,0,0,,0,1,3,3.00,0
8,1983,1983-10-23,8,24.098,TAM,,NOR,L 21-24,0,0,,0,3,34,11.33,0
9,1983,1983-10-30,9,24.105,TAM,@,PIT,L 12-17,0,0,,0,3,29,9.67,0
10,1983,1983-11-06,10,24.112,TAM,@,MIN,W 17-12,0,0,,0,5,20,4.00,0
11,1983,1983-11-13,11,24.119,TAM,@,CLE,L 0-20,0,0,,0,1,8,8.00,0
12,1983,1983-12-04,14,24.140,TAM,@,SFO,L 21-35,1,13,13.00,0,0,0,,0
13,1983,1983-12-12,15,24.148,TAM,,GNB,L 9-12,0,0,,0,0,0,,0
14,1983,1983-12-18,16,24.154,TAM,@,DET,L 20-23,1,16,16.00,0,0,0,,0
