ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1972,1972-11-05,8,23.090,DAL,@,SDG,W 34-28,,,,,,,,,,,,
2,1972,1972-11-12,9,23.097,DAL,,STL,W 33-24,0,0,,0,0,0,,0,1,30,30.00,0
3,1972,1972-11-19,10,23.104,DAL,@,PHI,W 28-7,,,,,,,,,,,,
4,1972,1972-11-23,11,23.108,DAL,,SFO,L 10-31,,,,,,,,,,,,
5,1972,1972-12-03,12,23.118,DAL,@,STL,W 27-6,,,,,,,,,,,,
6,1972,1972-12-09,13,23.124,DAL,,WAS,W 34-24,0,0,,0,0,0,,0,1,20,20.00,0
7,1972,1972-12-17,14,23.132,DAL,,NYG,L 3-23,,,,,,,,,,,,
8,1973,1973-11-04,8,24.089,HOU,@,BAL,W 31-27,,,,,,,,,,,,
9,1973,1973-11-11,9,24.096,HOU,,CLE,L 13-23,7,42,6.00,0,0,0,,0,0,0,,0
10,1973,1973-11-18,10,24.103,HOU,@,KAN,L 14-38,3,-3,-1.00,0,1,4,4.00,0,0,0,,0
11,1973,1973-11-25,11,24.110,HOU,,NWE,L 0-32,,,,,,,,,,,,
12,1973,1973-12-09,13,24.124,HOU,@,PIT,L 7-33,,,,,,,,,,,,
13,1973,1973-12-16,14,24.131,HOU,,CIN,L 24-27,,,,,,,,,,,,
14,1974,1974-09-15,1,25.039,KAN,,NYJ,W 24-16,0,0,,0,0,0,,0,2,44,22.00,0
15,1974,1974-09-22,2,25.046,KAN,@,OAK,L 7-27,2,-4,-2.00,0,0,0,,0,3,75,25.00,0
16,1974,1974-09-29,3,25.053,KAN,@,HOU,W 17-7,0,0,,0,0,0,,0,1,15,15.00,0
17,1974,1974-10-06,4,25.060,KAN,,DEN,L 14-17,0,0,,0,0,0,,0,2,46,23.00,0
18,1974,1974-10-13,5,25.067,KAN,,PIT,L 24-34,,,,,,,,,,,,
19,1974,1974-10-20,6,25.074,KAN,@,MIA,L 3-9,0,0,,0,0,0,,0,1,-7,-7.00,0
20,1974,1974-10-27,7,25.081,KAN,@,SDG,W 24-14,1,1,1.00,0,0,0,,0,3,80,26.67,0
21,1974,1974-11-03,8,25.088,KAN,,NYG,L 27-33,0,0,,0,0,0,,0,3,77,25.67,0
22,1974,1974-11-10,9,25.095,KAN,,SDG,L 7-14,,,,,,,,,,,,
23,1974,1974-11-18,10,25.103,KAN,@,DEN,W 42-34,0,0,,0,0,0,,0,2,54,27.00,0
24,1974,1974-11-24,11,25.109,KAN,@,CIN,L 6-33,0,0,,0,0,0,,0,4,86,21.50,0
25,1974,1974-12-01,12,25.116,KAN,@,STL,W 17-13,,,,,,,,,,,,
26,1974,1974-12-08,13,25.123,KAN,,OAK,L 6-7,0,0,,0,0,0,,0,2,46,23.00,0
27,1974,1974-12-14,14,25.129,KAN,,MIN,L 15-35,0,0,,0,0,0,,0,2,55,27.50,0
