ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,25.175,NOR,,ATL,L 10-31,0,0,,0,,0,0,,0,,,3,105,35.00,0,0,,,0,0,0
2,1986,1986-09-14,2,25.182,NOR,,GNB,W 24-10,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
3,1986,1986-09-21,3,25.189,NOR,@,SFO,L 17-26,0,0,,0,,0,0,,0,,,3,186,62.00,1,0,0,,0,1,6
4,1986,1986-09-28,4,25.196,NOR,@,NYG,L 17-20,0,0,,0,,0,0,,0,,,2,19,9.50,0,0,,,0,0,0
5,1986,1986-10-05,5,25.203,NOR,,WAS,L 6-14,1,6,6.00,0,,0,0,,0,,,3,59,19.67,0,0,0,,0,0,0
6,1986,1986-10-12,6,25.210,NOR,@,IND,W 17-14,1,11,11.00,0,,0,0,,0,,,2,58,29.00,0,0,0,,0,0,0
7,1986,1986-10-19,7,25.217,NOR,,TAM,W 38-7,2,4,2.00,0,,0,0,,0,,,1,29,29.00,0,0,0,,0,0,0
8,1986,1986-10-26,8,25.224,NOR,@,NYJ,L 23-28,1,2,2.00,0,,0,0,,0,,,1,5,5.00,0,0,0,,0,0,0
9,1986,1986-11-02,9,25.231,NOR,,SFO,W 23-10,0,0,,0,,0,0,,0,,,2,61,30.50,0,0,0,,0,0,0
10,1986,1986-11-09,10,25.238,NOR,,RAM,W 6-0,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
11,1986,1986-11-16,11,25.245,NOR,@,STL,W 16-7,0,0,,0,,2,45,22.50,0,,,2,45,22.50,0,0,0,,0,0,0
12,1986,1986-11-23,12,25.252,NOR,@,RAM,L 13-26,0,0,,0,,0,0,,0,,,5,93,18.60,0,0,0,,0,0,0
13,1986,1986-11-30,13,25.259,NOR,,NWE,L 20-21,0,0,,0,,0,0,,0,,,3,86,28.67,0,0,0,,0,0,0
14,1986,1986-12-07,14,25.266,NOR,,MIA,L 27-31,1,6,6.00,0,,0,0,,0,,,1,40,40.00,0,0,0,,0,0,0
