ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-09-27,3,21.353,BAL,,CHI,W 52-0,8,82,10.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
2,1964,1964-10-04,4,21.360,BAL,,RAM,W 35-20,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,0,0,,0
3,1964,1964-10-12,5,22.002,BAL,,STL,W 47-27,4,15,3.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,69,34.50,0,0,0,0,0,,0
4,1964,1964-10-18,6,22.008,BAL,,GNB,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,0,0,0,0,,0
5,1964,1964-10-25,7,22.015,BAL,@,DET,W 34-0,5,7,1.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,197,49.25,0
6,1964,1964-11-01,8,22.022,BAL,,SFO,W 37-7,0,0,,0,1,1,1.00,1,0,0,,0,0,0,,0,0,,,2,41,20.50,0,1,6,3,119,39.67,0
7,1964,1964-11-08,9,22.029,BAL,@,CHI,W 40-24,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0,1,41,41.00,0
8,1964,1964-11-15,10,22.036,BAL,,MIN,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,3,120,40.00,0
9,1964,1964-11-22,11,22.043,BAL,@,RAM,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,0,0,6,279,46.50,0
10,1964,1964-11-29,12,22.050,BAL,@,SFO,W 14-3,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,11,446,40.55,0
11,1964,1964-12-06,13,22.057,BAL,,DET,L 14-31,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,29,29.00,0
12,1964,1964-12-13,14,22.064,BAL,,WAS,W 45-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,39,19.50,0,0,0,3,127,42.33,0
13,1965,1965-09-19,1,22.344,DET,,RAM,W 20-0,13,20,1.54,0,2,48,24.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
14,1965,1965-09-26,2,22.351,DET,@,MIN,W 31-29,12,23,1.92,0,2,3,1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
15,1965,1965-10-03,3,22.358,DET,,WAS,W 14-10,22,61,2.77,1,3,11,3.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
16,1965,1965-10-10,4,23.000,DET,@,BAL,L 7-31,15,41,2.73,1,2,36,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
17,1965,1965-10-17,5,23.007,DET,,GNB,L 21-31,14,67,4.79,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
18,1965,1965-10-24,6,23.014,DET,@,CHI,L 10-38,11,67,6.09,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
19,1965,1965-10-31,7,23.021,DET,@,RAM,W 31-7,11,49,4.45,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
20,1965,1965-11-07,8,23.028,DET,@,GNB,W 12-7,15,25,1.67,1,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
21,1965,1965-11-21,10,23.042,DET,,CHI,L 10-17,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
22,1966,1966-09-18,2,23.343,DET,@,PIT,L 3-17,4,14,3.50,0,3,19,6.33,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,0,0,0,0,,0
23,1966,1966-09-25,3,23.350,DET,,ATL,W 28-10,4,28,7.00,1,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
24,1966,1966-10-09,5,23.364,WAS,,ATL,W 33-20,7,26,3.71,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,53,26.50,0,1,6,0,0,,0
25,1966,1966-10-16,6,24.006,WAS,@,NYG,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0,0,0,,0
