ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2016,2016-09-11,1,22.226,PHI,,CLE,W 29-10,,1,1,1.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0
2,2016,2016-09-19,2,22.234,PHI,@,CHI,W 29-14,,2,16,8.00,0,1,0,0,,0,0.0%,0.00,1,30,30.00,0,0,0
3,2016,2016-09-25,3,22.240,PHI,,PIT,W 34-3,,17,79,4.65,1,0,0,0,,0,0.0%,,0,0,,0,1,6
4,2016,2016-10-09,4,22.254,PHI,@,DET,L 23-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,2016,2016-10-16,5,22.261,PHI,@,WAS,L 20-27,,4,6,1.50,0,2,1,14,14.00,0,50.0%,7.00,1,86,86.00,1,1,6
6,2016,2016-10-23,6,22.268,PHI,,MIN,W 21-10,,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2016,2016-10-30,7,22.275,PHI,@,DAL,L 23-29,,1,-5,-5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2016,2016-11-06,8,22.282,PHI,@,NYG,L 23-28,,2,25,12.50,0,0,0,0,,0,0.0%,,2,50,25.00,0,0,0
9,2016,2016-11-13,9,22.289,PHI,,ATL,W 24-15,,13,70,5.38,0,1,0,0,,0,0.0%,0.00,2,32,16.00,0,0,0
10,2016,2016-11-20,10,22.296,PHI,@,SEA,L 15-26,,13,48,3.69,0,5,4,31,7.75,0,80.0%,6.20,0,0,,0,0,0
11,2016,2016-11-28,11,22.304,PHI,,GNB,L 13-27,*,9,37,4.11,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
12,2016,2016-12-04,12,22.310,PHI,@,CIN,L 14-32,*,8,19,2.38,0,3,0,0,,0,0.0%,0.00,1,13,13.00,0,0,0
13,2016,2016-12-11,13,22.317,PHI,,WAS,L 22-27,*,3,3,1.00,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0
14,2017,2017-09-10,1,23.224,PHI,@,WAS,W 30-17,,4,4,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
15,2017,2017-09-17,2,23.231,PHI,@,KAN,L 20-27,*,3,4,1.33,0,2,1,-3,-3.00,0,50.0%,-1.50,2,55,27.50,0,0,0
16,2017,2017-09-24,3,23.238,PHI,,NYG,W 27-24,,12,71,5.92,0,2,1,9,9.00,0,50.0%,4.50,2,38,19.00,0,0,0
17,2017,2017-10-01,4,23.245,PHI,@,LAC,W 26-24,*,10,34,3.40,1,6,4,45,11.25,0,66.7%,7.50,0,0,,0,1,6
18,2017,2017-10-23,7,23.267,PHI,,WAS,W 34-24,*,8,25,3.13,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0
19,2017,2017-10-29,8,23.273,PHI,,SFO,W 33-10,,1,5,5.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
20,2017,2017-11-05,9,23.280,PHI,,DEN,W 51-23,,5,25,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
21,2017,2017-12-31,16,23.336,PHI,,DAL,L 0-6,,4,6,1.50,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0
22,2018,2018-09-06,1,24.220,PHI,,ATL,W 18-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
23,2018,2018-09-16,2,24.230,PHI,@,TAM,L 21-27,,7,28,4.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
24,2018,2018-09-23,3,24.237,PHI,,IND,W 20-16,*,10,56,5.60,1,5,3,35,11.67,0,60.0%,7.00,2,33,16.50,0,1,6
