ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1966,1966-11-20,10,22.338,NYG,,ATL,L 16-27,0,0,,0,1,5,5.00,0,0,0,0,0,0
2,1966,1966-12-11,13,22.359,NYG,,PIT,L 28-47,0,0,,0,1,9,9.00,0,0,0,0,0,0
3,1967,1967-09-17,1,23.274,NYG,@,STL,W 37-20,0,0,,0,0,0,,0,0,0,1,8,0
4,1967,1967-11-26,11,23.344,NYG,,PHI,W 44-7,0,0,,0,0,0,,0,0,0,1,45,0
5,1969,1969-09-21,1,25.278,NYG,,MIN,W 24-23,2,11,5.50,0,0,0,,0,0,0,0,0,0
6,1969,1969-10-05,3,25.292,NYG,,CHI,W 28-24,3,44,14.67,1,0,0,,0,1,6,0,0,0
7,1969,1969-10-12,4,25.299,NYG,,PIT,W 10-7,2,34,17.00,0,0,0,,0,0,0,0,0,0
8,1969,1969-10-19,5,25.306,NYG,@,WAS,L 14-20,1,9,9.00,0,0,0,,0,0,0,0,0,0
9,1969,1969-11-09,8,25.327,NYG,@,STL,L 17-42,4,31,7.75,0,0,0,,0,0,0,0,0,0
10,1969,1969-11-16,9,25.334,NYG,,NOR,L 24-25,7,77,11.00,0,0,0,,0,0,0,0,0,0
11,1969,1969-11-23,10,25.341,NYG,@,CLE,L 17-28,7,79,11.29,0,0,0,,0,0,0,0,0,0
12,1969,1969-11-30,11,25.348,NYG,@,GNB,L 10-20,1,5,5.00,0,0,0,,0,0,0,0,0,0
13,1969,1969-12-14,13,25.362,NYG,@,PIT,W 21-17,2,25,12.50,0,0,0,,0,0,0,0,0,0
