ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1968,1968-09-15,1,23.012,SFO,@,BAL,L 10-27,0,0,,0,2,43,21.50,0
2,1968,1968-09-22,2,23.019,SFO,,STL,W 35-17,2,1,0.50,0,0,0,,0
3,1968,1968-10-27,7,23.054,ATL,@,CLE,L 7-30,3,4,1.33,0,1,20,20.00,0
4,1968,1968-11-03,8,23.061,ATL,,PIT,L 21-41,1,2,2.00,0,0,0,,0
