ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2005,2005-12-24,15,23.176,BUF,@,CIN,W 37-27,,,0,0,,0,0.0%,,0,0,,0
2,2005,2006-01-01,16,23.184,BUF,@,NYJ,L 26-30,,,0,0,,0,0.0%,,0,0,,0
3,2006,2006-11-19,10,24.141,BUF,@,HOU,W 24-21,,1,1,4,4.00,0,100.0%,4.00,0,0,,0
4,2006,2006-11-26,11,24.148,BUF,,JAX,W 27-24,,4,3,25,8.33,0,75.0%,6.25,0,0,,0
5,2006,2006-12-03,12,24.155,BUF,,SDG,L 21-24,,,0,0,,0,0.0%,,0,0,,0
6,2006,2006-12-10,13,24.162,BUF,@,NYJ,W 31-13,,0,0,0,,0,0.0%,,0,0,,0
7,2006,2006-12-17,14,24.169,BUF,,MIA,W 21-0,,1,0,0,,0,0.0%,0.00,0,0,,0
8,2006,2006-12-24,15,24.176,BUF,,TEN,L 29-30,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0
9,2006,2006-12-31,16,24.183,BUF,@,BAL,L 7-19,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0
10,2007,2007-11-18,10,25.140,BUF,,NWE,L 10-56,,,0,0,,0,0.0%,,0,0,,0
11,2007,2007-11-25,11,25.147,BUF,@,JAX,L 14-36,,,0,0,,0,0.0%,,0,0,,0
12,2008,2008-12-28,16,26.180,CLE,@,PIT,L 0-31,,0,0,0,,0,0.0%,,1,7,7.00,0
