ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-10-01,3,23.184,SFO,@,DET,W 49-0,0,0,,0,0,0,1,31,0
2,1961,1961-10-22,6,23.205,SFO,@,CHI,L 0-31,0,0,,0,0,0,1,0,0
3,1961,1961-11-05,8,23.219,SFO,,DET,T 20-20,0,0,,0,0,0,2,22,0
4,1961,1961-12-10,13,23.254,SFO,,GNB,W 22-21,0,0,,0,0,0,1,63,0
5,1962,1962-09-16,1,24.169,SFO,,CHI,L 14-30,1,7,7.00,0,0,0,0,0,0
6,1962,1962-10-07,4,24.190,SFO,@,BAL,W 21-13,1,11,11.00,0,0,0,0,0,0
7,1962,1962-10-14,5,24.197,SFO,@,CHI,W 34-27,1,80,80.00,1,1,6,0,0,0
8,1962,1962-10-28,7,24.211,SFO,,RAM,L 14-28,5,47,9.40,1,1,6,0,0,0
9,1962,1962-11-04,8,24.218,SFO,,BAL,L 3-22,2,21,10.50,0,0,0,0,0,0
10,1962,1962-11-11,9,24.225,SFO,,DET,L 24-38,11,181,16.45,0,0,0,0,0,0
11,1962,1962-11-18,10,24.232,SFO,@,RAM,W 24-17,3,49,16.33,1,1,6,0,0,0
12,1962,1962-11-25,11,24.239,SFO,@,STL,W 24-17,5,97,19.40,0,0,0,0,0,0
13,1962,1962-12-02,12,24.246,SFO,@,MIN,W 35-12,2,84,42.00,1,1,6,0,0,0
14,1962,1962-12-09,13,24.253,SFO,,GNB,L 21-31,3,50,16.67,0,0,0,0,0,0
15,1963,1963-09-15,1,25.168,SFO,,MIN,L 20-24,3,23,7.67,0,0,0,0,0,0
16,1963,1963-09-22,2,25.175,SFO,,BAL,L 14-20,3,40,13.33,0,0,0,0,0,0
17,1963,1963-10-06,4,25.189,SFO,@,DET,L 3-26,0,0,,0,0,0,1,36,0
18,1963,1963-12-08,13,25.252,SFO,@,CHI,L 7-27,0,0,,0,0,0,1,0,0
19,1964,1964-09-13,1,26.166,SFO,,DET,L 17-26,0,0,,0,0,0,1,0,0
20,1964,1964-11-15,10,26.229,SFO,,GNB,W 24-14,0,0,,0,0,0,1,22,0
21,1964,1964-12-06,13,26.250,SFO,,RAM,W 28-7,0,0,,0,0,0,1,43,0
22,1965,1965-09-26,2,27.179,SFO,,PIT,W 27-17,0,0,,0,0,0,1,4,0
23,1965,1965-10-03,3,27.186,SFO,@,BAL,L 24-27,0,0,,0,0,0,1,17,0
24,1965,1965-10-10,4,27.193,SFO,@,GNB,L 10-27,0,0,,0,0,0,1,0,0
25,1965,1965-11-14,9,27.228,SFO,@,DET,W 27-21,0,0,,0,0,0,1,0,0
26,1965,1965-11-21,10,27.235,SFO,,RAM,W 30-27,0,0,,0,0,0,1,26,0
27,1965,1965-12-19,14,27.263,SFO,,GNB,T 24-24,0,0,,0,0,0,1,0,0
28,1966,1966-09-25,2,28.178,SFO,@,BAL,L 14-36,0,0,,0,0,0,1,22,0
29,1966,1966-10-16,5,28.199,SFO,@,ATL,W 44-7,0,0,,0,1,6,1,35,1
30,1966,1966-11-06,8,28.220,SFO,,RAM,W 21-13,0,0,,0,0,0,1,0,0
31,1966,1966-12-11,13,28.255,SFO,,CHI,W 41-14,0,0,,0,0,0,1,0,0
32,1967,1967-10-08,4,29.191,SFO,@,RAM,W 27-24,0,0,,0,0,0,1,38,0
33,1967,1967-11-19,10,29.233,SFO,@,GNB,L 0-13,0,0,,0,0,0,1,30,0
34,1968,1968-11-17,10,30.231,SFO,,RAM,T 20-20,0,0,,0,0,0,1,25,0
35,1969,1969-09-28,2,31.181,SFO,@,GNB,L 7-14,0,0,,0,0,0,1,0,0
36,1969,1969-10-26,6,31.209,SFO,@,BAL,W 24-21,0,0,,0,0,0,1,0,0
37,1969,1969-11-27,11,31.241,SFO,@,DAL,T 24-24,0,0,,0,0,0,1,18,0
38,1969,1969-12-21,14,31.265,SFO,,PHI,W 14-13,0,0,,0,0,0,2,0,0
39,1970,1970-09-20,1,32.173,SFO,,WAS,W 26-17,,,,,,,,,
40,1970,1970-09-27,2,32.180,SFO,,CLE,W 34-31,,,,,,,,,
41,1970,1970-10-04,3,32.187,SFO,@,ATL,L 20-21,,,,,,,,,
42,1970,1970-10-11,4,32.194,SFO,@,RAM,W 20-6,,,,,,,,,
43,1970,1970-10-18,5,32.201,SFO,,NOR,T 20-20,,,,,,,,,
44,1970,1970-10-25,6,32.208,SFO,,DEN,W 19-14,0,0,,0,0,0,1,0,0
45,1970,1970-11-01,7,32.215,SFO,,GNB,W 26-10,,,,,,,,,
46,1970,1970-11-08,8,32.222,SFO,@,CHI,W 37-16,,,,,,,,,
47,1970,1970-11-15,9,32.229,SFO,@,HOU,W 30-20,,,,,,,,,
48,1970,1970-11-22,10,32.236,SFO,@,DET,L 7-28,,,,,,,,,
49,1970,1970-11-29,11,32.243,SFO,,RAM,L 13-30,,,,,,,,,
50,1970,1970-12-06,12,32.250,SFO,,ATL,W 24-20,,,,,,,,,
51,1970,1970-12-13,13,32.257,SFO,@,NOR,W 38-27,,,,,,,,,
52,1970,1970-12-20,14,32.264,SFO,@,OAK,W 38-7,0,0,,0,1,6,1,36,1
53,1971,1971-09-19,1,33.172,SFO,@,ATL,L 17-20,,,,,,,,,
54,1971,1971-09-26,2,33.179,SFO,@,NOR,W 38-20,,,,,,,,,
55,1971,1971-10-03,3,33.186,SFO,@,PHI,W 31-3,,,,,,,,,
56,1971,1971-10-10,4,33.193,SFO,,RAM,L 13-20,,,,,,,,,
57,1971,1971-10-17,5,33.200,SFO,,CHI,W 13-0,0,0,,0,0,0,1,10,0
