ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1982,1982-09-12,1,22.110,TAM,@,MIN,L 10-17,,,,,,,
2,1982,1982-09-19,2,22.117,TAM,,WAS,L 13-21,,,,,,,
3,1982,1982-11-21,3,22.180,TAM,@,DAL,L 9-14,,,,,,,
4,1982,1982-11-29,4,22.188,TAM,,MIA,W 23-17,,,,,,,
5,1982,1982-12-05,5,22.194,TAM,@,NOR,W 13-10,,,,,,,
6,1982,1982-12-12,6,22.201,TAM,@,NYJ,L 17-32,,,,,,,
7,1982,1982-12-19,7,22.208,TAM,,BUF,W 24-23,,,,,,,
8,1982,1982-12-26,8,22.215,TAM,,DET,W 23-21,,,,,,,
9,1982,1983-01-02,9,22.222,TAM,,CHI,W 26-23,,,,,,,
10,1983,1983-09-04,1,23.102,TAM,,DET,L 0-11,,,,,,,
11,1983,1983-09-11,2,23.109,TAM,@,CHI,L 10-17,,,,,,,
12,1983,1983-09-18,3,23.116,TAM,,MIN,L 16-19,,,,,,,
13,1983,1983-11-06,10,23.165,TAM,@,MIN,W 17-12,,,,,,,
14,1983,1983-11-13,11,23.172,TAM,@,CLE,L 0-20,,,,,,,
15,1983,1983-11-20,12,23.179,TAM,,CHI,L 0-27,,,,,,,
16,1983,1983-11-27,13,23.186,TAM,,HOU,W 33-24,,,,,,,
17,1983,1983-12-04,14,23.193,TAM,@,SFO,L 21-35,,,,,,,
18,1983,1983-12-12,15,23.201,TAM,,GNB,L 9-12,,,,,,,
19,1983,1983-12-18,16,23.207,TAM,@,DET,L 20-23,,,,,,,
20,1984,1984-09-02,1,24.100,TAM,@,CHI,L 14-34,,,,,,,
21,1984,1984-09-09,2,24.107,TAM,@,NOR,L 13-17,,,,,,,
22,1984,1984-09-16,3,24.114,TAM,,DET,W 21-17,,,,,,,
23,1984,1984-09-23,4,24.121,TAM,@,NYG,L 14-17,,,,,,,
24,1984,1984-09-30,5,24.128,TAM,,GNB,W 30-27,,,,,,,
25,1984,1984-10-07,6,24.135,TAM,,MIN,W 35-31,,,,,,,
26,1984,1984-10-14,7,24.142,TAM,@,DET,L 7-13,,,,,,,
27,1984,1984-10-21,8,24.149,TAM,,CHI,L 9-44,,,,,,,
28,1984,1984-10-28,9,24.156,TAM,@,KAN,L 20-24,,,,,,,
29,1984,1984-11-04,10,24.163,TAM,@,MIN,L 24-27,,,,,,,
30,1984,1984-11-11,11,24.170,TAM,,NYG,W 20-17,,,,,,,
31,1984,1984-11-18,12,24.177,TAM,@,SFO,L 17-24,,,,,,,
32,1984,1984-11-25,13,24.184,TAM,,RAM,L 33-34,,,,,,,
33,1984,1984-12-09,15,24.198,TAM,,ATL,W 23-6,,,,,,,
34,1984,1984-12-16,16,24.205,TAM,,NYJ,W 41-21,,,,,,,
35,1985,1985-09-08,1,25.106,TAM,@,CHI,L 28-38,,,,,,,
36,1985,1985-09-15,2,25.113,TAM,,MIN,L 16-31,,,,,,,
37,1985,1985-09-22,3,25.120,TAM,@,NOR,L 13-20,,,,,,,
