ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2003,2003-09-07,1,24.131,SEA,,NOR,W 27-10,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
2,2003,2003-09-14,2,24.138,SEA,@,ARI,W 38-0,,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0.0,,,0,0,,0
3,2003,2003-09-21,3,24.145,SEA,,STL,W 24-23,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
4,2003,2003-10-05,4,24.159,SEA,@,GNB,L 13-35,,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
5,2003,2003-10-12,5,24.166,SEA,,SFO,W 20-19,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
6,2003,2003-10-19,6,24.173,SEA,,CHI,W 24-17,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
7,2003,2003-10-26,7,24.180,SEA,@,CIN,L 24-27,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
8,2003,2003-11-02,8,24.187,SEA,,PIT,W 23-16,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
9,2003,2003-11-09,9,24.194,SEA,@,WAS,L 20-27,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
10,2003,2003-11-16,10,24.201,SEA,,DET,W 35-14,,0,0,,0,0,,,,,,,5,5,100.0,,,,0,5,,,,,,,
11,2003,2003-11-23,11,24.208,SEA,@,BAL,L 41-44,,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,,,0,0,,0
12,2003,2003-11-30,12,24.215,SEA,,CLE,W 34-7,,0,0,,0,0,0,,,,,,4,4,100.0,2,3,66.7,0,10,0.0,,,0,0,,0
13,2003,2003-12-07,13,24.222,SEA,@,MIN,L 7-34,,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0.0,,,0,0,,0
14,2003,2003-12-14,14,24.229,SEA,@,STL,L 22-27,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
15,2003,2003-12-21,15,24.236,SEA,,ARI,W 28-10,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,,,,
16,2003,2003-12-27,16,24.242,SEA,@,SFO,W 24-17,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
