ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-18,1,23.264,DET,@,CHI,L 20-30,4,64,16.00,0,2,18,9.00,0
2,1977,1977-09-25,2,23.271,DET,,NOR,W 23-19,1,9,9.00,0,0,0,,0
3,1978,1978-09-17,3,24.263,OAK,@,GNB,W 28-3,,,,,,,,
4,1978,1978-09-24,4,24.270,OAK,,NWE,L 14-21,,,,,,,,
5,1978,1978-10-22,8,24.298,CLE,@,KAN,L 3-17,2,43,21.50,0,0,0,,0
6,1978,1978-10-29,9,24.305,CLE,,BUF,W 41-20,,,,,,,,
7,1978,1978-11-05,10,24.312,CLE,@,HOU,L 10-14,,,,,,,,
8,1978,1978-11-12,11,24.319,CLE,,DEN,L 7-19,,,,,,,,
9,1978,1978-11-19,12,24.326,CLE,@,BAL,W 45-24,,,,,,,,
10,1978,1978-11-26,13,24.333,CLE,,RAM,W 30-19,,,,,,,,
11,1978,1978-12-03,14,24.340,CLE,@,SEA,L 24-47,,,,,,,,
12,1978,1978-12-10,15,24.347,CLE,,NYJ,W 37-34,,,,,,,,
13,1978,1978-12-17,16,24.354,CLE,@,CIN,L 16-48,,,,,,,,
14,1979,1979-09-02,1,25.248,CLE,@,NYJ,W 25-22,,,,,,,,
15,1979,1979-09-09,2,25.255,CLE,@,KAN,W 27-24,,,,,,,,
16,1979,1979-09-16,3,25.262,CLE,,BAL,W 13-10,1,4,4.00,0,0,0,,0
17,1979,1979-09-24,4,25.270,CLE,,DAL,W 26-7,,,,,,,,
18,1979,1979-09-30,5,25.276,CLE,@,HOU,L 10-31,,,,,,,,
19,1979,1979-10-07,6,25.283,CLE,,PIT,L 35-51,,,,,,,,
20,1979,1979-10-14,7,25.290,CLE,,WAS,L 9-13,,,,,,,,
21,1979,1979-10-21,8,25.297,CLE,,CIN,W 28-27,,,,,,,,
22,1979,1979-10-28,9,25.304,CLE,@,STL,W 38-20,,,,,,,,
23,1979,1979-11-04,10,25.311,CLE,@,PHI,W 24-19,,,,,,,,
24,1979,1979-11-11,11,25.318,CLE,,SEA,L 24-29,,,,,,,,
25,1979,1979-11-18,12,25.325,CLE,,MIA,W 30-24,,,,,,,,
26,1979,1979-11-25,13,25.332,CLE,@,PIT,L 30-33,,,,,,,,
27,1979,1979-12-02,14,25.339,CLE,,HOU,W 14-7,1,6,6.00,0,0,0,,0
28,1979,1979-12-09,15,25.346,CLE,@,OAK,L 14-19,,,,,,,,
29,1979,1979-12-16,16,25.353,CLE,@,CIN,L 12-16,,,,,,,,
