ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,23.072,ATL,,CAR,W 23-20,,0,0,0,,0,0.0%,,4,98,24.50,0,0,0,,0,0,0
2,1995,1995-09-10,2,23.079,ATL,@,SFO,L 10-41,,0,0,0,,0,0.0%,,4,71,17.75,0,0,0,,0,0,0
3,1995,1995-09-17,3,23.086,ATL,@,NOR,W 27-24,,0,0,0,,0,0.0%,,4,85,21.25,0,0,0,,0,0,0
4,1995,1995-09-24,4,23.093,ATL,,NYJ,W 13-3,,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0,0,0
5,1995,1995-10-01,5,23.100,ATL,,NWE,W 30-17,,0,0,0,,0,0.0%,,3,65,21.67,0,0,0,,0,0,0
6,1995,1995-10-12,6,23.111,ATL,@,STL,L 19-21,,0,0,0,,0,0.0%,,4,79,19.75,0,0,0,,0,0,0
7,1995,1995-10-22,7,23.121,ATL,@,TAM,W 24-21,,2,2,19,9.50,0,100.0%,9.50,3,58,19.33,0,0,0,,0,0,0
8,1995,1995-10-29,8,23.128,ATL,,DAL,L 13-28,,0,0,0,,0,0.0%,,2,36,18.00,0,0,0,,0,0,0
9,1995,1995-11-05,9,23.135,ATL,,DET,W 34-22,,1,1,13,13.00,0,100.0%,13.00,1,22,22.00,0,0,0,,0,0,0
10,1995,1995-11-12,10,23.142,ATL,@,BUF,L 17-23,,0,0,0,,0,0.0%,,1,31,31.00,0,0,0,,0,0,0
11,1995,1995-11-19,11,23.149,ATL,,STL,W 31-6,,3,1,18,18.00,0,33.3%,6.00,2,37,18.50,0,0,0,,0,0,0
12,1995,1995-11-26,12,23.156,ATL,@,ARI,L 37-40,,4,3,79,26.33,1,75.0%,19.75,0,0,,0,0,0,,0,1,6
13,1995,1995-12-03,13,23.163,ATL,@,MIA,L 20-21,,,0,0,,0,0.0%,,0,0,,0,,,,,,
14,1995,1995-12-10,14,23.170,ATL,,NOR,W 19-14,,,0,0,,0,0.0%,,0,0,,0,,,,,,
15,1996,1996-09-01,1,24.070,ATL,@,CAR,L 6-29,,,0,0,,0,0.0%,,0,0,,0,,,,,,
16,1996,1996-09-08,2,24.077,ATL,,MIN,L 17-23,,0,0,0,,0,0.0%,,1,15,15.00,0,0,0,,0,0,0
17,1996,1996-09-22,3,24.091,ATL,,PHI,L 18-33,,,0,0,,0,0.0%,,0,0,,0,,,,,,
18,1996,1996-09-29,4,24.098,ATL,@,SFO,L 17-39,,10,6,65,10.83,1,60.0%,6.50,0,0,,0,0,0,,0,1,6
19,1996,1996-10-06,5,24.105,ATL,@,DET,L 24-28,,8,6,74,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,0
20,1996,1996-10-13,6,24.112,ATL,,HOU,L 13-23,,13,9,69,7.67,0,69.2%,5.31,0,0,,0,0,0,,0,0,0
21,1996,1996-10-20,7,24.119,ATL,@,DAL,L 28-32,,,0,0,,0,0.0%,,0,0,,0,,,,,,
22,1996,1996-11-03,9,24.133,ATL,,CAR,W 20-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,
23,1996,1996-11-10,10,24.140,ATL,@,STL,L 16-59,,,0,0,,0,0.0%,,0,0,,0,,,,,,
24,1996,1996-11-17,11,24.147,ATL,,NOR,W 17-15,,0,0,0,,0,0.0%,,5,116,23.20,0,0,0,,0,0,0
25,1996,1996-11-24,12,24.154,ATL,@,CIN,L 31-41,,0,0,0,,0,0.0%,,7,176,25.14,0,0,0,,0,0,0
26,1996,1996-12-02,13,24.162,ATL,,SFO,L 10-34,,0,0,0,,0,0.0%,,6,103,17.17,0,0,0,,0,0,0
27,1996,1996-12-08,14,24.168,ATL,@,NOR,W 31-15,,0,0,0,,0,0.0%,,2,41,20.50,0,0,0,,0,0,0
28,1996,1996-12-15,15,24.175,ATL,,STL,L 27-34,,0,0,0,,0,0.0%,,5,107,21.40,0,0,0,,0,0,0
29,1996,1996-12-22,16,24.182,ATL,@,JAX,L 17-19,,0,0,0,,0,0.0%,,6,123,20.50,0,0,0,,0,0,0
30,1997,1997-11-16,11,25.146,GNB,@,IND,L 38-41,,0,0,0,,0,0.0%,,7,211,30.14,0,1,0,0.00,0,0,0
