ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2012,2012-09-23,3,24.016,OAK,,PIT,W 34-31,,,,,,,,
2,2012,2012-09-30,4,24.023,OAK,@,DEN,L 6-37,,0,0,,0,0.0,1,1
3,2012,2012-11-18,10,24.072,OAK,,NOR,L 17-38,,0,0,,0,0.0,1,0
4,2012,2012-12-23,15,24.107,OAK,@,CAR,L 6-17,,,,,,,,
5,2013,2013-09-08,1,25.001,OAK,@,IND,L 17-21,,0,0,,0,0.0,1,0
6,2013,2013-09-23,3,25.016,OAK,@,DEN,L 21-37,,,,,,,,
7,2013,2013-09-29,4,25.022,OAK,,WAS,L 14-24,,0,0,,0,0.0,2,2
8,2013,2013-10-06,5,25.029,OAK,,SDG,W 27-17,,0,0,,0,0.0,1,0
9,2013,2013-10-13,6,25.036,OAK,@,KAN,L 7-24,,,,,,,,
10,2013,2013-10-27,7,25.050,OAK,,PIT,W 21-18,,0,0,,0,0.0,0,1
11,2013,2013-11-03,8,25.057,OAK,,PHI,L 20-49,,0,0,,0,0.0,1,1
12,2013,2013-11-10,9,25.064,OAK,@,NYG,L 20-24,,1,-1,-1.00,0,0.0,1,0
13,2013,2013-11-17,10,25.071,OAK,@,HOU,W 28-23,,0,0,,0,0.0,1,1
14,2013,2013-11-24,11,25.078,OAK,,TEN,L 19-23,,0,0,,0,0.0,0,1
15,2013,2013-11-28,12,25.082,OAK,@,DAL,L 24-31,,0,0,,0,0.0,1,0
16,2013,2013-12-08,13,25.092,OAK,@,NYJ,L 27-37,,0,0,,0,0.0,0,1
17,2013,2013-12-15,14,25.099,OAK,,KAN,L 31-56,,,,,,,,
18,2013,2013-12-22,15,25.106,OAK,@,SDG,L 13-26,,,,,,,,
19,2013,2013-12-29,16,25.113,OAK,,DEN,L 14-34,,,,,,,,
20,2014,2014-09-14,2,26.007,DAL,@,TEN,W 26-10,,,,,,,,
21,2014,2014-09-21,3,26.014,DAL,@,STL,W 34-31,,0,0,,0,0.0,1,0
22,2014,2014-09-28,4,26.021,DAL,,NOR,W 38-17,,0,0,,0,1.0,1,2
23,2014,2014-10-05,5,26.028,DAL,,HOU,W 20-17,,,,,,,,
24,2014,2014-11-09,10,26.063,DAL,@,JAX,W 31-17,,0,0,,0,1.0,2,0
25,2014,2014-11-23,11,26.077,DAL,@,NYG,W 31-28,,0,0,,0,0.0,2,0
