ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,26.186,PHI,,STL,L 17-20,,,,,,
2,2001,2001-09-23,2,26.200,PHI,@,SEA,W 27-3,,,,,,
3,2001,2001-09-30,3,26.207,PHI,,DAL,W 40-18,,,,,,
4,2001,2001-10-07,4,26.214,PHI,,ARI,L 20-21,,,,,,
5,2001,2001-10-22,5,26.229,PHI,@,NYG,W 10-9,,,,,,
6,2001,2001-10-28,6,26.235,PHI,,OAK,L 10-20,,,,,,
7,2001,2001-11-04,7,26.242,PHI,@,ARI,W 21-7,,,,,,
8,2001,2001-11-11,8,26.249,PHI,,MIN,W 48-17,,,,,,
9,2001,2001-11-18,9,26.256,PHI,@,DAL,W 36-3,,1,6,1,33,1
10,2001,2001-11-25,10,26.263,PHI,,WAS,L 3-13,,,,,,
11,2001,2001-11-29,11,26.267,PHI,@,KAN,W 23-10,,,,,,
12,2001,2001-12-09,12,26.277,PHI,,SDG,W 24-14,,,,,,
13,2001,2002-01-06,16,26.305,PHI,@,TAM,W 17-13,,,,,,
14,2003,2003-10-26,7,28.233,CAR,@,NOR,W 23-20,,,,,,
15,2003,2003-12-07,13,28.275,CAR,@,ATL,L 14-20,,,,,,
16,2003,2003-12-14,14,28.282,CAR,@,ARI,W 20-17,,,,,,
17,2003,2003-12-21,15,28.289,CAR,,DET,W 20-14,,,,,,
18,2003,2003-12-28,16,28.296,CAR,@,NYG,W 37-24,,,,,,
19,2004,2004-09-13,1,29.190,CAR,,GNB,L 14-24,,,,,,
20,2004,2004-09-19,2,29.196,CAR,@,KAN,W 28-17,,,,,,
21,2004,2004-10-03,3,29.210,CAR,,ATL,L 10-27,,,,,,
22,2004,2004-10-10,4,29.217,CAR,@,DEN,L 17-20,,,,,,
