ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1958,1958-09-28,1,22.359,PIT,@,SFO,L 20-23,1,12,12.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
2,1958,1958-10-05,2,23.001,PIT,,CLE,L 12-45,1,66,66.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
3,1958,1958-10-12,3,23.008,PIT,,PHI,W 24-3,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
4,1958,1958-10-19,4,23.015,PIT,@,CLE,L 10-27,3,32,10.67,0,0,0,,0,0,0,,0,0,,,,,,,0,
5,1958,1958-10-26,5,23.022,PIT,@,NYG,L 6-17,2,16,8.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
6,1958,1958-11-02,6,23.029,PIT,,WAS,W 24-16,5,133,26.60,1,0,0,,0,0,0,,0,0,,,,,,,1,
7,1958,1958-11-09,7,23.036,PIT,@,PHI,W 31-24,2,37,18.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
8,1958,1958-11-23,9,23.050,PIT,@,CRD,W 27-20,3,116,38.67,1,0,0,,0,0,0,,0,0,,,,,,,1,
9,1958,1958-11-30,10,23.057,PIT,,CHI,W 24-10,5,163,32.60,1,0,0,,0,0,0,,0,0,,,,,,,1,
10,1958,1958-12-07,11,23.064,PIT,@,WAS,T 14-14,4,123,30.75,1,1,8,8.00,0,0,0,,0,0,,,,,,,1,
11,1958,1958-12-13,12,23.070,PIT,,CRD,W 38-21,6,205,34.17,3,0,0,,0,0,0,,0,0,,,,,,,3,
12,1959,1959-09-26,1,23.357,PIT,,CLE,W 17-7,6,89,14.83,1,0,0,,0,0,0,,0,0,,,,,,,1,
13,1959,1959-10-04,2,24.000,PIT,,WAS,L 17-23,5,57,11.40,0,0,0,,0,0,0,,0,0,,,,,,,0,
14,1959,1959-10-11,3,24.007,PIT,@,PHI,L 24-28,2,28,14.00,1,0,0,,0,0,0,,0,0,,,,,,,1,
15,1959,1959-10-18,4,24.014,PIT,@,WAS,W 27-6,1,15,15.00,0,1,3,3.00,0,0,0,,0,0,,,,,,,0,
16,1959,1959-10-25,5,24.021,PIT,,NYG,L 16-21,2,48,24.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
17,1959,1959-11-01,6,24.028,PIT,@,CRD,L 24-45,2,51,25.50,0,1,-5,-5.00,0,0,0,,0,0,,,,,,,0,
18,1959,1959-11-08,7,24.035,PIT,,DET,T 10-10,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
