ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.202,STL,@,NYG,L 13-23,,,,,,,,,,,,
2,2003,2003-09-14,2,23.209,STL,,SFO,W 27-24,,,,,,,,,,,,
3,2003,2003-09-21,3,23.216,STL,@,SEA,L 23-24,,0,0,,0,3,25,8.33,0,0,0,0
4,2003,2003-09-28,4,23.223,STL,,ARI,W 37-13,,0,0,,0,4,36,9.00,0,0,0,0
5,2003,2003-10-13,5,23.238,STL,,ATL,W 36-0,,1,33,33.00,0,2,21,10.50,0,0,0,0
6,2003,2003-10-19,6,23.244,STL,,GNB,W 34-24,,0,0,,0,3,27,9.00,0,0,0,0
7,2003,2003-10-26,7,23.251,STL,@,PIT,W 33-21,*,0,0,,0,4,8,2.00,0,1,7,0
8,2003,2003-11-02,8,23.258,STL,@,SFO,L 10-30,,0,0,,0,1,8,8.00,0,0,0,0
9,2003,2003-11-09,9,23.265,STL,,BAL,W 33-22,,0,0,,0,2,10,5.00,0,0,0,0
10,2003,2003-11-16,10,23.272,STL,@,CHI,W 23-21,,,,,,,,,,,,
11,2003,2003-11-23,11,23.279,STL,@,ARI,W 30-27,,,,,,,,,,,,
12,2003,2003-11-30,12,23.286,STL,,MIN,W 48-17,,,,,,,,,,,,
13,2003,2003-12-08,13,23.294,STL,@,CLE,W 26-20,,,,,,,,,,,,
14,2003,2003-12-14,14,23.300,STL,,SEA,W 27-22,,,,,,,,,,,,
15,2003,2003-12-21,15,23.307,STL,,CIN,W 27-10,,,,,,,,,,,,
16,2003,2003-12-28,16,23.314,STL,@,DET,L 20-30,,,,,,,,,,,,
17,2004,2004-09-12,1,24.208,STL,,ARI,W 17-10,*,,,,,,,,,,,
18,2004,2004-09-19,2,24.215,STL,@,ATL,L 17-34,*,,,,,,,,,,,
19,2004,2004-10-10,5,24.236,STL,@,SEA,W 33-27,*,,,,,,,,,,,
20,2004,2004-10-18,6,24.244,STL,,TAM,W 28-21,*,,,,,,,,,,,
21,2004,2004-10-24,7,24.250,STL,@,MIA,L 14-31,,,,,,,,,,,,
22,2004,2004-11-07,8,24.264,STL,,NWE,L 22-40,,,,,,,,,,,,
23,2004,2004-11-14,9,24.271,STL,,SEA,W 23-12,,1,15,15.00,0,0,0,,0,0,0,0
24,2004,2004-11-21,10,24.278,STL,@,BUF,L 17-37,,,,,,,,,,,,
25,2004,2004-12-19,14,24.306,STL,@,ARI,L 7-31,,,,,,,,,,,,
26,2004,2004-12-27,15,24.314,STL,,PHI,W 20-7,,,,,,,,,,,,
27,2004,2005-01-02,16,24.320,STL,,NYJ,W 32-29,,,,,,,,,,,,
28,2005,2005-09-11,1,25.206,STL,@,SFO,L 25-28,*,,,,,,,,,,,
29,2005,2005-09-18,2,25.213,STL,@,ARI,W 17-12,*,0,0,,0,0,0,,0,1,0,0
30,2005,2005-09-25,3,25.220,STL,,TEN,W 31-27,*,,,,,,,,,,,
31,2005,2005-10-02,4,25.227,STL,@,NYG,L 24-44,*,,,,,,,,,,,
32,2005,2005-10-09,5,25.234,STL,,SEA,L 31-37,*,,,,,,,,,,,
33,2005,2005-10-17,6,25.242,STL,@,IND,L 28-45,*,,,,,,,,,,,
34,2005,2005-10-23,7,25.248,STL,,NOR,W 28-17,*,,,,,,,,,,,
35,2005,2005-10-30,8,25.255,STL,,JAX,W 24-21,*,,,,,,,,,,,
36,2005,2005-11-13,9,25.269,STL,@,SEA,L 16-31,*,,,,,,,,,,,
37,2005,2005-11-20,10,25.276,STL,,ARI,L 28-38,*,,,,,,,,,,,
38,2005,2005-12-04,12,25.290,STL,,WAS,L 9-24,*,,,,,,,,,,,
39,2005,2005-12-11,13,25.297,STL,@,MIN,L 13-27,*,,,,,,,,,,,
40,2005,2005-12-18,14,25.304,STL,,PHI,L 16-17,*,0,0,,0,0,0,,0,1,0,0
41,2005,2005-12-24,15,25.310,STL,,SFO,L 20-24,*,,,,,,,,,,,
42,2005,2006-01-01,16,25.318,STL,@,DAL,W 20-10,*,,,,,,,,,,,
43,2006,2006-10-08,5,26.233,NOR,,TAM,W 24-21,,,,,,,,,,,,
44,2006,2006-10-15,6,26.240,NOR,,PHI,W 27-24,,,,,,,,,,,,
45,2006,2006-10-29,7,26.254,NOR,,BAL,L 22-35,,,,,,,,,,,,
46,2006,2006-11-05,8,26.261,NOR,@,TAM,W 31-14,,,,,,,,,,,,
47,2006,2006-11-12,9,26.268,NOR,@,PIT,L 31-38,,,,,,,,,,,,
48,2006,2006-11-19,10,26.275,NOR,,CIN,L 16-31,,,,,,,,,,,,
49,2006,2006-11-26,11,26.282,NOR,@,ATL,W 31-13,,,,,,,,,,,,
50,2006,2006-12-03,12,26.289,NOR,,SFO,W 34-10,,,,,,,,,,,,
51,2006,2006-12-10,13,26.296,NOR,@,DAL,W 42-17,,,,,,,,,,,,
52,2006,2006-12-17,14,26.303,NOR,,WAS,L 10-16,,,,,,,,,,,,
53,2006,2006-12-24,15,26.310,NOR,@,NYG,W 30-7,,,,,,,,,,,,
54,2006,2006-12-31,16,26.317,NOR,,CAR,L 21-31,,,,,,,,,,,,
