ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-21,3,22.344,KAN,@,ATL,L 14-38,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
2,2008,2008-09-28,4,22.351,KAN,,DEN,W 33-19,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
3,2008,2008-10-05,5,22.358,KAN,@,CAR,L 0-34,,,,,,,0.0%,,,,,,,,
4,2008,2008-10-19,6,23.006,KAN,,TEN,L 10-34,,,,,,,0.0%,,,,,,,,
5,2008,2008-10-26,7,23.013,KAN,@,NYJ,L 24-28,,2,,,,,0.0%,,,,,,,,
6,2008,2008-11-02,8,23.020,KAN,,TAM,L 27-30,,1,,,,,0.0%,,,,,,,,
7,2008,2008-11-09,9,23.027,KAN,@,SDG,L 19-20,,1,,,,,0.0%,,,,,,,,
8,2008,2008-11-16,10,23.034,KAN,,NOR,L 20-30,,2,1,42,42.00,0,50.0%,21.00,0,0,,0,0.0,0,0
9,2008,2008-11-23,11,23.041,KAN,,BUF,L 31-54,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0.0,2,0
10,2008,2008-11-30,12,23.048,KAN,@,OAK,W 20-13,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
11,2008,2008-12-07,13,23.055,KAN,@,DEN,L 17-24,,1,,,,,0.0%,,,,,,,,
12,2008,2008-12-14,14,23.062,KAN,,SDG,L 21-22,*,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0.0,0,0
13,2008,2008-12-21,15,23.069,KAN,,MIA,L 31-38,,0,0,0,,0,0.0%,,1,16,16.00,0,0.0,0,0
