ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1963,1963-09-22,3,22.098,BUF,,KAN,T 27-27,2,7,3.50,0,0,0,,0,0,0,,0,0,0
2,1963,1963-09-28,4,22.104,BUF,,HOU,L 20-31,19,99,5.21,0,1,68,68.00,0,0,0,,0,0,0
3,1963,1963-10-05,5,22.111,BUF,,OAK,W 12-0,5,14,2.80,0,0,0,,0,1,11,11.00,0,0,0
4,1963,1963-10-13,6,22.119,BUF,@,KAN,W 35-26,13,86,6.62,0,3,80,26.67,1,0,0,,0,1,6
5,1963,1963-10-20,7,22.126,BUF,@,HOU,L 14-28,8,26,3.25,0,0,0,,0,0,0,,0,0,0
