ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2009,2009-09-13,1,23.189,NOR,,DET,W 45-27,,0.0,0,0,2,96,48.00,0
2,2009,2009-09-20,2,23.196,NOR,@,PHI,W 48-22,,0.0,0,0,3,156,52.00,0
3,2009,2009-09-27,3,23.203,NOR,@,BUF,W 27-7,,0.0,0,0,5,213,42.60,0
4,2009,2009-10-04,4,23.210,NOR,,NYJ,W 24-10,,0.0,0,0,5,190,38.00,0
5,2009,2009-10-18,5,23.224,NOR,,NYG,W 48-27,,0.0,0,0,4,180,45.00,0
6,2009,2009-10-25,6,23.231,NOR,@,MIA,W 46-34,,0.0,0,0,3,137,45.67,0
7,2009,2009-11-02,7,23.239,NOR,,ATL,W 35-27,,0.0,0,0,2,89,44.50,0
8,2009,2009-11-08,8,23.245,NOR,,CAR,W 30-20,,0.0,0,0,3,116,38.67,0
9,2009,2009-11-15,9,23.252,NOR,@,STL,W 28-23,,0.0,0,0,3,112,37.33,0
10,2009,2009-11-22,10,23.259,NOR,@,TAM,W 38-7,,0.0,0,0,4,195,48.75,0
11,2009,2009-11-30,11,23.267,NOR,,NWE,W 38-17,,0.0,0,0,3,130,43.33,0
12,2009,2009-12-06,12,23.273,NOR,@,WAS,W 33-30,,0.0,0,0,3,100,33.33,0
13,2009,2009-12-13,13,23.280,NOR,@,ATL,W 26-23,,0.0,0,0,1,35,35.00,0
14,2009,2009-12-19,14,23.286,NOR,,DAL,L 17-24,,0.0,0,0,4,201,50.25,0
15,2009,2009-12-27,15,23.294,NOR,,TAM,L 17-20,,0.0,0,0,4,161,40.25,0
16,2009,2010-01-03,16,23.301,NOR,@,CAR,L 10-23,,0.0,0,0,9,417,46.33,0
17,2010,2010-09-09,1,24.185,NOR,,MIN,W 14-9,,0.0,0,0,5,216,43.20,0
18,2010,2010-09-20,2,24.196,NOR,@,SFO,W 25-22,,0.0,0,0,6,280,46.67,0
19,2010,2010-09-26,3,24.202,NOR,,ATL,L 24-27,,0.0,0,0,2,98,49.00,0
20,2010,2010-10-03,4,24.209,NOR,,CAR,W 16-14,,0.0,0,0,3,160,53.33,0
21,2010,2010-10-10,5,24.216,NOR,@,ARI,L 20-30,,0.0,0,0,3,138,46.00,0
22,2010,2010-10-17,6,24.223,NOR,@,TAM,W 31-6,,0.0,0,0,1,46,46.00,0
23,2010,2010-10-24,7,24.230,NOR,,CLE,L 17-30,,0.0,0,0,4,204,51.00,0
24,2010,2010-10-31,8,24.237,NOR,,PIT,W 20-10,,0.0,0,0,4,175,43.75,0
25,2010,2010-11-07,9,24.244,NOR,@,CAR,W 34-3,,0.0,0,0,5,232,46.40,0
26,2010,2010-11-21,10,24.258,NOR,,SEA,W 34-19,,0.0,0,0,1,40,40.00,0
27,2010,2010-11-25,11,24.262,NOR,@,DAL,W 30-27,,0.0,0,0,2,120,60.00,0
28,2010,2010-12-05,12,24.272,NOR,@,CIN,W 34-30,,0.0,0,0,3,136,45.33,0
29,2010,2010-12-12,13,24.279,NOR,,STL,W 31-13,,0.0,0,0,2,90,45.00,0
30,2010,2010-12-19,14,24.286,NOR,@,BAL,L 24-30,,0.0,0,0,6,253,42.17,0
31,2010,2010-12-27,15,24.294,NOR,@,ATL,W 17-14,,0.0,0,0,7,317,45.29,0
32,2010,2011-01-02,16,24.300,NOR,,TAM,L 13-23,,0.0,0,0,3,113,37.67,0
33,2011,2011-09-08,1,25.184,NOR,@,GNB,L 34-42,,0.0,0,0,2,98,49.00,0
