ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.293,CLE,,MIN,L 20-34,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
2,2009,2009-09-20,2,22.300,CLE,@,DEN,L 6-27,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,2009,2009-09-27,3,22.307,CLE,@,BAL,L 3-34,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
4,2009,2009-10-04,4,22.314,CLE,,CIN,L 20-23,*,13,8,148,18.50,0,61.5%,11.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
5,2009,2009-10-11,5,22.321,CLE,@,BUF,W 6-3,*,6,1,16,16.00,0,16.7%,2.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
6,2009,2009-10-18,6,22.328,CLE,@,PIT,L 14-27,*,10,5,83,16.60,0,50.0%,8.30,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
7,2009,2009-10-25,7,22.335,CLE,,GNB,L 3-31,*,8,1,22,22.00,0,12.5%,2.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
8,2009,2009-11-01,8,22.342,CLE,@,CHI,L 6-30,*,6,2,28,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
9,2009,2009-11-16,9,22.357,CLE,,BAL,L 0-16,*,3,1,30,30.00,0,33.3%,10.00,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
10,2009,2009-11-22,10,22.363,CLE,@,DET,L 37-38,*,12,5,115,23.00,1,41.7%,9.58,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
11,2009,2009-11-29,11,23.005,CLE,@,CIN,L 7-16,*,8,1,12,12.00,0,12.5%,1.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
12,2009,2009-12-06,12,23.012,CLE,,SDG,L 23-30,*,7,2,24,12.00,1,28.6%,3.43,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
13,2009,2009-12-10,13,23.016,CLE,,PIT,W 13-6,*,5,1,37,37.00,0,20.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
14,2009,2009-12-20,14,23.026,CLE,@,KAN,W 41-34,,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
15,2009,2009-12-27,15,23.033,CLE,,OAK,W 23-9,,4,3,61,20.33,1,75.0%,15.25,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
16,2009,2010-01-03,16,23.040,CLE,,JAX,W 23-17,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
17,2010,2010-09-12,1,23.292,CLE,@,TAM,L 14-17,,6,2,46,23.00,1,33.3%,7.67,0,0,,0,0,0,,0,0,0,,0,,,,1,6,0.0,1,0
18,2010,2010-09-19,2,23.299,CLE,,KAN,L 14-16,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
19,2010,2010-09-26,3,23.306,CLE,@,BAL,L 17-24,*,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,
20,2010,2010-10-03,4,23.313,CLE,,CIN,W 23-20,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
21,2010,2010-10-10,5,23.320,CLE,,ATL,L 10-20,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
22,2010,2010-10-17,6,23.327,CLE,@,PIT,L 10-28,*,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,
23,2010,2010-11-07,8,23.348,CLE,,NWE,W 34-14,*,4,4,58,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,1,0
24,2010,2010-11-14,9,23.355,CLE,,NYJ,L 20-26,*,4,2,8,4.00,1,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,1,6,0.0,0,0
25,2010,2010-11-21,10,23.362,CLE,@,JAX,L 20-24,*,9,4,51,12.75,0,44.4%,5.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
26,2010,2010-11-28,11,24.004,CLE,,CAR,W 24-23,*,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
27,2010,2010-12-05,12,24.011,CLE,@,MIA,W 13-10,*,7,4,81,20.25,0,57.1%,11.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
28,2010,2010-12-12,13,24.018,CLE,@,BUF,L 6-13,*,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,1,0
29,2010,2010-12-19,14,24.025,CLE,@,CIN,L 17-19,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
30,2010,2010-12-26,15,24.032,CLE,,BAL,L 10-20,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,1,1,100.00,29,1,0,158.3,0,0,29.00,49.00,0,0,0.0,1,0
31,2010,2011-01-02,16,24.039,CLE,,PIT,L 9-41,*,7,3,50,16.67,0,42.9%,7.14,1,-3,-3.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
32,2011,2011-09-11,1,24.291,CLE,,CIN,L 17-27,*,7,3,77,25.67,0,42.9%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
33,2011,2011-09-18,2,24.298,CLE,@,IND,W 27-19,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
34,2011,2011-09-25,3,24.305,CLE,,MIA,W 17-16,*,6,2,26,13.00,1,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
35,2011,2011-10-02,4,24.312,CLE,,TEN,L 13-31,*,9,6,46,7.67,0,66.7%,5.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
36,2011,2011-10-16,5,24.326,CLE,@,OAK,L 17-24,*,7,3,30,10.00,1,42.9%,4.29,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
37,2011,2011-10-23,6,24.333,CLE,,SEA,W 6-3,*,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
38,2011,2011-11-06,8,24.347,CLE,@,HOU,L 12-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
39,2011,2011-11-20,10,24.361,CLE,,JAX,W 14-10,*,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
40,2011,2011-11-27,11,25.003,CLE,@,CIN,L 20-23,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
41,2011,2011-12-04,12,25.010,CLE,,BAL,L 10-24,*,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
42,2011,2011-12-08,13,25.014,CLE,@,PIT,L 3-14,*,7,3,44,14.67,0,42.9%,6.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
43,2011,2011-12-18,14,25.024,CLE,@,ARI,L 17-20,*,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
44,2011,2011-12-24,15,25.030,CLE,@,BAL,L 14-20,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
45,2011,2012-01-01,16,25.038,CLE,,PIT,L 9-13,*,9,2,16,8.00,0,22.2%,1.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
46,2012,2012-09-09,1,25.290,CLE,,PHI,L 16-17,*,8,3,41,13.67,0,37.5%,5.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
47,2012,2012-09-16,2,25.297,CLE,@,CIN,L 27-34,*,7,5,90,18.00,0,71.4%,12.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
48,2012,2012-09-23,3,25.304,CLE,,BUF,L 14-24,*,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
49,2012,2012-11-04,9,25.346,CLE,,BAL,L 15-25,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
50,2012,2012-11-18,10,25.360,CLE,@,DAL,L 20-23,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
51,2012,2012-11-25,11,26.001,CLE,,PIT,W 20-14,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
52,2012,2012-12-02,12,26.008,CLE,@,OAK,W 20-17,*,2,2,60,30.00,0,100.0%,30.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
53,2012,2012-12-09,13,26.015,CLE,,KAN,W 30-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
54,2012,2012-12-16,14,26.022,CLE,,WAS,L 21-38,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
