ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,23.172,CLE,,HOU,W 31-0,,,,,,,,,,,
2,1971,1971-09-26,2,23.179,CLE,@,BAL,W 14-13,,,,,,,,,,,
3,1971,1971-10-04,3,23.187,CLE,,OAK,L 20-34,,,,,,,,,,,
4,1971,1971-10-10,4,23.193,CLE,,PIT,W 27-17,,,,,,,,,,,
5,1971,1971-10-17,5,23.200,CLE,@,CIN,W 27-24,,,,,,,,,,,
6,1971,1971-10-24,6,23.207,CLE,,DEN,L 0-27,,,,,,,,,,,
7,1971,1971-10-31,7,23.214,CLE,,ATL,L 14-31,,,,,,,,,,,
8,1971,1971-11-07,8,23.221,CLE,@,PIT,L 9-26,,,,,,,,,,,
9,1971,1971-11-14,9,23.228,CLE,@,KAN,L 7-13,,,,,,,,,,,
10,1971,1971-11-21,10,23.235,CLE,,NWE,W 27-7,,,,,,,,,,,
11,1971,1971-11-28,11,23.242,CLE,@,HOU,W 37-24,,,,,,,,,,,
12,1971,1971-12-05,12,23.249,CLE,,CIN,W 31-27,,,,,,,,,,,
13,1971,1971-12-12,13,23.256,CLE,@,NOR,W 21-17,,,,,,,,,,,
14,1971,1971-12-19,14,23.263,CLE,@,WAS,W 20-13,,,,,,,,,,,
15,1972,1972-09-17,1,24.170,CLE,,GNB,L 10-26,,,,,,,,,,,
16,1972,1972-09-24,2,24.177,CLE,@,PHI,W 27-17,,,,,,,,,,,
17,1972,1972-10-01,3,24.184,CLE,,CIN,W 27-6,,,,,,,,,,,
18,1972,1972-10-08,4,24.191,CLE,,KAN,L 7-31,,,,,,,,,,,
19,1972,1972-10-15,5,24.198,CLE,,CHI,L 0-17,,,,,,,,,,,
20,1972,1972-10-22,6,24.205,CLE,@,HOU,W 23-17,,,,,,,,,,,
21,1972,1972-10-29,7,24.212,CLE,@,DEN,W 27-20,,,,,,,,,,,
22,1972,1972-11-05,8,24.219,CLE,,HOU,W 20-0,,,,,,,,,,,
23,1972,1972-11-13,9,24.227,CLE,@,SDG,W 21-17,,,,,,,,,,,
24,1972,1972-11-19,10,24.233,CLE,,PIT,W 26-24,,,,,,,,,,,
25,1972,1972-11-26,11,24.240,CLE,,BUF,W 27-10,,,,,,,,,,,
26,1972,1972-12-03,12,24.247,CLE,@,PIT,L 0-30,,,,,,,,,,,
27,1972,1972-12-09,13,24.253,CLE,@,CIN,W 27-24,,,,,,,,,,,
28,1972,1972-12-17,14,24.261,CLE,@,NYJ,W 26-10,,,,,,,,,,,
29,1973,1973-09-16,1,25.169,CLE,,BAL,W 24-14,,,,,,,,,,,
30,1973,1973-09-23,2,25.176,CLE,@,PIT,L 6-33,,,,,,,,,,,
31,1973,1973-09-30,3,25.183,CLE,,NYG,W 12-10,,,,,,,,,,,
32,1973,1973-10-07,4,25.190,CLE,,CIN,W 17-10,,,,,,,,,,,
33,1973,1973-10-15,5,25.198,CLE,,MIA,L 9-17,,,,,,,,,,,
34,1973,1973-10-21,6,25.204,CLE,,HOU,W 42-13,,,,,,,,,,,
35,1973,1973-10-28,7,25.211,CLE,,SDG,T 16-16,,,,,,,,,,,
36,1973,1973-11-04,8,25.218,CLE,@,MIN,L 3-26,,,,,,,,,,,
37,1973,1973-11-11,9,25.225,CLE,@,HOU,W 23-13,,,,,,,,,,,
38,1973,1973-11-18,10,25.232,CLE,@,OAK,W 7-3,,,,,,,,,,,
39,1973,1973-11-25,11,25.239,CLE,,PIT,W 21-16,,,,,,,,,,,
40,1973,1973-12-02,12,25.246,CLE,@,KAN,T 20-20,,,,,,,,,,,
41,1973,1973-12-09,13,25.253,CLE,@,CIN,L 17-34,,,,,,,,,,,
42,1973,1973-12-16,14,25.260,CLE,@,RAM,L 17-30,,,,,,,,,,,
43,1974,1974-09-15,1,26.168,CLE,@,CIN,L 7-33,,,,,,,,,,,
44,1974,1974-09-22,2,26.175,GNB,@,BAL,W 20-13,0,0,,0,0,0,,0,1,19,0
45,1974,1974-09-22,2,26.175,CLE,,HOU,W 20-7,,,,,,,,,,,
46,1974,1974-09-29,3,26.182,CLE,@,STL,L 7-29,,,,,,,,,,,
47,1974,1974-10-06,4,26.189,CLE,,OAK,L 24-40,,,,,,,,,,,
48,1974,1974-10-13,5,26.196,CLE,,CIN,L 24-34,,,,,,,,,,,
49,1974,1974-10-20,6,26.203,CLE,@,PIT,L 16-20,,,,,,,,,,,
50,1974,1974-10-27,7,26.210,CLE,,DEN,W 23-21,,,,,,,,,,,
51,1974,1974-11-03,8,26.217,CLE,@,SDG,L 35-36,,,,,,,,,,,
52,1974,1974-11-10,9,26.224,CLE,@,NWE,W 21-14,,,,,,,,,,,
53,1974,1974-11-17,10,26.231,CLE,,PIT,L 16-26,,,,,,,,,,,
54,1974,1974-11-24,11,26.238,CLE,,BUF,L 10-15,,,,,,,,,,,
55,1974,1974-12-01,12,26.245,GNB,@,PHI,L 14-36,0,0,,0,0,0,,0,1,3,0
56,1974,1974-12-01,12,26.245,CLE,,SFO,W 7-0,,,,,,,,,,,
57,1974,1974-12-07,13,26.251,CLE,@,DAL,L 17-41,,,,,,,,,,,
58,1974,1974-12-15,14,26.259,CLE,@,HOU,L 24-28,,,,,,,,,,,
59,1975,1975-09-21,1,27.174,CLE,@,CIN,L 17-24,,,,,,,,,,,
60,1975,1975-09-28,2,27.181,CLE,,MIN,L 10-42,,,,,,,,,,,
61,1975,1975-10-05,3,27.188,CLE,,PIT,L 6-42,,,,,,,,,,,
62,1975,1975-10-12,4,27.195,CLE,,HOU,L 10-40,,,,,,,,,,,
63,1975,1975-10-19,5,27.202,CLE,@,DEN,L 15-16,,,,,,,,,,,
64,1975,1975-10-26,6,27.209,CLE,,WAS,L 7-23,,,,,,,,,,,
65,1975,1975-11-02,7,27.216,CLE,@,BAL,L 7-21,,,,,,,,,,,
66,1975,1975-11-09,8,27.223,CLE,@,DET,L 10-21,,,,,,,,,,,
67,1975,1975-11-16,9,27.230,CLE,@,OAK,L 17-38,,,,,,,,,,,
68,1975,1975-11-23,10,27.237,CLE,,CIN,W 35-23,,,,,,,,,,,
69,1975,1975-11-30,11,27.244,CLE,,NOR,W 17-16,,,,,,,,,,,
70,1975,1975-12-07,12,27.251,CLE,@,PIT,L 17-31,,,,,,,,,,,
71,1975,1975-12-14,13,27.258,CLE,,KAN,W 40-14,,,,,,,,,,,
72,1975,1975-12-21,14,27.265,CLE,@,HOU,L 10-21,,,,,,,,,,,
73,1975,1975-12-21,14,27.265,GNB,,ATL,W 22-13,0,0,,0,1,0,0.00,0,0,0,0
74,1976,1976-09-12,1,28.165,CLE,,NYJ,W 38-17,,,,,,,,,,,
75,1976,1976-09-19,2,28.172,CLE,@,PIT,L 14-31,,,,,,,,,,,
76,1976,1976-09-26,3,28.179,CLE,@,DEN,L 13-44,,,,,,,,,,,
77,1976,1976-10-03,4,28.186,CLE,,CIN,L 24-45,,,,,,,,,,,
78,1976,1976-10-10,5,28.193,CLE,,PIT,W 18-16,,,,,,,,,,,
79,1976,1976-10-17,6,28.200,CLE,@,ATL,W 20-17,,,,,,,,,,,
80,1976,1976-10-24,7,28.207,CLE,,SDG,W 21-17,,,,,,,,,,,
81,1976,1976-10-31,8,28.214,CLE,@,CIN,L 6-21,,,,,,,,,,,
82,1976,1976-11-07,9,28.221,CLE,@,HOU,W 21-7,,,,,,,,,,,
83,1976,1976-11-14,10,28.228,CLE,,PHI,W 24-3,,,,,,,,,,,
84,1976,1976-11-21,11,28.235,GNB,,MIN,L 10-17,1,18,18.00,0,0,0,,0,0,0,0
85,1976,1976-11-21,11,28.235,CLE,@,TAM,W 24-7,,,,,,,,,,,
86,1976,1976-11-28,12,28.242,CLE,,MIA,W 17-13,,,,,,,,,,,
87,1976,1976-12-05,13,28.249,CLE,,HOU,W 13-10,,,,,,,,,,,
88,1976,1976-12-12,14,28.256,CLE,@,KAN,L 14-39,,,,,,,,,,,
