ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2005,2005-11-13,9,23.248,GNB,@,ATL,W 33-25,,,,,,
2,2005,2005-11-21,10,23.256,GNB,,MIN,L 17-20,,,,,,
3,2005,2005-12-25,15,23.290,GNB,,CHI,L 17-24,,,,,,
4,2005,2006-01-01,16,23.297,GNB,,SEA,W 23-17,,,,,,
5,2006,2006-10-08,5,24.212,GNB,,STL,L 20-23,,,,,,
6,2006,2006-10-22,6,24.226,GNB,@,MIA,W 34-24,,,,,,
7,2006,2006-10-29,7,24.233,GNB,,ARI,W 31-14,,,,,,
8,2006,2006-11-05,8,24.240,GNB,@,BUF,L 10-24,,,,,,
9,2006,2006-11-12,9,24.247,GNB,@,MIN,W 23-17,,0,0,1,0,0
10,2006,2006-11-19,10,24.254,GNB,,NWE,L 0-35,*,,,,,
11,2006,2006-11-27,11,24.262,GNB,@,SEA,L 24-34,*,,,,,
12,2006,2006-12-03,12,24.268,GNB,,NYJ,L 10-38,*,0,0,1,7,0
13,2006,2006-12-10,13,24.275,GNB,@,SFO,W 30-19,,,,,,
14,2006,2006-12-17,14,24.282,GNB,,DET,W 17-9,,,,,,
15,2006,2006-12-21,15,24.286,GNB,,MIN,W 9-7,,,,,,
16,2006,2006-12-31,16,24.296,GNB,@,CHI,W 26-7,,1,6,1,30,1
17,2007,2007-11-04,8,25.239,CAR,@,TEN,L 7-20,,,,,,
18,2007,2007-11-11,9,25.246,CAR,,ATL,L 13-20,,,,,,
19,2007,2007-11-18,10,25.253,CAR,@,GNB,L 17-31,,,,,,
20,2007,2007-11-25,11,25.260,CAR,,NOR,L 6-31,,,,,,
21,2007,2007-12-02,12,25.267,CAR,,SFO,W 31-14,,,,,,
22,2007,2007-12-09,13,25.274,CAR,@,JAX,L 6-37,,,,,,
23,2007,2007-12-16,14,25.281,CAR,,SEA,W 13-10,*,,,,,
