ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-09-03,1,21.157,BAL,@,PIT,W 16-0,,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,0,0
2,2000,2000-09-10,2,21.164,BAL,,JAX,W 39-36,*,6,4,80,20.00,2,66.7%,13.33,0,0,,0,0,0,,0,2,12
3,2000,2000-09-17,3,21.171,BAL,@,MIA,L 6-19,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
4,2000,2000-09-24,4,21.178,BAL,,CIN,W 37-0,*,8,4,32,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,1,6
5,2000,2000-10-01,5,21.185,BAL,@,CLE,W 12-0,*,7,5,39,7.80,0,71.4%,5.57,1,12,12.00,0,0,0,,0,0,0
6,2000,2000-10-08,6,21.192,BAL,@,JAX,W 15-10,*,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0
7,2000,2000-10-15,7,21.199,BAL,@,WAS,L 3-10,,7,2,10,5.00,0,28.6%,1.43,1,-1,-1.00,0,0,0,,0,0,0
8,2000,2000-10-22,8,21.206,BAL,,TEN,L 6-14,*,8,3,25,8.33,0,37.5%,3.13,0,0,,0,0,0,,0,0,0
9,2000,2000-10-29,9,21.213,BAL,,PIT,L 6-9,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,0
10,2001,2001-09-09,1,22.163,BAL,,CHI,W 17-6,,,,,,,0.0%,,,,,,,,,,,
11,2001,2001-09-23,2,22.177,BAL,@,CIN,L 10-21,,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,,0,0,0
12,2001,2001-09-30,3,22.184,BAL,@,DEN,W 20-13,,8,4,90,22.50,1,50.0%,11.25,0,0,,0,0,0,,0,1,6
13,2001,2001-10-07,4,22.191,BAL,,TEN,W 26-7,*,10,5,80,16.00,0,50.0%,8.00,1,14,14.00,0,0,0,,0,0,0
14,2001,2001-10-14,5,22.198,BAL,@,GNB,L 23-31,*,5,3,50,16.67,1,60.0%,10.00,0,0,,0,0,0,,0,1,6
15,2001,2001-10-21,6,22.205,BAL,@,CLE,L 14-24,*,1,,,,,0.0%,,,,,,,,,,,
16,2001,2001-10-28,7,22.212,BAL,,JAX,W 18-17,*,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,0
17,2001,2001-11-04,8,22.219,BAL,@,PIT,W 13-10,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0
18,2001,2001-11-12,9,22.227,BAL,@,TEN,W 16-10,*,4,2,16,8.00,0,50.0%,4.00,1,8,8.00,0,0,0,,0,0,0
19,2001,2001-11-18,10,22.233,BAL,,CLE,L 17-27,*,14,5,48,9.60,0,35.7%,3.43,0,0,,0,0,0,,0,0,0
20,2001,2001-11-25,11,22.240,BAL,@,JAX,W 24-21,*,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,0
21,2001,2001-12-02,12,22.247,BAL,,IND,W 39-27,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0
22,2001,2001-12-16,13,22.261,BAL,,PIT,L 21-26,*,5,1,8,8.00,0,20.0%,1.60,1,16,16.00,0,0,0,,0,0,0
23,2001,2001-12-23,14,22.268,BAL,,CIN,W 16-0,*,5,4,66,16.50,0,80.0%,13.20,1,9,9.00,0,0,0,,0,0,0
24,2001,2001-12-29,15,22.274,BAL,@,TAM,L 10-22,*,8,4,51,12.75,1,50.0%,6.38,0,0,,0,0,0,,0,1,6
25,2001,2002-01-07,16,22.283,BAL,,MIN,W 19-3,*,6,1,11,11.00,0,16.7%,1.83,1,-1,-1.00,0,0,0,,0,0,0
26,2002,2002-09-08,1,23.162,BAL,@,CAR,L 7-10,*,6,2,53,26.50,0,33.3%,8.83,0,0,,0,0,0,,0,0,0
27,2002,2002-09-15,2,23.169,BAL,,TAM,L 0-25,,7,2,18,9.00,0,28.6%,2.57,0,0,,0,0,0,,0,0,0
28,2002,2002-09-30,3,23.184,BAL,,DEN,W 34-23,*,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,0,0
29,2002,2002-10-06,4,23.190,BAL,@,CLE,W 26-21,*,8,4,41,10.25,0,50.0%,5.13,2,-4,-2.00,0,0,0,,0,0,0
30,2002,2002-10-13,5,23.197,BAL,@,IND,L 20-22,*,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,0
31,2002,2002-10-20,6,23.204,BAL,,JAX,W 17-10,*,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0
32,2002,2002-10-27,7,23.211,BAL,,PIT,L 18-31,*,13,7,82,11.71,0,53.8%,6.31,0,0,,0,0,0,,0,0,0
33,2002,2002-11-03,8,23.218,BAL,@,ATL,L 17-20,*,6,4,127,31.75,1,66.7%,21.17,1,39,39.00,0,0,0,,0,1,6
34,2002,2002-11-10,9,23.225,BAL,,CIN,W 38-27,*,7,7,52,7.43,1,100.0%,7.43,1,5,5.00,0,0,0,,0,1,6
35,2002,2002-11-17,10,23.232,BAL,@,MIA,L 7-26,*,10,4,48,12.00,1,40.0%,4.80,0,0,,0,0,0,,0,1,6
36,2002,2002-11-24,11,23.239,BAL,,TEN,W 13-12,*,6,1,2,2.00,0,16.7%,0.33,1,6,6.00,0,0,0,,0,0,0
37,2002,2002-12-01,12,23.246,BAL,@,CIN,W 27-23,*,8,3,59,19.67,1,37.5%,7.38,1,-5,-5.00,0,0,0,,0,1,6
38,2002,2002-12-08,13,23.253,BAL,,NOR,L 25-37,*,10,5,83,16.60,0,50.0%,8.30,2,44,22.00,0,0,0,,0,0,0
39,2002,2002-12-15,14,23.260,BAL,@,HOU,W 23-19,*,7,5,96,19.20,1,71.4%,13.71,0,0,,0,0,0,,0,1,6
40,2002,2002-12-22,15,23.267,BAL,,CLE,L 13-14,*,6,3,39,13.00,1,50.0%,6.50,3,20,6.67,0,0,0,,0,1,6
41,2002,2002-12-29,16,23.274,BAL,@,PIT,L 31-34,*,6,5,62,12.40,0,83.3%,10.33,0,0,,0,0,0,,0,0,0
42,2003,2003-09-07,1,24.161,BAL,@,PIT,L 15-34,*,10,5,33,6.60,1,50.0%,3.30,0,0,,0,0,0,,0,1,6
43,2003,2003-09-14,2,24.168,BAL,,CLE,W 33-13,*,2,2,27,13.50,0,100.0%,13.50,1,1,1.00,0,0,0,,0,0,0
44,2003,2003-09-21,3,24.175,BAL,@,SDG,W 24-10,*,3,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,,0,0,0
45,2003,2003-09-28,4,24.182,BAL,,KAN,L 10-17,*,5,4,30,7.50,0,80.0%,6.00,1,16,16.00,0,0,0,,0,0,0
46,2003,2003-10-12,5,24.196,BAL,@,ARI,W 26-18,*,7,2,17,8.50,0,28.6%,2.43,3,29,9.67,0,0,0,,0,0,0
47,2003,2003-10-19,6,24.203,BAL,@,CIN,L 26-34,*,6,4,138,34.50,2,66.7%,23.00,1,1,1.00,0,0,0,,0,2,12
48,2003,2003-10-26,7,24.210,BAL,,DEN,W 26-6,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0
49,2003,2003-11-02,8,24.217,BAL,,JAX,W 24-17,*,6,3,64,21.33,0,50.0%,10.67,1,-2,-2.00,0,0,0,,0,0,0
50,2003,2003-11-09,9,24.224,BAL,@,STL,L 22-33,*,9,2,65,32.50,0,22.2%,7.22,1,1,1.00,0,0,0,,0,0,0
51,2003,2003-11-16,10,24.231,BAL,@,MIA,L 6-9,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0
52,2003,2003-11-23,11,24.238,BAL,,SEA,W 44-41,*,7,3,57,19.00,0,42.9%,8.14,0,0,,0,0,0,,0,0,0
53,2003,2003-11-30,12,24.245,BAL,,SFO,W 44-6,*,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0
54,2003,2003-12-07,13,24.252,BAL,,CIN,W 31-13,*,4,2,77,38.50,0,50.0%,19.25,1,8,8.00,0,0,0,,0,0,0
55,2003,2003-12-14,14,24.259,BAL,@,OAK,L 12-20,*,10,3,62,20.67,0,30.0%,6.20,0,0,,0,0,0,,0,0,0
56,2003,2003-12-21,15,24.266,BAL,@,CLE,W 35-0,*,5,1,4,4.00,0,20.0%,0.80,1,3,3.00,0,0,0,,0,0,0
57,2003,2003-12-28,16,24.273,BAL,,PIT,W 13-10,*,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0
58,2004,2004-09-12,1,25.166,BAL,@,CLE,L 3-20,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,,0,0,0
59,2004,2004-10-24,6,25.208,BAL,,BUF,W 20-6,*,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,,0,0,0
60,2004,2004-10-31,7,25.215,BAL,@,PHI,L 10-15,*,12,6,80,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0
61,2004,2004-11-07,8,25.222,BAL,,CLE,W 27-13,*,10,7,58,8.29,0,70.0%,5.80,0,0,,0,0,0,,0,0,0
62,2004,2004-11-14,9,25.229,BAL,@,NYJ,W 20-17,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0
63,2004,2004-11-21,10,25.236,BAL,,DAL,W 30-10,*,11,6,68,11.33,0,54.5%,6.18,0,0,,0,0,0,,0,0,0
64,2004,2004-11-28,11,25.243,BAL,@,NWE,L 3-24,*,11,1,4,4.00,0,9.1%,0.36,0,0,,0,0,0,,0,0,0
65,2004,2004-12-05,12,25.250,BAL,,CIN,L 26-27,*,6,2,40,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0
66,2004,2004-12-12,13,25.257,BAL,,NYG,W 37-14,*,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0
67,2004,2004-12-19,14,25.264,BAL,@,IND,L 10-20,,10,2,39,19.50,0,20.0%,3.90,0,0,,0,0,0,,0,0,0
68,2005,2005-09-11,1,26.165,MIN,,TAM,L 13-24,*,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,0
69,2005,2005-09-18,2,26.172,MIN,@,CIN,L 8-37,*,12,7,75,10.71,0,58.3%,6.25,0,0,,0,0,0,,0,0,0
70,2005,2005-09-25,3,26.179,MIN,,NOR,W 33-16,*,6,3,40,13.33,2,50.0%,6.67,0,0,,0,0,0,,0,2,12
71,2005,2005-10-02,4,26.186,MIN,@,ATL,L 10-30,,8,5,62,12.40,0,62.5%,7.75,0,0,,0,0,0,,0,0,0
72,2005,2005-10-16,5,26.200,MIN,@,CHI,L 3-28,*,4,2,37,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,0,0
73,2005,2005-10-23,6,26.207,MIN,,GNB,W 23-20,*,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0
74,2005,2005-10-30,7,26.214,MIN,@,CAR,L 13-38,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0
75,2005,2005-11-06,8,26.221,MIN,,DET,W 27-14,*,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,0,0
76,2005,2005-11-13,9,26.228,MIN,@,NYG,W 24-21,,6,1,11,11.00,0,16.7%,1.83,0,0,,0,0,0,,0,0,0
77,2005,2005-11-21,10,26.236,MIN,@,GNB,W 20-17,*,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0
78,2005,2005-11-27,11,26.242,MIN,,CLE,W 24-12,*,7,5,70,14.00,0,71.4%,10.00,1,5,5.00,0,0,0,,0,0,0
79,2005,2005-12-04,12,26.249,MIN,@,DET,W 21-16,*,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0
80,2005,2005-12-11,13,26.256,MIN,,STL,W 27-13,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
81,2005,2005-12-18,14,26.263,MIN,,PIT,L 3-18,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,1,0,0.00,0,0,0
82,2005,2005-12-25,15,26.270,MIN,@,BAL,L 23-30,,7,3,40,13.33,1,42.9%,5.71,1,-2,-2.00,0,0,0,,0,1,6
83,2005,2006-01-01,16,26.277,MIN,,CHI,W 34-10,*,9,5,68,13.60,1,55.6%,7.56,0,0,,0,0,0,,0,1,6
84,2006,2006-09-11,1,27.165,MIN,@,WAS,W 19-16,*,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0
85,2006,2006-09-17,2,27.171,MIN,,CAR,W 16-13,*,6,3,65,21.67,0,50.0%,10.83,0,0,,0,0,0,,0,0,0
86,2006,2006-09-24,3,27.178,MIN,,CHI,L 16-19,*,8,6,82,13.67,0,75.0%,10.25,0,0,,0,0,0,,0,0,0
87,2006,2006-10-01,4,27.185,MIN,@,BUF,L 12-17,*,8,4,28,7.00,0,50.0%,3.50,1,5,5.00,0,0,0,,0,0,0
88,2006,2006-10-08,5,27.192,MIN,,DET,W 26-17,*,8,4,44,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,1,6
89,2006,2006-10-22,6,27.206,MIN,@,SEA,W 31-13,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0
90,2006,2006-10-30,7,27.214,MIN,,NWE,L 7-31,*,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0
91,2006,2006-11-05,8,27.220,MIN,@,SFO,L 3-9,*,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,0,0
92,2006,2006-11-12,9,27.227,MIN,,GNB,L 17-23,*,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0
93,2006,2006-11-19,10,27.234,MIN,@,MIA,L 20-24,*,8,8,67,8.38,0,100.0%,8.38,0,0,,0,0,0,,0,0,0
94,2006,2006-11-26,11,27.241,MIN,,ARI,W 31-26,*,6,5,56,11.20,0,83.3%,9.33,0,0,,0,0,0,,0,0,0
95,2006,2006-12-03,12,27.248,MIN,@,CHI,L 13-23,*,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0
96,2006,2006-12-10,13,27.255,MIN,@,DET,W 30-20,*,3,1,30,30.00,0,33.3%,10.00,0,0,,0,0,0,,0,0,0
97,2006,2006-12-17,14,27.262,MIN,,NYJ,L 13-26,*,7,6,81,13.50,1,85.7%,11.57,0,0,,0,0,0,,0,1,6
98,2006,2006-12-21,15,27.266,MIN,@,GNB,L 7-9,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0
99,2006,2006-12-31,16,27.276,MIN,,STL,L 21-41,*,6,5,54,10.80,1,83.3%,9.00,0,0,,0,0,0,,0,1,6
100,2007,2007-09-16,2,28.170,OAK,@,DEN,L 20-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
101,2007,2007-10-21,7,28.205,STL,@,SEA,L 6-33,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0
