ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,25.265,WAS,,ARI,W 31-23,,,,,,,
2,2002,2002-09-16,2,25.273,WAS,,PHI,L 7-37,,,,,,,
3,2002,2002-09-22,3,25.279,WAS,@,SFO,L 10-20,,,,,,,
4,2002,2002-10-06,4,25.293,WAS,@,TEN,W 31-14,,,,,,,
5,2002,2002-10-13,5,25.300,WAS,,NOR,L 27-43,,,,,,,
6,2002,2002-10-20,6,25.307,WAS,@,GNB,L 9-30,,,,,,,
7,2002,2002-10-27,7,25.314,WAS,,IND,W 26-21,,,,,,,
8,2002,2002-11-03,8,25.321,WAS,@,SEA,W 14-3,,,,,,,
9,2002,2002-11-10,9,25.328,WAS,@,JAX,L 7-26,,,,,,,
10,2002,2002-11-17,10,25.335,WAS,@,NYG,L 17-19,,,,,,,
11,2002,2002-11-24,11,25.342,WAS,,STL,W 20-17,,,,,,,
12,2002,2002-11-28,12,25.346,WAS,@,DAL,L 20-27,,,,,,,
13,2002,2002-12-08,13,25.356,WAS,,NYG,L 21-27,,,,,,,
14,2002,2002-12-15,14,25.363,WAS,@,PHI,L 21-34,,,,,,,
15,2002,2002-12-22,15,26.005,WAS,,HOU,W 26-10,,,,,,,
16,2002,2002-12-29,16,26.012,WAS,,DAL,W 20-14,,,,,,,
17,2003,2003-09-21,3,26.278,WAS,,NYG,L 21-24,,,,,,,
18,2003,2003-10-12,6,26.299,WAS,,TAM,L 13-35,,,,,,,
19,2003,2003-10-19,7,26.306,WAS,@,BUF,L 7-24,,,,,,,
20,2003,2003-11-02,8,26.320,WAS,@,DAL,L 14-21,,,,,,,
21,2003,2003-11-09,9,26.327,WAS,,SEA,W 27-20,,,,,,,
22,2003,2003-11-16,10,26.334,WAS,@,CAR,L 17-20,,,,,,,
23,2003,2003-11-23,11,26.341,WAS,@,MIA,L 23-24,,,,,,,
24,2003,2003-11-30,12,26.348,WAS,,NOR,L 20-24,,,,,,,
25,2003,2003-12-07,13,26.355,WAS,@,NYG,W 20-7,,0,0,0.5,0,0,0
26,2003,2003-12-14,14,26.362,WAS,,DAL,L 0-27,,,,,,,
27,2003,2003-12-21,15,27.004,WAS,@,CHI,L 24-27,,,,,,,
28,2003,2003-12-27,16,27.010,WAS,,PHI,L 7-31,,,,,,,
29,2004,2004-09-12,1,27.270,WAS,,TAM,W 16-10,,,,,,,
30,2004,2004-09-19,2,27.277,WAS,@,NYG,L 14-20,,,,,,,
31,2004,2004-09-27,3,27.285,WAS,,DAL,L 18-21,*,,,,,,
32,2004,2004-10-03,4,27.291,WAS,@,CLE,L 13-17,*,,,,,,
33,2004,2004-10-10,5,27.298,WAS,,BAL,L 10-17,*,,,,,,
34,2004,2004-10-17,6,27.305,WAS,@,CHI,W 13-10,*,,,,,,
35,2004,2004-10-31,7,27.319,WAS,,GNB,L 14-28,*,,,,,,
36,2004,2004-11-07,8,27.326,WAS,@,DET,W 17-10,*,,,,,,
37,2004,2004-11-14,9,27.333,WAS,,CIN,L 10-17,*,,,,,,
38,2004,2004-11-21,10,27.340,WAS,@,PHI,L 6-28,*,,,,,,
39,2004,2004-11-28,11,27.347,WAS,@,PIT,L 7-16,*,0,0,1.0,0,0,0
40,2004,2004-12-05,12,27.354,WAS,,NYG,W 31-7,*,,,,,,
41,2004,2004-12-12,13,27.361,WAS,,PHI,L 14-17,*,,,,,,
42,2004,2004-12-18,14,28.001,WAS,@,SFO,W 26-16,*,,,,,,
43,2004,2004-12-26,15,28.009,WAS,@,DAL,L 10-13,*,,,,,,
44,2004,2005-01-02,16,28.016,WAS,,MIN,W 21-18,*,0,0,0.5,0,0,0
45,2005,2005-09-11,1,28.268,WAS,,CHI,W 9-7,*,0,0,0.0,1,7,0
46,2005,2005-09-19,2,28.276,WAS,@,DAL,W 14-13,*,,,,,,
47,2005,2005-10-02,3,28.289,WAS,,SEA,W 20-17,*,0,0,1.0,0,0,0
