ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
16,2014,2014-12-28,16,23.046,KAN,,SDG,W 19-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,5,80.0,0,13,0.0,0,0
17,2015,2015-09-13,1,23.305,KAN,@,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9,0.0,0,0
18,2015,2015-09-17,2,23.309,KAN,,DEN,L 24-31,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
19,2015,2015-09-28,3,23.320,KAN,@,GNB,L 28-38,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0
20,2015,2015-10-04,4,23.326,KAN,@,CIN,L 21-36,,0,0,,0,0,0,,0,0,,,,,,7,7,100.0,0,21,0.0,0,0
21,2015,2015-10-11,5,23.333,KAN,,CHI,L 17-18,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,0.0,0,0
22,2015,2015-10-18,6,23.340,KAN,@,MIN,L 10-16,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
23,2015,2015-10-25,7,23.347,KAN,,PIT,W 23-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,0.0,0,0
24,2015,2015-11-01,8,23.354,KAN,,DET,W 45-10,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9,0.0,0,0
25,2015,2015-11-15,9,24.003,KAN,@,DEN,W 29-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,5,6,83.3,0,17,0.0,0,0
26,2015,2015-11-22,10,24.010,KAN,@,SDG,W 33-3,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,2,100.0,0,9,0.0,0,0
27,2015,2015-11-29,11,24.017,KAN,,BUF,W 30-22,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
28,2015,2015-12-06,12,24.024,KAN,@,OAK,W 34-20,,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,0.0,0,0
29,2015,2015-12-13,13,24.031,KAN,,SDG,W 10-3,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0
30,2015,2015-12-20,14,24.038,KAN,@,BAL,W 34-14,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
31,2015,2015-12-27,15,24.045,KAN,,CLE,W 17-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
32,2015,2016-01-03,16,24.052,KAN,,OAK,W 23-17,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,3,3,100.0,,,,0,3,0.0,0,0
33,2016,2016-09-11,1,24.304,KAN,,SDG,W 33-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
34,2016,2016-09-18,2,24.311,KAN,@,HOU,L 12-19,,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0
35,2016,2016-09-25,3,24.318,KAN,,NYJ,W 24-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
36,2016,2016-10-02,4,24.325,KAN,@,PIT,L 14-43,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0.0,0,0
37,2016,2016-10-16,5,24.339,KAN,@,OAK,W 26-10,,0,0,,0,0,0,,0,0,,,2,3,66.7,2,3,66.7,0,8,0.0,0,0
38,2016,2016-10-23,6,24.346,KAN,,NOR,W 27-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
39,2016,2016-10-30,7,24.353,KAN,@,IND,W 30-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
40,2016,2016-11-06,8,24.360,KAN,,JAX,W 19-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
41,2016,2016-11-13,9,25.001,KAN,@,CAR,W 20-17,,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0
42,2016,2016-11-20,10,25.008,KAN,,TAM,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
43,2016,2016-11-27,11,25.015,KAN,@,DEN,W 30-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
44,2016,2016-12-04,12,25.022,KAN,@,ATL,W 29-28,,0,0,,0,0,0,,0,0,,,3,4,75.0,,,,0,3,0.0,0,0
45,2016,2016-12-08,13,25.026,KAN,,OAK,W 21-13,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0
46,2016,2016-12-18,14,25.036,KAN,,TEN,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
47,2016,2016-12-25,15,25.043,KAN,,DEN,W 33-10,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,3,66.7,0,9,0.0,0,0
48,2016,2017-01-01,16,25.050,KAN,@,SDG,W 37-27,,0,0,,0,0,0,,0,0,,,4,4,100.0,3,3,100.0,0,13,0.0,0,0
49,2017,2017-09-07,1,25.299,KAN,@,NWE,W 42-27,,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,0.0,0,0
50,2017,2017-09-17,2,25.309,KAN,,PHI,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
51,2017,2017-09-24,3,25.316,KAN,@,LAC,W 24-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
52,2017,2017-11-26,11,26.014,CHI,@,PHI,L 3-31,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0
53,2017,2017-12-03,12,26.021,CHI,,SFO,L 14-15,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0
