ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-12-15,14,23.094,GNB,@,SFO,W 20-14,,3,60,20.00,0,2,4,2.00,0
2,2002,2002-12-22,15,23.101,GNB,,BUF,W 10-0,,1,9,9.00,0,3,8,2.67,0
3,2003,2003-09-07,1,23.360,HOU,@,MIA,W 21-20,,3,51,17.00,0,4,12,3.00,0
4,2003,2003-09-14,2,24.002,HOU,@,NOR,L 10-31,,2,88,44.00,0,5,32,6.40,0
5,2003,2003-09-21,3,24.009,HOU,,KAN,L 14-42,,7,164,23.43,0,3,9,3.00,0
6,2003,2003-09-28,4,24.016,HOU,,JAX,W 24-20,,4,124,31.00,0,2,49,24.50,0
7,2003,2003-10-12,5,24.030,HOU,@,TEN,L 17-38,,3,49,16.33,0,1,4,4.00,0
8,2003,2003-10-19,6,24.037,HOU,,NYJ,L 14-19,,5,134,26.80,0,1,8,8.00,0
9,2003,2003-10-26,7,24.044,HOU,@,IND,L 21-30,,6,112,18.67,0,2,11,5.50,0
10,2003,2003-11-02,8,24.051,HOU,,CAR,W 14-10,,3,58,19.33,0,0,0,,0
11,2003,2003-11-09,9,24.058,HOU,@,CIN,L 27-34,,7,186,26.57,0,2,3,1.50,0
12,2003,2003-11-23,11,24.072,HOU,,NWE,L 20-23,,1,23,23.00,0,1,0,0.00,0
13,2003,2003-11-30,12,24.079,HOU,,ATL,W 17-13,,3,72,24.00,0,3,45,15.00,0
14,2003,2003-12-07,13,24.086,HOU,@,JAX,L 0-27,,3,68,22.67,0,3,3,1.00,0
15,2003,2003-12-14,14,24.093,HOU,@,TAM,L 3-16,,5,99,19.80,0,2,24,12.00,0
16,2003,2003-12-21,15,24.100,HOU,,TEN,L 24-27,,3,68,22.67,0,4,16,4.00,0
17,2003,2003-12-28,16,24.107,HOU,,IND,L 17-20,,3,59,19.67,0,3,28,9.33,0
18,2004,2004-09-12,1,25.000,HOU,,SDG,L 20-27,,6,154,25.67,0,2,25,12.50,0
19,2004,2004-09-19,2,25.007,HOU,@,DET,L 16-28,,4,54,13.50,0,3,15,5.00,0
20,2004,2004-09-26,3,25.014,HOU,@,KAN,W 24-21,,4,102,25.50,0,2,31,15.50,0
21,2004,2004-10-03,4,25.021,HOU,,OAK,W 30-17,,3,62,20.67,0,3,41,13.67,0
22,2004,2004-10-10,5,25.028,HOU,,MIN,L 28-34,,5,123,24.60,0,4,46,11.50,0
23,2004,2004-10-17,6,25.035,HOU,@,TEN,W 20-10,,3,61,20.33,0,4,28,7.00,0
24,2004,2004-10-31,7,25.049,HOU,,JAX,W 20-6,,2,54,27.00,0,2,34,17.00,0
25,2004,2004-11-07,8,25.056,HOU,@,DEN,L 13-31,,3,59,19.67,0,3,-4,-1.33,0
26,2004,2004-11-14,9,25.063,HOU,@,IND,L 14-49,,7,166,23.71,0,2,19,9.50,0
27,2004,2004-11-21,10,25.070,HOU,,GNB,L 13-16,,4,73,18.25,0,3,38,12.67,0
28,2004,2004-11-28,11,25.077,HOU,,TEN,W 31-21,,3,70,23.33,0,1,0,0.00,0
29,2004,2004-12-05,12,25.084,HOU,@,NYJ,L 7-29,,4,87,21.75,0,1,2,2.00,0
30,2004,2004-12-12,13,25.091,HOU,,IND,L 14-23,,3,71,23.67,0,1,9,9.00,0
31,2004,2004-12-19,14,25.098,HOU,@,CHI,W 24-5,,1,19,19.00,0,4,26,6.50,0
32,2004,2005-01-02,16,25.112,HOU,,CLE,L 14-22,,7,148,21.14,0,1,-1,-1.00,0
33,2005,2005-11-06,8,26.055,ARI,,SEA,L 19-33,,7,177,25.29,0,2,11,5.50,0
34,2005,2005-11-13,9,26.062,ARI,@,DET,L 21-29,,0,0,,0,5,29,5.80,0
