ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-09-17,1,23.074,DAL,,PIT,W 27-24,3,7,2.33,0,0,0,0
2,1961,1961-09-24,2,23.081,DAL,,MIN,W 21-7,1,12,12.00,0,1,3,0
3,1961,1961-10-01,3,23.088,DAL,@,CLE,L 7-25,1,0,0.00,0,0,0,0
4,1961,1961-10-08,4,23.095,DAL,@,MIN,W 28-0,1,1,1.00,0,0,0,0
5,1963,1963-09-22,2,25.079,DAL,,CLE,L 24-41,0,0,,0,1,29,0
6,1963,1963-10-20,6,25.107,DAL,@,NYG,L 21-37,0,0,,0,1,0,0
7,1963,1963-11-17,10,25.135,DAL,,PHI,W 27-20,0,0,,0,1,2,0
8,1964,1964-12-13,14,26.161,DAL,,PIT,W 17-14,0,0,,0,1,27,0
9,1965,1965-11-14,9,27.132,DAL,,PIT,W 24-17,0,0,,0,1,0,0
10,1965,1965-11-28,11,27.146,DAL,@,WAS,L 31-34,0,0,,0,1,0,0
11,1965,1965-12-19,14,27.167,DAL,@,NYG,W 38-20,0,0,,0,1,5,0
12,1966,1966-10-02,3,28.089,DAL,@,ATL,W 47-14,0,0,,0,1,0,0
13,1966,1966-10-30,7,28.117,DAL,,PIT,W 52-21,0,0,,0,1,13,0
