ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2004,2004-10-10,4,23.277,DAL,,NYG,L 10-26,,,,,,,0.0%,,,,,
2,2004,2004-10-17,5,23.284,DAL,,PIT,L 20-24,,,,,,,0.0%,,,,,
3,2004,2004-10-24,6,23.291,DAL,@,GNB,L 20-41,,,,,,,0.0%,,,,,
4,2004,2004-10-31,7,23.298,DAL,,DET,W 31-21,,,,,,,0.0%,,,,,
5,2004,2004-11-07,8,23.305,DAL,@,CIN,L 3-26,,0,0,0,,0,0.0%,,1,13,13.00,0
6,2004,2004-11-15,9,23.313,DAL,,PHI,L 21-49,*,,,,,,0.0%,,,,,
7,2004,2004-11-21,10,23.319,DAL,@,BAL,L 10-30,,0,,,,,0.0%,,,,,
8,2004,2004-12-19,14,23.347,DAL,@,PHI,L 7-12,,,,,,,0.0%,,,,,
9,2005,2005-09-11,1,24.247,DAL,@,SDG,W 28-24,,,,,,,0.0%,,,,,
10,2005,2005-09-19,2,24.255,DAL,,WAS,L 13-14,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
11,2005,2005-09-25,3,24.261,DAL,@,SFO,W 34-31,,,0,0,,0,0.0%,,0,0,,0
12,2005,2005-10-02,4,24.268,DAL,@,OAK,L 13-19,,,0,0,,0,0.0%,,0,0,,0
13,2005,2005-10-09,5,24.275,DAL,,PHI,W 33-10,,0,0,0,,0,0.0%,,0,0,,0
14,2005,2005-10-16,6,24.282,DAL,,NYG,W 16-13,,,0,0,,0,0.0%,,0,0,,0
15,2005,2005-10-23,7,24.289,DAL,@,SEA,L 10-13,,0,0,0,,0,0.0%,,0,0,,0
16,2005,2005-10-30,8,24.296,DAL,,ARI,W 34-13,,1,1,5,5.00,0,100.0%,5.00,0,0,,0
17,2005,2005-11-14,9,24.311,DAL,@,PHI,W 21-20,*,,0,0,,0,0.0%,,0,0,,0
18,2005,2005-11-20,10,24.317,DAL,,DET,W 20-7,,0,0,0,,0,0.0%,,0,0,,0
19,2005,2005-11-24,11,24.321,DAL,,DEN,L 21-24,,,0,0,,0,0.0%,,0,0,,0
