ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.187,PHI,@,STL,L 3-7,,,,,,,,,,,,,,
2,1974,1974-09-23,2,22.195,PHI,,DAL,W 13-10,,,,,,,,,,,,,,
3,1974,1974-09-29,3,22.201,PHI,,BAL,W 30-10,,,,,,,,,,,,,,
4,1974,1974-10-06,4,22.208,PHI,@,SDG,W 13-7,,,,,,,,,,,,,,
5,1974,1974-10-13,5,22.215,PHI,,NYG,W 35-7,,,,,,,,,,,,,,
6,1974,1974-10-20,6,22.222,PHI,@,DAL,L 24-31,,,,,,,,,,,,,,
7,1974,1974-10-27,7,22.229,PHI,@,NOR,L 10-14,,,,,,,,,,,,,,
8,1974,1974-11-03,8,22.236,PHI,@,PIT,L 0-27,,,,,,,,,,,,,,
9,1974,1974-11-10,9,22.243,PHI,,WAS,L 20-27,,,,,,,,,,,,,,
10,1974,1974-11-17,10,22.250,PHI,,STL,L 3-13,,,,,,,,,,,,,,
11,1974,1974-11-24,11,22.257,PHI,@,WAS,L 7-26,,,,,,,,,,,,,,
12,1974,1974-12-01,12,22.264,PHI,,GNB,W 36-14,,,,,,,,,,,,,,
13,1974,1974-12-08,13,22.271,PHI,@,NYG,W 20-7,,,,,,,,,,,,,,
14,1974,1974-12-15,14,22.278,PHI,,DET,W 28-17,,,,,,,,,,,,,,
15,1975,1975-09-21,1,23.193,PHI,,NYG,L 14-23,,,,,,,,,,,,,,
16,1975,1975-09-28,2,23.200,PHI,@,CHI,L 13-15,,,,,,,,,,,,,,
17,1975,1975-10-05,3,23.207,PHI,,WAS,W 26-10,,,,,,,,,,,,,,
18,1975,1975-10-12,4,23.214,PHI,@,MIA,L 16-24,,,,,,,,,,,,,,
19,1975,1975-10-19,5,23.221,PHI,@,STL,L 20-31,,,,,,,,,,,,,,
20,1975,1975-10-26,6,23.228,PHI,,DAL,L 17-20,,,,,,,,,,,,,,
21,1975,1975-11-03,7,23.236,PHI,,RAM,L 3-42,,,,,,,,,,,,,,
22,1975,1975-11-09,8,23.242,PHI,,STL,L 23-24,,,,,,,,,,,,,,
23,1975,1975-11-16,9,23.249,PHI,@,NYG,W 13-10,0,0,,0,0,0,,0,0,0,0.0,1,17,0
24,1975,1975-11-23,10,23.256,PHI,@,DAL,L 17-27,0,0,,0,0,0,,0,0,0,0.0,1,2,0
25,1975,1975-11-30,11,23.263,PHI,,SFO,W 27-17,,,,,,,,,,,,,,
26,1975,1975-12-07,12,23.270,PHI,,CIN,L 0-31,,,,,,,,,,,,,,
27,1975,1975-12-14,13,23.277,PHI,@,DEN,L 10-25,,,,,,,,,,,,,,
28,1975,1975-12-21,14,23.284,PHI,@,WAS,W 26-3,0,0,,0,0,0,,0,1,6,0.0,2,114,1
29,1976,1976-09-12,1,24.184,PHI,@,DAL,L 7-27,,,,,,,,,,,,,,
30,1976,1976-09-19,2,24.191,PHI,,NYG,W 20-7,,,,,,,,,,,,,,
31,1976,1976-09-27,3,24.199,PHI,,WAS,L 17-20,,,,,,,,,,,,,,
32,1976,1976-10-03,4,24.205,PHI,@,ATL,W 14-13,,,,,,,,,,,,,,
33,1976,1976-10-10,5,24.212,PHI,@,STL,L 14-33,,,,,,,,,,,,,,
34,1976,1976-10-17,6,24.219,PHI,@,GNB,L 13-28,,,,,,,,,,,,,,
35,1976,1976-10-24,7,24.226,PHI,,MIN,L 12-31,,,,,,,,,,,,,,
36,1976,1976-10-31,8,24.233,PHI,@,NYG,W 10-0,,,,,,,,,,,,,,
37,1976,1976-11-07,9,24.240,PHI,,STL,L 14-17,,,,,,,,,,,,,,
38,1976,1976-11-14,10,24.247,PHI,@,CLE,L 3-24,,,,,,,,,,,,,,
39,1976,1976-11-21,11,24.254,PHI,,OAK,L 7-26,,,,,,,,,,,,,,
40,1976,1976-11-28,12,24.261,PHI,@,WAS,L 0-24,,,,,,,,,,,,,,
41,1976,1976-12-05,13,24.268,PHI,,DAL,L 7-26,0,0,,0,1,-4,-4.00,0,0,0,0.0,0,0,0
42,1976,1976-12-12,14,24.275,PHI,,SEA,W 27-10,,,,,,,,,,,,,,
43,1977,1977-09-18,1,25.190,PHI,,TAM,W 13-3,1,30,30.00,0,0,0,,0,0,0,0.0,0,0,0
44,1977,1977-09-25,2,25.197,PHI,@,RAM,L 0-20,,,,,,,,,,,,,,
45,1977,1977-10-02,3,25.204,PHI,@,DET,L 13-17,,,,,,,,,,,,,,
46,1977,1977-10-09,4,25.211,PHI,@,NYG,W 28-10,,,,,,,,,,,,,,
47,1977,1977-10-16,5,25.218,PHI,,STL,L 17-21,,,,,,,,,,,,,,
48,1977,1977-10-23,6,25.225,PHI,,DAL,L 10-16,,,,,,,,,,,,,,
