ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,23.336,NYJ,@,GNB,W 20-16,,,,,,,,
2,2000,2000-09-11,2,23.344,NYJ,,NWE,W 20-19,,,,,,,,
3,2000,2000-09-17,3,23.350,NYJ,,BUF,W 27-14,,,,,,,,
4,2000,2000-09-24,4,23.357,NYJ,@,TAM,W 21-17,,,,,,,,
5,2000,2000-10-08,5,24.005,NYJ,,PIT,L 3-20,,,,,,,,
6,2000,2000-10-15,6,24.012,NYJ,@,NWE,W 34-17,,,,,,,,
7,2000,2000-10-23,7,24.020,NYJ,,MIA,W 40-37,,,,,,,,
8,2000,2000-10-29,8,24.026,NYJ,@,BUF,L 20-23,,,,,,,,
9,2000,2000-11-05,9,24.033,NYJ,,DEN,L 23-30,,,,,,,,
10,2000,2000-11-12,10,24.040,NYJ,@,IND,L 15-23,,,,,,,,
11,2000,2000-11-19,11,24.047,NYJ,@,MIA,W 20-3,,0,0,,0,1,0,0
12,2000,2000-11-26,12,24.054,NYJ,,CHI,W 17-10,,,,,,,,
13,2000,2000-12-03,13,24.061,NYJ,,IND,W 27-17,,1,0,0.00,0,0,0,0
14,2000,2000-12-10,14,24.068,NYJ,@,OAK,L 7-31,,,,,,,,
15,2000,2000-12-17,15,24.075,NYJ,,DET,L 7-10,,,,,,,,
16,2000,2000-12-24,16,24.082,NYJ,@,BAL,L 20-34,,,,,,,,
17,2001,2001-10-07,4,25.004,NYJ,@,BUF,W 42-36,,,,,,,,
18,2001,2001-10-28,7,25.025,NYJ,@,CAR,W 13-12,,,,,,,,
19,2001,2001-12-09,12,25.067,NYJ,@,PIT,L 7-18,,,,,,,,
20,2001,2001-12-16,13,25.074,NYJ,,CIN,W 15-14,,,,,,,,
21,2001,2001-12-23,14,25.081,NYJ,@,IND,W 29-28,,,,,,,,
22,2001,2001-12-30,15,25.088,NYJ,,BUF,L 9-14,,,,,,,,
23,2001,2002-01-06,16,25.095,NYJ,@,OAK,W 24-22,,,,,,,,
